ID,Form,IPA,Gloss,Language_ID
0,A,,"The first letter of the Afar alphabet, called a and written in the Latin script.",0
1,a,/ˈʌ/,"this, these (masculine)",0
2,aado,/aːˈdo/,(Southern dialects) generation,0
3,aadoodi,/aːdoːˈdi/,plural of aadó,0
4,aakam,/ˈaːkʌm/,introduction,0
5,aaker,/aːˈkeɾ/,Alternative form of aakír,0
6,aakir,/aːˈkiɾ/,"end, finish",0
7,aako,/aːˈko/,(Southern dialects) calling out,0
8,aakooka,/aːkoːˈkʌ/,plural of aakó,0
9,aakumale,/aːkumʌˈle/,precedence,0
10,aalam,/aːˈlʌm/,"assent, agreement",0
11,aalat,/aːˈlʌt/,"instrument, tool",0
12,aaman,/ˈaːmʌn/,"faithfulness, trustworthiness",0
13,aamiin,/aːˈmiːn/,amen,0
14,aana,/aːˈnʌ/,"arrogance, pride",0
15,abaare,/ʌbaːˈɾe/,(transitive) curse,0
16,abaareyna,/ʌbaːˈɾejnʌ/,(male) curser,0
17,abaareyna,/ʌbaːˈɾejnʌ/,(female) curser,0
18,abaaro,/ʌbaːˈɾo/,"curse, evil, evil act, evil woman",0
19,abaaroli,/ʌbaːˈɾoli/,evil man,0
20,abace,/ʌbʌˈħe/,"(Southern dialects, intransitive) smell, stink",0
21,abaci,/ʌˈbʌħi/,Alternative form of abíc,0
22,abal,/ˈʌbʌl/,(Northern Afar) game,0
23,abal,/ˈʌbʌl/,imperative singular of abalé,0
24,abale,/ʌbʌˈle/,"(Northern Afar, transitive, intransitive) play",0
25,abalise,/ʌbʌliˈse/,Causative form of abalé,0
26,abalite,/ʌbʌliˈte/,Autobenefactive form of abalé,0
27,abalsiise,/ʌbʌlsiːˈse/,Causative form of abalisé,0
28,abamabbiime,/ʌbʌmʌbːiːˈme/,Passive form of abamabé,0
29,abamabe,/ʌbʌmʌˈbe/,Frequentative form of abé,0
30,abamabsiise,/ʌbʌmʌbsiːˈse/,Causative form of abamabé,0
31,abba,/ʌbˈbʌ/,"father, chief, director",0
32,abbaahiye,/ʌbːaːhiˈje/,(intransitive) crawl,0
33,abbaasite,/ʌbːaːsiˈte/,Autobenefactive form of abé,0
34,abbadabqis,/ʌbːʌˈdʌbʕis/,night heron (Nycticorax nycticorax),0
35,abbiime,/ʌbːiːˈme/,Passive form of abé,0
36,abbowtan,/ʌbˈbowtʌn/,authority,0
37,abe,/ʌˈbe/,(transitive) do,0
38,abeesa,/ʌbeːˈsʌ/,venomous snake,0
39,abeyna,/ʌˈbejnʌ/,"(male) doer, (male) agent, (grammar) subject",0
40,abeyna,/ʌˈbejnʌ/,"(female) doer, (female) agent",0
41,abic,/ʌˈbiħ/,"stink, stench, reek",0
42,abic,/ʌˈbiħ/,imperative singular of abicé,0
43,abice,/ʌbiˈħe/,"(Northern Afar, intransitive) smell, stink",0
44,abicle,/ʌbiħˈle/,smelly woman,0
45,abicli,/ʌˈbiħli/,smelly man,0
46,abina,/ʌˈbinʌ/,"work, (grammar) verb",0
47,abite,/ʌbiˈte/,"Autobenefactive form of abé
(transitive) marry
(transitive) commence",0
48,ablaake,/ʌblaːˈke/,puberty,0
49,aboyya,/ʌbojˈjʌ/,grandmother,0
50,abqa,/ʌbˈʕʌ/,spring (of water),0
51,abre,/ʌbˈɾe/,consequence,0
52,abrik,/ʌbˈɾik/,kettle,0
53,absiise,/ʌbsiːˈse/,Causative form of abé,0
54,absuma,/ʌbˈsumʌ/,sororal nephew (son of one's sister),0
55,absuma,/ʌbˈsumʌ/,sororal niece (daughter of one's sister),0
56,abu,/ˈʌbu/,maternal uncle (brother of one's mother),0
57,abud,/ʌˈbud/,loan,0
58,abur,/ʌˈbuɾ/,"bull, ox",0
59,abur,/ʌˈbuɾ/,deserted house,0
60,abur,/ʌˈbuɾ/,deserted house,0
61,abuudute,/ʌbuːduˈte/,"(transitive) lend, credit",0
62,abuuri,,spiderling (Boerhavia),0
63,abuuri,,"subject of abúuru, genitive of abúuru",0
64,abuuri,,"subject of abúuru, genitive of abúuru",0
65,abuurite,/ʌbuːɾiˈte/,"(Northern dialects, intransitive) parasitise",0
66,abuuru,/ʌˈbuːɾu/,(Northern dialects) parasite,0
67,abuuru,/ʌˈbuːɾu/,predicative of abúr,0
68,abuuru,/ʌˈbuːɾu/,predicative of abúr,0
69,abuuruse,/ʌbuːɾuˈse/,(transitive) desert (a house),0
70,abxa,/ʌbˈɖʌ/,half,0
71,ada,/ʌˈdʌ/,"disturbance, bother",0
72,adab,/ˈʌdʌb/,Alternative form of adábi,0
73,adabi,/ʌˈdʌbi/,"politeness, good manners",0
74,adam,,human,0
75,adam,,imperative singular of adamé,0
76,adam,,imperative singular of adamé,0
77,adame,/ʌdʌˈme/,"(transitive) chase, hunt",0
78,adban,/ˈʌdbʌn/,season,0
79,adda,/ʌdˈdʌ/,"time, occasion, turn, move",0
80,adda,/ʌdˈdʌ/,(mathematics) times,0
81,adda,/ʌdˈdʌ/,"low, inside",0
82,adda,/ʌdˈdʌ/,"depth, interior, inside",0
83,adda,/ʌdˈdʌ/,"low, inside",0
