ID,Form,IPA,Gloss,Language_ID
0,،,,"the Arabic comma punctuation mark
‏وَاحِد، اِثْنَان، ثَلَاثَة، أَرْبَعَة، خَمْسَة، سِتَّة، سَبْعَة‎wāḥid, iṯnān, ṯalāṯa, ʾarbaʿa, ḵamsa, sitta, sabʿaone, two, three, four, five, six, seven",0
1,؛,,The Arabic semicolon punctuation mark.,0
2,؟,,"the Arabic question mark
‏كَيْفَ حَالُك؟‎‎ ― kayfa ḥāluk? ― How are you?",0
3,ء,/ʔ/,Hamza (ء) is a sign in the Arabic script that represents,0
4,ءادم,,"Archaic spelling of آدَم‎ (ʾādam, “Adam”).",0
5,آ,/ʔa.lif mad.da/,A form of the initial interrogative particle that indicates,0
6,آب,-aːb,"(Mashreq, especially Syria, Lebanon, Palestine, Jordan,",0
7,آب,-aːb,"to return, to come back, to repent, to incur, catch,",0
8,آب,-aːb,first-person singular non-past active jussive of أَبَى‎,0
9,آب,-aːb,"to return, to come back, to repent, to incur, catch,",0
10,آب,-aːb,first-person singular non-past active jussive of أَبَى‎,0
11,آب,-aːb,first-person singular non-past active jussive of أَبَى‎,0
12,آبيس,/ʔaː.biːs/,(Egyptian mythology) Apis,0
13,آت,-aːt,"active participle of أَتَى‎ (ʾatā), coming, next",0
14,آت,-aːt,first-person singular non-past active jussive of أَتَى‎,0
15,آت,-aːt,second-person masculine singular active imperative,0
16,آت,-aːt,second-person masculine singular active imperative,0
17,آت,-aːt,first-person singular non-past active jussive of أَتَى‎,0
18,آت,-aːt,second-person masculine singular active imperative,0
19,آت,-aːt,second-person masculine singular active imperative,0
20,آت,-aːt,second-person masculine singular active imperative,0
21,آت,-aːt,second-person masculine singular active imperative,0
22,آت,-aːt,second-person masculine singular active imperative,0
23,آتشيوت,/ʔaːt.ʃi.joːt/,"annatto, achiote, 2004 January 23,  Food and Agriculture",0
24,آتون,/ʔaː.tuːn/,(Egyptian mythology) Aten,0
25,آتى,,"to compensate, recompense, requite, to agree with (someone",0
26,آتى,,"(ditransitive) to give (construed with two direct objects),",0
27,آثر,,to prefer,0
28,آجر,,"to rent out, to pay, to stipulate wages, to prostitute",0
29,آجر,,to rent out,0
30,آجر,,first-person singular non-past active indicative of,0
31,آجر,,first-person singular non-past active subjunctive of,0
32,آجر,,first-person singular non-past active jussive of أَجَرَ‎,0
33,آجر,,first-person singular non-past active indicative of,0
34,آجر,,first-person singular non-past active subjunctive of,0
35,آجر,,first-person singular non-past active jussive of أَجَرَ‎,0
36,آجر,,burned brick,0
37,آجر,,first-person singular non-past active indicative of,0
38,آجر,,first-person singular non-past active subjunctive of,0
39,آجر,,first-person singular non-past active jussive of أَجَرَ‎,0
40,آجر,,first-person singular non-past active indicative of,0
41,آجر,,first-person singular non-past active subjunctive of,0
42,آجر,,first-person singular non-past active jussive of أَجَرَ‎,0
43,آجر,,burned brick,0
44,آجر,,burned brick,0
45,آخذ,,"to censure, to blame, to punish, 609–632 C.E.,  Qur'an,",0
46,آخذ,,first-person singular non-past active indicative of,0
47,آخذ,,first-person singular non-past active subjunctive of,0
48,آخذ,,first-person singular non-past active jussive of أَخَذَ‎,0
49,آخذ,,first-person singular non-past active indicative of,0
50,آخذ,,first-person singular non-past active subjunctive of,0
51,آخذ,,first-person singular non-past active jussive of أَخَذَ‎,0
52,آخر,,"last, ultimate, utmost, extreme",0
53,آخر,,"end, conclusion, الْآخِرة‎ (al-ʾāḵira, “the hereafter”),",0
54,آخر,," another, one more, other",0
