ID,Form,IPA,Gloss,Language_ID
0,akahpaátu,,tipi,0
1,hunahkoótaʾ,,Franklin's ground squirrel (Poliocitellus franklinii),0
2,kanistarahí,,tomahawk,0
3,kaswáhat,,bloodroot,0
4,kaséhtš,,sweet flag,0
5,kawisákux,,"mortar, grinding stone",0
6,koskatít,,pottery,0
7,kátwiʾiš,,nighthawk,0
8,naakunaánuʾ,,"juneberry, serviceberry, Saskatoon berry (Amelanchier alnifolia)",0
9,nahkaaxišuʾ,,flower,0
10,nahteehát,,tipi pole,0
11,nakás,,elm,0
12,neetahkaráni,,goshawk,0
13,neetahpáhat,,red-tailed hawk,0
14,neetahtaraxá,,broad-winged hawk,0
15,neštaáka,,white flint corn,0
16,nuhnaanišíšuʾ,,rattlesnake,0
17,nutčiwahaánuʾ,,garter snake,0
18,nuutisuxkátox,,"Western hog-nosed snake, Heterodon nasicus",0
19,néska,,Hubbard squash,0
20,níwit,,skunk,0
21,saátuʾ,,basket,0
22,skuxát,,a two-spirit; a male-bodied person who has a feminine or third-gender gender role,0
23,taakáxtš,,"jerked meat, jerky",0
24,tahuúnuʾ,,flint,0
25,tapáhtuʾ,,pemmican,0
26,tarahčiíšuʾ,,elbow,0
27,tawihsaákuʾ,,"Red cedar, Juniperus virginiana",0
28,tinaátš,,bow,0
29,tstoóxuʾ,,water,0
30,ushá,,chicken hawk,0
31,ustaaká,,willow ptarmigan,0
32,wahuxčiraánuʾ,,butternut squash,0
33,wahúx,,squash,0
34,waxtaaká,,"aspen, Populus tremuloides",0
35,xúhtš,,moccasin,0
36,áxkus,,prairie dog,0
37,ísat,,raccoon,0
38,čeewaʾút,,"sage, Artemisia",0
39,čitaapát,,otter,0
40,čitapatwáhat,,"red willow, sandbar willow (Salix interior)",0
41,čitutkawisákux,,wooden pestle,0
42,čituútuʾ,,wooden mortar,0
43,čiwanaanišíšuʾ,,catfish,0
44,čiwaárut,,eel,0
45,čiwáhtš,,fish,0
46,čiškaraní,,thirteen-lined ground squirrel (Spermophilus tridecemlineatus),0
47,číska,,"weir, fish trap made from willows",0
48,škanikaátit,,"red baneberry, Actaea rubra",0
49,škawisákux,,"pestle, mano, mallet",0
