ID,Form,IPA,Gloss,Language_ID
0,baro,,"(Lithuania, North Russia) big, great, (Lithuania) large",0
1,baro,,(North Russia) adult,0
2,dad,,"(Lithuania, North Russia) father",0
3,gadžo,,(Lithuania) gadje (non-Romani person),0
4,kalo,,"(Lithuania, North Russia) black, (North Russia) dark,",0
5,kalo,,(North Russia) Romani person,0
6,manuš,,"(Lithuania, North Russia) man (human), person",0
7,melalo,,"(Latvia) dirty, (Latvia) muddy",0
8,pani,,"(Lithuania) water, Synonym: (Latvia) paaňing",0
9,phen,,(Latvia) sister,0
10,pšal,,"(Latvia, Lithuania, North Russia) brother, Synonym:",0
11,trušul,,"(Latvia, Lithuania) cross, (Lithuania) hip",0
12,tume,,(Latvia) you pl,0
13,čovaxani,,"(Latvia) witch, Synonym: (North Russia) vjeďma",0
14,phral,,,1
