ID,Form,IPA,Gloss,Language_ID
0,altьn,,"Yañalif spelling of алтын (altïn, “gold”)",0
1,altьn,,"Yañalif spelling of алтын (altïn, “golden”)",0
2,jaꞑь,,"Yañalif spelling of яңы (yañï, “new”)",0
3,jьl,,"Yañalif spelling of йыл (yïl, “year”)",0
4,ʙajram,,"Yañalif spelling of байрам (bayram).
This can mean:
holiday;
festivity, celebration, feast;
party, reception (of guests)",0
5,ʙer,,"Yañalif spelling of бер (ber, “one”)",0
6,ʙəjge,,"Yañalif spelling of бәйге (bäyge, “horse race; the winner's prize at such race; competition”)",0
7,ё,[jo],"The ninth letter of the Bashkir alphabet, written in the Cyrillic script.",0
8,Ё,[jo],"The ninth letter of the Bashkir alphabet, written in the Cyrillic script.",0
9,а,/ɑ/,"The first letter of the Bashkir alphabet, written in the Cyrillic script.",0
10,А,/ɑ/,"The first letter of the Bashkir alphabet, written in the Cyrillic script.",0
11,Абдулла,[ɑb.duˈɫːɑ],"A male given name from Arabic, of Muslim usage, equivalent",0
12,абруй,[ɑbˈruj],"reputation, Һуңғы йылдарҙа һалдат хеҙмәтенең абруйы",0
13,абруйлы,[ɑb.rujˈɫɯ̞],"reputable, respected, Халыҡҡа абруйлы кешеләрҙең өлгөһө",0
14,абыстай,[ɑ.bɯ̞sˈtɑj],"(Islam) an elderly woman who has ecclesiastical training and, when a mullah is unavailable, caters for the basic religious needs of a local community, such as leads private ceremonial meetings, gives basic religious training to women and children, etc.",0
15,Австралия,[äfsˈträ.lʲi.jä],"Australia (a country in Oceania), Australia (a continent),",0
16,Австрия,,Austria (a country in Central Europe; capital: Vienna),0
17,автобус,[afˈto̞bus],"bus, Автобус хәрәкәте.Avtobus xäräkäte.Bus traffic.,",0
18,автономиялы,[äf.tä.ˈno.mʲi.jä.ˌɫɯ̞],autonomous,0
19,адрес,[ˈä.drʲɪs],"address (direction for letters), Хаттың тышында адресын",0
20,аждаһа,[ɑʐ.dɑˈhɑ],(mythology) dragon,0
21,Азамат,[ɑ.zɑˈmɑt],A male given name from Arabic,0
22,Азия,[ˈä.zʲi.jä],"Asia (a continent), Мәҙәк итеп ҡарап торҙом кескәй",0
23,ай,[ɑj],"moon, Сәскәләргә ҡунған ысыҡ ай яҡтыһына ялтырай.Säskälärgä",0
24,Айгөл,[äjˈɡʏ̞l],A female given name,0
25,айныҡ,[ɑj.nɯ̞q],"sober, not intoxicated, (figurative) moderate; realistic;",0
26,айран,[ajˈran],airan,0
27,Айрат,[ɑjˈrɑt],"A male given name, Ayrat, Айрат үҙе кеүек тиҫтерҙәре",0
28,айырма,[ɑ.jɯ̞rˈmɑ],difference (a characteristic of something that makes,0
29,айырым,[ɑ.jɯ̞ˈrɯ̞m],"separate; detached, isolated, Ул айырым бүлмәлә тора.Ul",0
30,айырым,[ɑ.jɯ̞ˈrɯ̞m],"separately, Ғалимдар аңлатыуынса, баш бармаҡ айырым",0
31,айырыуса,[ɑ.jɯ̞ˈrɯ̞w.sɑ],"especially, particularly, Миграция ағымына күҙ һалһаҡ,",0
32,айыу,,(zoology) bear,0
33,айыҡ,[ɑ.jɯ̞q],"sober, not intoxicated, (figurative) moderate; realistic;",0
34,айғолаҡ,[ɑj.ʁʊ̞ˈɫɑq],"(animal anatomy) gill, the breathing organ in fish",0
35,айғыр,[ɑjˈʁɯ̞r],"stallion, stud horse",0
36,Айҙар,[ɑjˈðɑr],"A male given name, Aydar",0
37,айҙар,[ɑjˈðɑr],plural of ай (ay),0
38,айҙар,[ɑjˈðɑr],"forelock, topknot",0
39,айҙар,[ɑjˈðɑr],"forelock, topknot",0
40,Айһылыу,[ɑj.hɯ̞ˈɫɯ̞w],"A female given name from the Turkic languages, Ural-batyr",0
41,ал,[ɑɫ],"front, the front part",0
42,ал,[ɑɫ],"scarlet, bright red",0
43,ал,[ɑɫ],"scarlet, bright red",0
44,алабута,[ɑ.ɫɑ.buˈtɑ],"saltbush, orache, Atriplex",0
45,алабуға,[ɑ.ɫɑ.buˈʁɑ],"perch, Perca fluviatilis.",0
46,Албания,,Albania (a country in southeastern Europe),0
47,алдаҡсы,[ɑɫ.dɑqˈsɯ̞],"liar, a person who tells lies, Алдаҡсы булһаң, һиңә",0
48,алдынғы,[ɑɫ.dɯ̞ŋˈɢɯ̞],"advanced, progressive, leading, (Sovietism) best worker,",0
49,алйырҙан,[ɑɫ.jɯ̞rˈðɑn],(zoology) hamster,0
50,Алла,[ɑˈɫːɑ],"(Islam) Allah, Һеҙгә Алланың рәхмәте төшкөрө!Heðgä",0
51,алма,[ɑɫˈmɑ],"apple, Һауыттағы бер серек алма бөтәһен дә серетә.Hawïttağï",0
52,алмас,[ɑɫˈmɑs],diamond,0
53,Алмас,[ɑɫˈmɑs],A male given name from Persian,0
54,алмаш,[ɑɫˈmɑʂ],"substitute, replacement, Алмаш кейем.Almaš keyem.Change",0
55,алмағас,[ɑɫ.mɑˈʁ̞ɑs],"apple tree, Мәктәп баҡсаһында алмағастар сәскә ата.Mäktäp",0
56,алтау,[ɑɫˈtaw],(collective numeral) six,0
57,алты,[ɑɫˈtɯ̞],six,0
58,алыҫ,[ɑˈɫɯ̞θ],"far, faraway, distant, remote, Алыҫ КөнсығышAlïθ KönsïğïšThe",0
59,алға,[ɑɫˈʁɑ],"forward, toward the front",0
60,алҡыш,[ɑɫˈqɯ̞ʂ],"applause, act of applauding",0
61,ант,[ɑnt],oath,0
62,аныҡ,[ɑˈnɯ̞q],"distinct, clear, clearcut, ""Терелек"" атамаһы төрлө",0
63,апай,[ɑˈpɑj],"one's big / elder sister, younger sister of the speaker's",0
64,ара,[ɑˈrɑ],"the space in between two objects; interval, gap, distance,",0
65,араҡы,[ɑ.rɑˈqɯ̞],vodka,0
66,арба,[ɑrˈβɑ],cart; a small open wheeled vehicle drawn or pushed,0
67,арзан,[ɑrˈzɑn],"cheap, inexpensive, 90-сы йылдарҙа Көнбайыштан килеп",0
68,арпа,[ɑrˈpɑ],"barley, Арпа алтмыш көндә өлгөрә.Arpa altmïš köndä",0
69,арт,,"back, rear, hinder part",0
70,артабан,[ɑr.tɑˈβɑn],"further, further on, further along, onward, hereafter,",0
71,арыш,[ɑˈrɯ̞ʂ],"rye, Арыш икмәге.Arïš ikmäge.Rye bread.",0
72,Арыҫлан,[ɑ.rɯ̞θˈɫɑn],(astrology) Leo,0
73,асҡыс,[ɑsˈqɯ̞s],"key, Ғәрәп телендә Мифтахетдин исеме ""асҡыс һаҡлаусы""",0
74,ата,,"father, Әсәһе үлгәс, атаһы өйгә үгәй әсә алып ҡайтҡан.Äsähe",0
75,ата,,(animals) male,0
76,ата-баба,[ɑˈtɑ.bɑˌbɑ],"(collective) (paternal) ancestors, forefathers, Мин",0
