ID,Form,IPA,Gloss,Language_ID
0,a,,of,0
1,aafis,,office,0
2,Ah,,First-person singular pronoun in the nominative case; I.,0
3,ahn,,and,0
4,ahn,,"(third person objective) him, her, it",0
5,ahn,,Alternative form of wahn,0
6,ahn,,Alternative form of wahn,0
7,ahn,,"(third person objective) him, her, it",0
8,ahn,,Alternative form of wahn,0
9,ahn,,Alternative form of wahn,0
10,ahn,,Alternative form of wahn,0
11,ahn,,Alternative form of wahn,0
12,ahn,,Alternative form of wahn,0
13,Bileez,,Belize,0
14,byaa,,beer,0
15,byaa,,bear,0
16,byaa,,bear,0
17,chrai,,try,0
18,di,,the,0
19,di,,continuous tense marker; -ing,0
20,di,,continuous tense marker; -ing,0
21,doz,,used to,0
22,eena,,in,0
23,fahn,,from,0
24,fahn,,even,0
25,harikayn,,hurricane,0
26,hyaa,,hear,0
27,hyaa,,hair,0
28,hyaa,,hair,0
29,jayl,,jail,0
30,jrink,,drink,0
31,jrink,,drink,0
32,laas,,last,0
33,laas,,last,0
34,laas,,lose,0
35,laas,,lose,0
36,laim,,lime (fruit),0
37,laim,,wash with lime,0
38,lee,,little,0
39,memba,,remember,0
40,memba,,member,0
41,memba,,member,0
42,nais,,nice,0
43,noa,,know,0
44,nobadi,,"nobody, no one",0
45,pees,,piece (part of a larger whole),0
46,pees,,peace,0
47,pees,,peace,0
48,reech,,reach,0
49,saiz,,size,0
50,si,,see,0
51,staam,,storm,0
52,toch,,touch,0
53,waata,,water,0
54,wahn,,"a, an",0
55,wahn,,"will, shall",0
56,wahn,,"will, shall",0
57,wayt,,wait,0
58,wayt,,weight,0
59,wayt,,weight,0
60,wen,,when,0
61,wid,,with,0
62,wit,,Alternative form of wid,0
63,yoostu,,used to (followed by infinitive),0
64,yoostu,,used to (followed by gerund),0
65,yu,,you; second-person singular subjective personal pronoun,0
66,yu,,your,0
