ID,Form,IPA,Gloss,Language_ID
0,ⴰ,/a/,"ya, a Tifinagh letter, the first of the basic Neo-Tifinagh alphabet.",0
1,ⴰ-,/a-/,noun-forming prefix,0
2,ⴰⴱⴰⴱⴱⵓⵥ,/ababbuzˤ/,bear,0
3,ⴰⴱⴰⵏⴷⵓ,/abandu/,"flag
Synonym: ⴰⵛⵏⵢⴰⵍ (ašnyal)",0
4,ⴰⴱⵅⵅⵓⵛ,/abxxuʃ/,"black (color)
Synonym: ⴰⴱⵔⴽⴰⵏ (abrkan)
Antonyms: ⵓⵎⵍⵉⵍ (umlil), ⴰⵎⵍⵍⴰⵍ (amllal)",0
5,ⴰⴱⵓⴱⴱⵓ,/abubbu/,"(childish) breast
Synonym: ⵉⴼⴼ (iff)",0
6,ⴰⴱⵔⴹⵓⴹ,/abrdˤudˤ/,tail,0
7,ⴰⴱⵔⴽⴰⵏ,/abrkan/,"black (color), Synonym: ⴰⴱⵅⵅⵓⵛ (abxxuš), Antonyms:",0
8,ⴰⴱⵔⵉⴷ,/abrid/,road (as opposed to street),0
9,ⴰⴱⵔⵛⴰⵏ,/abrʃan/,Alternative form of ⴰⴱⵔⴽⴰⵏ (abrkan),0
10,ⴰⴱⵕⴹⵓⴹ,/abrˤdˤudˤ/,Alternative form of ⴰⴱⵔⴹⵓⴹ (abrḍuḍ),0
11,ⴰⴳⴰⴷⵉⵔ,/aɡadir/,Agadir (a city in Morocco),0
12,ⴰⴳⴰⵎⴰ,/aɡama/,nature,0
13,ⴰⴳⴰⵎⴰⵏ,/aɡaman/,natural,0
14,ⴰⴳⴰⵜⵓ,/aɡatu/,"rope, Synonyms: ⴰⵙⵇⵇⵏ (asqqn), ⵉⵣⵉⴽⵔ (izikr)",0
15,ⴰⴳⴳⵓ,/aɡɡu/,(uncountable) smoke,0
16,ⴰⴳⴳⵓⵔ,/aɡɡur/,portal,0
17,ⴰⴳⴷⵉ,/aɡdi/,Alternative form of ⵉⴳⴷⵉ (igdi),0
18,ⴰⴳⴷⵓⴷ,/aɡdud/,(in the singular) people,0
19,ⴰⴳⴹⵉⴹ,/aɡdˤidˤ/,bird,0
20,ⴰⴳⵊⴷⵉ,/aɡʒdi/,pole,0
21,ⴰⴳⵍⵍⵉⴷ,/aɡllid/,"lord, king, master",0
