ID,Form,IPA,Gloss,Language_ID
0,akou,,"I (personal pronoun), me (direct object of a verb),",0
1,aneak,,"child (a female or male child, a daughter or son)",0
2,anum,,water,0
3,apui,,fire (oxidation reaction),0
4,asou,,dog (animal),0
5,atur,,"to arrange (to set up, organise)",0
6,awan,,cloud (visible mass of water droplets suspended in,0
7,barat,,west (compass point),0
8,barat,,"west (towards the west), west (western), west (occidental)",0
9,belaih,,-teen (to form numbers 11 - 19),0
10,belei,,to buy (to obtain for money),0
11,besi,,"(physics, chemistry, metallurgy) iron (element)",0
12,bulou,,(anatomy) hair (the collection or mass of filaments,0
13,daak,,blood,0
14,dengen,,otter (mammal),0
15,dua,,two,0
16,ja,,one,0
17,je-,,uni-,0
18,jing,,Alternative form of zink,0
19,kauih,,steam (water vapor),0
20,ketapi,,but (although),0
21,kulit,,"skin (outer covering of the body of a person), leather",0
22,kutou,,louse (insect),0
23,laan,,west (compass point),0
24,laan,,west (towards the west),0
25,lima,,five,0
26,lumut,,moss (plants of the division Bryophyta),0
27,maih,,gold (element),0
28,melireng,,sulfur (element),0
29,nanak,,pus (fluid found in regions of infection),0
30,oksijen,,oxygen (chemical element),0
31,palei,,taboo,0
32,pangai,,wind (movement of air),0
33,pat,,four,0
34,peranakan,,"(anatomy) Womb, uterus",0
35,pirek,,silver (metal),0
36,puweang,,zero,0
37,rimau,,"panther (big cat of genus Panthera), tiger (The mammal",0
38,sakai,,friend,0
39,sarai,,lemongrass,0
40,satu,,one,0
41,singa,,lion (big cat Panthera leo),0
42,suwil,,(mechanics) Lever (rigid piece),0
43,tapi,,Alternative form of ketapi,0
44,tarum,,Cassia alata (a tree),0
45,tebou,,sugar cane,0
46,teknik,,technique (method of carrying something out),0
47,telibisien,,television (medium),0
48,telou,,three,0
49,tetapi,,Alternative form of ketapi,0
50,timah,,tin (element),0
51,tirem,,oyster,0
52,tren,,"(transport, railway) train (line of connected cars",0
53,tuala,,towel (cloth used for wiping),0
54,tujoh,,(geography) cape (headland),0
55,tuwaih,,(mechanics) Lever (rigid piece),0
56,uban,,grey hair (hair with the colour grey),0
57,ubei,,yam (any Dioscorea vine),0
58,ujan,,rain (condensed water from a cloud),0
59,urup,,letter (letter of the alphabet),0
60,zink,,zinc (Element),0
61,zink,,,1
62,oxygen,,,1
63,technique,,,1
64,television,,,1
65,train,,,1
66,zinc,,,1
