ID,Form,IPA,Gloss,Language_ID
0,กยัง,/kjaŋ/,"turtle, tortoise",0
1,กร็อบ,/krɔp/,eggplant; aubergine.,0
2,กระปาว,/krə.paːw/,water buffalo,0
3,กรึบ,/krɨp/,eggplant; aubergine.,0
4,กะโค,/kakʰoː/,mortar.,0
5,กะชุ่,,(bamboo) crate,0
6,กะเช่อ,,(bamboo) basket,0
7,กะตา,,duck,0
8,กะแท่ฮ,,cart,0
9,กะปาว,/ka.paːw/,water buffalo,0
10,กะปิฮ,,what,0
11,กะยาง,/ka.jaːŋ/,"turtle, tortoise",0
12,กะละ,,leaf,0
13,กะล่าง,,ear,0
14,กะวาญ,,cardamom,0
15,กะว่าย,,tiger,0
16,กำตี,,fist,0
17,กู้บ,,frog,0
18,เกือก,,shoe,0
19,แกร,/krɛː/,paddy field,0
20,ครก,/kʰrok/,mortar.,0
21,ครา,,"road, way",0
22,ค้อน,,"mouse, rat",0
23,คิ์น,,gourd,0
24,งั่ว,,"cow, ox",0
25,จึ่ม,,"human, person",0
26,ชอ,/t͡ɕʰɔː/,dog.,0
27,ช์อง,,Chong (ethnic minority or language),0
28,ช่าย,,nine,0
29,ชี้ม,,bird,0
30,เชา,/cʰao/,dog.,0
31,โช,/cʰoː/,dog.,0
32,ซะระ,,vowel,0
33,ซี,/siː/,snake.,0
34,ซุกเปีย,,"braid, pigtail",0
35,ซู้จ,,ant,0
36,แซ,/sɛː/,paddy field,0
37,ดูง,/duːŋ/,coconut.,0
38,ดูง,/duːŋ/,well.,0
39,ดูง,/duːŋ/,well.,0
40,ตง,/toŋ/,egg.,0
41,ตา,,maternal grandfather,0
42,ตุง,/tuŋ/,egg.,0
43,โตด,,head,0
44,ท้าม,,crab,0
45,น่อง,,mountain,0
46,นั่ก,,person,0
47,นั่งซือ,,"book, alphabet, letter",0
48,บัว,,water lily,0
49,บูย,,roof,0
50,ปซี,/psiː/,snake.,0
51,ปล็อง,,cooked rice,0
52,ปัง,/paŋ/,flower.,0
53,ปาง,/paːŋ/,flower.,0
54,ปาว,/paːw/,water buffalo,0
55,เปล,/pleː/,"cradle, hammock",0
56,พซี,/pʰsiː/,snake.,0
57,พะซา,,language,0
58,พ์าย,,two,0
59,เพล่ว,,fire,0
60,แพ่ะ,,goat,0
61,โพ่น,,drum,0
62,ฟูง,/fuːŋ/,herd; flock.,0
63,มะง่าม,,bee,0
64,มั่ดตะงิ,,sun,0
65,มาด,,rhinoceros,0
66,เม์ว,,fish,0
67,เม่อ,,mother,0
68,ยาง,/jaːŋ/,"turtle, tortoise",0
69,ย่าย,,maternal grandmother,0
70,ร่อง,,centipede,0
71,ร์อย,,"melon, cucumber",0
72,รูล,/ruːl/,coconut.,0
73,แลก,/lɛːk/,chicken.,0
74,วันนะยุก,,tone; tone mark.,0
75,วา,,monkey,0
76,อิ,,not,0
77,อีน,,to have,0
78,อูด,,branch (of a tree),0
79,อูน,/ʔuːɲ/,father,0
80,เอา,/ʔaw/,shirt; blouse.,0
81,ฮอบ,,to eat (only for rice),0
82,ไฮ,,(earthen) jar,0
