ID,Form,IPA,Gloss,Language_ID
0,А,,"The first letter of the Chuvash alphabet, written in the Cyrillic script.",0
1,авал,,"long ago, in ancient times",0
2,авалхи,,ancient,0
3,аван,,"good, Synonyms: лайӑх (lajăh), маттур (mattur), Antonyms:",0
4,Австри,,Austria (a country in Europe),0
5,авӑр,,whirlpool,0
6,авӑр,,grind,0
7,авӑт,[ˈaʋət],"to sing (of birds), to cuckoo, to crow (of a cock),",0
8,Азербайджан,,Azerbaijan (a country in Europe and Asia),0
9,айванлан,,"to become stupid, become foolish
Synonym: ансухлан (ans̬uhlan)",0
10,ак,,sow,0
11,ака,,"plowing, plowed arable land, April",0
12,Албани,,Albania (a country in Europe),0
13,алӑ,,hand,0
14,ама,,female,0
15,амант,,"to maim, to cripple, to mutilate",0
16,ампар,,granary,0
17,Андорра,,Andorra (a country in Europe),0
18,анлӑ,,"wide, broad
Synonym: сарлака (sarlak̬a)
Antonym: ансӑр (ans̬ăr)",0
19,анне,,mother,0
20,ансухлан,,"to become stupid, become foolish
Synonym: айванлан (ajvanlan)",0
21,ансӑр,,"narrow
Antonyms: сарлака (sarlak̬a), анлӑ (anlă)",0
22,апат,[aˈbat],"meal, food",0
23,аппа,,sister (older),0
24,ар,,man (adult male human),0
25,ара,,"really, of course",0
26,Армени,,"Armenia (a country in Europe and Asia)
Synonym: Эрмени (Ermeni)",0
27,артакла,,"to caress
Synonym: ачашла (ač̬ašla)",0
28,арҫын,,"man, male human being, husband, spouse",0
29,арӑм,,"wife
Coordinate term: упӑшка (up̬ăška)",0
30,арӑслан,,lion,0
31,ас,,memory,0
32,атте,,father,0
33,атте-анне,,parents,0
34,ача,/aˈd͡ʑa/,child,0
35,ача-пӑча,,"(collective) kids, children",0
36,ачашла,,"to caress
Synonym: артакла (art̬akla)",0
37,аш,,meat,0
38,аш,,to trample down,0
39,аш-какай,,meat,0
40,ашак,,"donkey, ass",0
41,аяк,,(anatomy) side of the body,0
42,аякри,,"remote, distant, Antonyms: инҫе (inś̬e), катари (kat̬ari),",0
43,Беларуҫ,,Belarus (a country in Europe),0
44,Бельги,,Belgium (a country in Europe),0
45,Братислава,,Bratislava (the capital and largest city of Slovakia),0
46,вут,,fire,0
47,вӑрлӑх,,"seed, Synonym: вӑрӑ (vără)",0
48,вӗри,,"hot
Antonym: сивӗ (sivĕ)",0
49,вӗт,,"to singe, to lash, to switch, to whip",0
50,е,,or,0
51,епле,,how,0
52,ешӗл,,"green
Synonym: симӗс (simĕs)",0
53,иккӗ,[ˈikʲːɘ],two,0
54,икӗ,,two,0
55,ил,,to take,0
56,илт,,to hear,0
57,инкек,,"misfortune, trouble, disaster, mischief",0
58,инҫе,,"faraway, distant, remote
Synonyms: катари (kat̬ari), инҫетри (inś̬etri), аякри (ajakri)
Antonym: ҫывӑх (śyvăh)",0
