ID,Form,IPA,Gloss,Language_ID
0,A,,"The first letter of the Comanche alphabet, written in the Latin script.",0
1,apʉ,,father,0
2,arʉka,,deer,0
3,haa,,yes,0
4,hanipʉ,,corn (U.S.) (Zea mays),0
5,inapʉ,,jerky,0
6,itʉhʉ,,they (3rd person dual subject pronoun),0
7,itʉkwʉ,,they (3rd person dual subject pronoun),0
8,itʉʉ,,they (3rd person plural subject pronoun),0
9,iʔ,,"he, she, it (3rd person singular subject pronoun)",0
10,kahni,,house,0
11,kee,,no,0
12,kuuna,,fire,0
13,kuutsuu,,"American bison, buffalo",0
14,kʉtséena,,coyote,0
15,mahrʉ,,they (3rd person dual subject pronoun),0
16,marʉkwʉ,,they (3rd person dual subject pronoun),0
17,marʉʉ,,they (3rd person plural subject pronoun),0
18,maʔ,,"he, she, it (3rd person singular subject pronoun)",0
19,mupitsʉ,,owl,0
20,mʉa,,(astronomy) moon,0
21,mʉhʉ,,you two (2nd person dual subject pronoun),0
22,mʉkwʉ,,you two (2nd person dual subject pronoun),0
23,mʉmʉ,,you (2nd person plural subject pronoun),0
24,mʉnʉ,,you (2nd person plural subject pronoun),0
25,nami,,younger sister,0
26,nʉ,,I (1st person singular subject pronoun),0
27,nʉkwʉ,,"we (I and another, but not you) (1st person dual subject pronoun, exclusive)",0
28,nʉmʉ,[ˈnɨmɨ],person,0
29,Nʉmʉnʉʉ,,Comanche,0
30,nʉnʉ,,"we (I and others, but not you) (1st person plural subject pronoun, exclusive)",0
31,ohrʉ,,they (3rd person dual subject pronoun),0
32,orʉkwʉ,,they (3rd person dual subject pronoun),0
33,orʉʉ,,they (3rd person plural subject pronoun),0
34,oʔ,,"he, she, it (3rd person singular subject pronoun)",0
35,paa,,water,0
36,pabi,,older brother,0
37,paracoa,,rainbow,0
38,pasawʔóo,,frog,0
39,patsi,,older sister,0
40,pekwi,,fish,0
41,pia,,mother,0
42,puuku,,horse,0
43,pʉhʉ,,"we-too, you-too, they-too (reflexive-possessive dual subject pronoun)",0
44,pʉkwʉ,,"we-too, you-too, they-too (reflexive-possessive dual subject pronoun)",0
45,pʉmʉ,,"we-too, you-too, they-too (reflexive-possessive plural subject pronoun)",0
46,pʉnʉ,,"I-too, you-too, he/she/it-too (reflexive-possessive singular subject pronoun)",0
47,sarii,,dog,0
48,sunipʉ,,grass,0
49,ta-,,"they, one, somebody (indefinite subject pronoun prefix)",0
50,taabe,,sun,0
51,tabu,,rabbit,0
52,tahʉ,,"we (you and I) (1st person dual subject pronoun, inclusive)",0
53,takwʉ,,"we (you and I) (1st person dual subject pronoun, inclusive)",0
54,tami,,younger brother,0
55,tanʉ,,"we (1st person plural subject pronoun, inclusive)",0
56,tatsinupi,,star (celestial body),0
57,tomoobi,,sky,0
58,toyaruku,,cougar,0
59,tuaahtaki,,cricket,0
60,uhrʉ,,they (3rd person dual subject pronoun),0
61,urʉkwʉ,,they (3rd person dual subject pronoun),0
62,urʉʉ,,they (3rd person plural subject pronoun),0
63,uʔ,,"he, she, it (3rd person singular subject pronoun)",0
64,ʉmarʉ,,rain,0
65,ʉnʉ,,you (2nd person singular subject pronoun),0
