ID,Form,IPA,Gloss,Language_ID
0,be,,red,0
1,bi,,green,0
2,bio,,time,0
3,bè,,two,0
4,cheⁿ,,more,0
5,chi,,grandfather,0
6,chi,,not,0
7,chi',,moon,0
8,chu,,year,0
9,eⁿ',,"the plural definite article, the",0
10,i',,"the singular definite article, the",0
11,ja,,heavy,0
12,ja,,I,0
13,kesò,,cheese,0
14,kítzkò,,louse,0
15,kítzkó,,iguana,0
16,kítzë',,dog,0
17,ljaaꞌ,,flower,0
18,ljeii,,"figure, design, letter, character, writing, law",0
19,luañeⁿ,,mason,0
20,luñè,,Monday,0
21,lê,,law,0
22,lë',,baby,0
23,martè,,Tuesday,0
24,mi,,have,0
25,mi,,cat,0
26,mikluè,,Wednesday,0
27,mî,,thousand,0
28,ndaa,,water,0
29,Su,,Jesus,0
30,yo,,with,0
31,ëⁿ',,"the singular definite article, the",0
