ID,Form,IPA,Gloss,Language_ID
0,adat,,custom (Frequent repetition of the same act),0
1,adi,,sibling ((younger) person who shares same parents),0
2,ai,/aiʔ/,water,0
3,akar,,root (of plant),0
4,aku,,"I (personal pronoun), me (direct object of a verb),",0
5,anak,,"child (a female or male child, a daughter or son)",0
6,angin,,wind (movement of air),0
7,ansa,,goose (a grazing waterfowl of the family Anatidae),0
8,antu,,"devil, demon (wicked spirit), Nya alai, sida takutka",0
9,api,,fire (oxidation reaction),0
10,asap,,smoke (visible particles and vapour given off by burning,0
11,asu,,dog (animal),0
12,bakul,,basket (container),0
13,bangku,,bench (long seat),0
14,belas,,-teen (to form numbers 11 - 19),0
15,beras,,rice (raw seeds used as food),0
16,besai,,"big (of a great size), big (adult)",0
17,besi,,"(physics, chemistry, metallurgy) iron (element)",0
18,binatang,,"animal (organism), animal (organism other than man)",0
19,buah,,"fruit (food), fruit (part of plant)",0
20,bulan,,"moon (largest natural satellite of planet Earth), moon",0
21,bulih,,"can (to be able), can (may), may (have permission to)",0
22,bungsu,,lastborn (born last in a family),0
23,changkol,,hoe (agricultural tool),0
24,chat,,paint (substance),0
25,chawan,,cup (vessel for drinking),0
26,embun,,"dew (moisture in the air that settles on plants, etc)",0
27,empat,,four,0
28,ikan,,fish (vertebrate animal),0
29,ina,,"mother (female (human) who parents a child, gives birth",0
30,jai,/d͡ʒaeʔ/,"bad, evil",0
31,jalai,,path (a course taken),0
32,jarum,,needle (implement for sewing etc.),0
33,kurur,,breadfruit,0
34,makai,,to eat (consume),0
35,nama,,what (interrogative pronoun),0
36,nanah,,pus (fluid found in regions of infection),0
37,padang,,"field; meadow, large space covered with one kind of",0
38,panggang,,"to roast; to bake, to cure by smoking",0
39,panggil,,"to call (to request, summon, or beckon)",0
40,puas,,satisfied (in a state of satisfaction),0
41,semangka,/sə.maŋ.ka/,"watermelon (fruit)
Usun makai semangka.Usun eats watermelon.",0
42,tampi,,to winnow,0
43,tanah,,"earth; soil, land; ground, country",0
44,tangan,/taŋan/,hand (part of the body),0
45,tauk,/tauʔ/,(stative) be able to,0
46,ubah,,"(intransitive) to change (to become something different),",0
47,uban,,grey hair (hair with the colour grey),0
48,ubat,,medicine (substance which promotes healing),0
49,ukur,,to measure (ascertain the quantity of a unit),0
50,urup,,letter (letter of the alphabet),0
