ID,Form,IPA,Gloss,Language_ID
0,'im,,"Alternative spelling of im.
2005,  Lorrimer Burford,  A Jamaican Storyteller's Tale (in English), →ISBN, page 76:“Well! Lloyd seh 'im see Danzo duppy all di while. 'Im seh, every time 'im see 'im, a one han' 'im have.  […] ”Well! LLoyd said he sees Danzo's ghost all the time. He said, every time he sees him, he only has one arm.  […] ",0
1,aaks,,Alternative spelling of aks.,0
2,abeng,/aˈbɛŋ/,"An abeng – the horn of the Jamaican Maroons., 2003,",0
3,Accompong,/aˈkʌmpʌŋ/,Accompong. A historical Maroon village located in the,0
4,ackee,/ˈakɪ/,"An ackee[2]., Nuttn nuh nice like ackee and saltfish",0
5,affi,/ˈafɪ/,"Alternative spelling of haffi; have to; must, 2020",0
6,afi,/ˈafɪ/,"Alternative spelling of haffi; have to; must, 2020",0
7,aks,/ˈɑːks/,"ask, 2013,  Loron-Jon Stokes,  Citizen Class 5, →ISBN,",0
8,Anancy,,Alternative spelling of Anansi,0
9,Ananse,,Alternative spelling of Anansi,0
10,Anansi,/aˈnansi/,Anansi (trickster spider in West African and Caribbean,0
11,Anansy,,Alternative spelling of Anansi,0
12,aneda,,Alternative spelling of anedda,0
13,anedda,/aˈnɛda/,"another, 2006,  Ras Dennis Jabari Reynolds,  Jabari:",0
14,anoda,,"Alternative spelling of anedda.
2012,  “Jamaicans anxious ahead of IMF meeting”, in  The Jamaica Gleaner‎[1] (in English):“""If wi can do betta, I don't t'ink wi should tek anoda deal,"" said a vendor. ""I t'ink wi would be better off.""  […] ”",0
15,anuh,/ˈanʌ/,"Am not; is not; are not; was not; were not., 2021 January",0
16,ax,,"Alternative spelling of aks.
2006,  Amina Blackwood-Meeks,  “Aiming at your dreams”, in  The Jamaica Gleaner‎[1]:“Well she sey one a de man dem come right up to har car window an show har fe him sign wid him finga, order har outa de plaza like sey it was him personal yaad an ax har if she tink sey chu hooman a go tun Prime Minista she can jus come park which part she have a mind.  […] ”So she said one of the men walked right up to her car window and pointed at his sign with his finger and ordered her to leave the plaza as if it were his own home. He asked her if she thought that the fact that a woman was going to become Prime Minister that she could just park anywhere she wanted to.  […] ",0
17,Babylon,/ˈbabɪlan/,"Babylon, (slang) cops, police[1] (law enforcement organisation),",0
18,bad-mind,,Alternative spelling of badmind.,0
19,bad-mind,,Alternative spelling of badmind.,0
20,badmind,/ˈbad ˈmaɪn/,"envious, jealous (envious), 1989,  Stephen Slemon,",0
21,badmind,/ˈbad ˈmaɪn/,"envy, jealousy (envy), 1961,  Spotlight: Caribbean",0
22,balmyard,/ˈbɑːm ˈjɑːd/,"A place where obeah and pocomania rituals are practised.,",0
23,bammie,,Alternative spelling of bammy.,0
24,bammy,/ˈbami/,"bammy (cassava flatbread)
1949,  Louise Bennett,  Mek Wi Talk: Jamaican Dialect Poems, →ISBN, page 128:“Me have coakinat , skellion , toomatis an' Ole Harbour bammy. Wat yuh want mam? Pum'kin? yuh wi haffe buy cho-cho wid i, dem married, same like 'ow cassava Is married to yampi . Is me wan gat bammy dis week [...]”I have coconuts, spring onions, tomatoes and bammies from Old Harbour. What would you like, ma'am? Pumpkin? You'll have to take the chayote as well. They're a couple. The same goes for cassava. It's married to the yam. I'm the only one who has bammy this week. [...]
Bammy!? Everybady else ah eat fry dumplin fi dem brekfas' Sunday mawnin, an' mi have fi a nyam stick root.Bammy!? Everybody else got fried dumplings for their Sunday morning breakfast and here I am eating the root of a plant.",0
25,bandwagonist,/ˌbanˈwa.ɡa.nɪs/,"bandwagoner, 2017,  Miss Kitty,  “Salute our athletes",0
26,bandwagonist,/ˌbanˈwa.ɡa.nɪs/,bandwagon,0
27,bankra,/baŋkra/,"basket, bankra, 2002,  Frederic G. Cassidy, Robert",0
28,banton,/ˈbantan/,"storyteller, 1998,  Howard J. Blumenthal,  The World",0
29,bara,/ˈbɑːra/,"Alternative form of borrow.
1995,  English World-wide, volume 16-17, Julius Groos Verlag, page 214:“So , mii en ha fi fain mi uona wie fi se ina Jamiekan aal kain a sinting we piipl a taak bout wen dem a stodi langgwij . Mek mi shuo unu wa ... Mi bara di Rasta wod 'grounieshan' we dem yuuz fi seshan we dem miit an riizn . Mi tek i an yuuz i fi [...]”Well, I had to find my own way to express all sorts of things in Jamaican Creole which people talk about when they study languages. Let me show you what [...] I'm borrowing the Rasta word ""Grounation"" which they use for sessions where they get together and discuss important matters. I took it and used it to [...]",0
30,baro,/ˈbɑːrʌ/,"Alternative form of borrow.
2020,  Carolyn Cooper,  “Govament a hide up di truth bout di virus?”, in  The Jamaica Gleaner‎[1]:“Mad smadi a baro maask!  […] ”Crazy people are borrowing masks!  […] ",0
31,bat,/ˈbat/,"moth (nocturnal insect), 2003,  Amber Wilson,  Jamaica:",0
32,bat,/ˈbat/,"bat (instrument for hitting or striking), When yu get",0
33,bat,/ˈbat/,old bat,0
34,bat,/ˈbat/,"bat (instrument for hitting or striking), When yu get",0
35,bat,/ˈbat/,old bat,0
36,batty,/ˈbatɪ/,"butt, bottom, buttocks (buttocks), 2009,  Hezie Samuels,",0
37,battyman,/ˈbatɪ ˈman/,"(vulgar, slang, derogatory) homosexual, fag (homosexual),",0
38,bills,/ˈbɪlz/,"(slang) A J$100 banknote., 2020,  “Caught my husband",0
39,blasom,,Alternative spelling of blossom.,0
40,bloodclaat,/ˈblʌdˌklɑːt/,"(idiomatic, vulgar, slang) damn, damned, fucking, goddamn,",0
41,bloodclaat,/ˈblʌdˌklɑːt/,"(idiomatic, vulgar, slang) holy shit, fuck, damn, 1996,",0
42,bomboclaat,/ˈbʌmbʌˌklɑːt/,"(idiomatic, vulgar, slang) damn, damned, fucking, goddamn,",0
43,bomboclaat,/ˈbʌmbʌˌklɑːt/,"(idiomatic, vulgar, slang) holy shit, fuck, damn, 2012,",0
44,boops,/bʊps/,"boom
2018,  Shelley Sykes-Coley,  Chat ’Bout!: An Anthology of Jamaican Conversations, →ISBN:“Me waan fi know why is always night, dat dem decide fi tun off di light? An' why, dat fram di day mi bawn, as likkle rain fall, boops! Di light gawn!   […] ”I want to know why they always decide to cut the power at night. Why is that, in my entire life, as soon as it starts to rain, boom! There's a blackout.  […] ",0
45,boops,/bʊps/,"sugar daddy
2014,  Alan Bradshaw, Avi Shankar,  Production & Consumption of Music (in English), →ISBN:“Women who engage in these long term profitable relationships call their benefactor a “Boops.” The Boops is usually a man of means who gives money and gifts in exchange for sex with his favored women heard in “Boops” by Super Cat (1986): ...  […] ” […] 
Me did have a little boops who did well want a baby. ― I had a sugar daddy who really wanted to have a baby.",0
46,boots,/buːts/,"Alternative form of boot., (slang) condom (male contraceptive),",0
47,boots,/buːts/,"encourage, promote, 2012,  Melville Cooke,  “Story",0
48,boots,/buːts/,"encourage, promote, 2012,  Melville Cooke,  “Story",0
49,bowcat,/ˈbɔʊ̯ˌkʲat/,"(vulgar, slang, often derogatory) a derogatory term",0
50,breda,,Alternative spelling of bredda,0
51,bredda,/brɛda/,"brother
1989,  Stewart Brown, Mervyn Morris, Gordon Rohlehr,  Voiceprint: An Anthology of Oral and Related Poetry from the Caribbean, →ISBN:“Oonoo call me bredda fi me! Beg yuh tell him come yah quick  […] ”Go get my brother! Please tell him to come here quickly  […] 
Mi a look fi mi bredda. ― I'm trying to find my brother.",0
52,brinks,/ˈbɹɪŋks/,"(slang) sugar daddy, 2006,  Ras Dennis Jabari Reynolds,",0
53,broda,,Alternative spelling of bredda,0
54,browning,/ˈbɹɔʊ̯nɪn/,"a lightskin female (of colour), 2002,  Mervyn C. Alleyne,",0
55,browning,/ˈbɹɔʊ̯nɪn/,"browning (caramel-based food additive), 2019,  Krysta",0
56,browning,/ˈbɹɔʊ̯nɪn/,"browning (caramel-based food additive), 2019,  Krysta",0
57,bruck,/ˈbɹʌk/,"broke, broken, 1986,  C. Davies,  Poetry Wales, volume",0
58,bruck,/ˈbɹʌk/,"break, 2001,  Lindsay McNab, Imelda Pilgrim, Marian",0
59,bumbaclot,,(slang) Alternative spelling of bomboclaat,0
60,bumboclaat,,Alternative spelling of bomboclaat.,0
61,bumboclaat,,Alternative spelling of bomboclaat.,0
62,bumboclat,,(slang) Alternative spelling of bomboclaat,0
63,bumboclot,,Alternative spelling of bomboclaat,0
64,butu,/ˈbʊtʊ/,"An uncouth and stupid person; a boor; a low-class person.[2],",0
65,bwoy,/ˈbwaɪ/,"boy, guy, man, 2011,  Marcus Bethel,  Scars and Stripes:",0
66,bwoy,/ˈbwaɪ/,bad bwoy,0
67,calaban,/kalaˈban/,"A box-and-stick type trap for birds. (bird trap)
2002,  Frederic G. Cassidy, Robert Brock Le Page,  Dictionary of Jamaican English (in English), →ISBN, page 89:“CALABAN  […]  A box-like trap made of sticks, used to catch ground-walking birds.  […] ” […] ",0
68,canna,/ˈkanə/,"(rare) Alternative form of cyaan., 2013,  Axel Bohmann,",0
69,carochies,/kaˈɹʷoː.t͡ʃɪz/,"odds and ends, junk, stuff, 2002,  Frederic G. Cassidy,",0
70,cerasee,/ˈsʌɹsɪ/,"bitter melon, cerasee, 2016,  Sylvia Gilfillian,  The",0
71,cerfiticket,/ˈsʌɹ.fɪ.tɪ.kɛt/,"certificate, 2009,  Richard Koss,  Giamaica (in Italian),",0
72,chai,,(Maroon Spirit Language) Carry.,0
73,chargie,/ˈt͡ʃɑːd͡ʒɪ/,"buddy, homie, friend, pal, 2020,  Oneil Madden,  The",0
74,chrii,/ˈt͡ʃ(ɹ)iː/,Alternative form of tree.,0
75,chrii,/ˈt͡ʃ(ɹ)iː/,Alternative form of three.,0
76,chrii,/ˈt͡ʃ(ɹ)iː/,Alternative form of three.,0
77,cocobay,/ˈkʌkʌbɛ/,"leprosy, 2002,  Frederic G. Cassidy, Robert Brock Le",0
78,cocobeh,,"Alternative spelling of cocobay., 2002,  Frederic G.",0
79,Concorde,/ˈkanˌkɑːd/,"The Aérospatiale-BAC supersonic airliner; Concorde.,",0
80,cotch,/ˈkatʃ/,"accommodation, place, space (accommodation), 2014,",0
