ID,Form,IPA,Gloss,Language_ID
0,ᄀᆞᄁᆞᆺ,,"just then, a short time ago",0
1,ᄀᆞᆨ다기,,mosquito,0
2,ᄀᆞᆫ장,[kɒnd͡ʑa̠ŋ],"soy sauce, Synonyms: 물장 (muljang), 장물 (jangmul), 국물장",0
3,ᄀᆞᆮ다,/kɒt̚t͈a/,"to speak, to say",0
4,ᄀᆞᆯ개비,,frog,0
5,ᄀᆞᆸ,,"layer; fold, portion; allotment, 밥을 먹어도 서로 ᄀᆞᆸ을 갈랑",0
6,ᄀᆞᆺ바위,/kɒt̚p͈a̠wi/,the edge of a round object,0
7,ᄀᆞᆺ사,,"just then
Synonym: ᄀᆞᄁᆞᆺ (gawkkawt)",0
8,ᄀᆞ끔,,sometimes,0
9,ᄀᆞ득,,full; fully,0
10,ᄀᆞ득다,,to be full,0
11,ᄀᆞ로쓰기,,horizontal writing,0
12,ᄀᆞ르,/kɒɾɨ/,"meal, flour (of wheat, etc.); powder",0
13,ᄀᆞ를,,"powder, flour, Synonym: 밀ᄏᆞ를 (milkawreul)",0
14,ᄀᆞ리,/kɒɾi/,"time, an occasion; the time when...",0
15,ᄀᆞ맹이,,"heat haze, Synonym: 벳ᄀᆞ렝이 (betgawreng-i)",0
16,ᄀᆞ새,[kɔsʰɛ],scissors,0
17,ᄀᆞ을,,autumn; fall,0
18,ᄀᆞ져들이다,/kɒd͡ʑjədɨɾida̠/,"To bring in
그 문세를 ᄀᆞ져들이라.geu munsereul gawjyeodeuriraBring that document in.",0
19,ᄀᆞ찌,[kɒt͡ɕ͈i],"with, together",0
20,ᄀᆞ찌,[kɒt͡ɕ͈i],"like, in a similar way.",0
21,ᄁᆞ늘다,,"thin, slender (of something long and thin, like a thread",0
22,ᄁᆞ장,[k͈ɒd͡ʑa̠ŋ],"(generally) until, till, by (a time), up to",0
23,ᄂᆞᄆᆞᆯ,/nɒmɒɭ/,"greens, namul, herbs",0
24,ᄂᆞᄆᆞᆯ국,/nɒmɒɭɡuk̚/,vegetable soup,0
25,ᄂᆞᆷ삐,/nɔmp͈i/,"Korean radish, a variety of daikon.",0
26,ᄂᆞᆺ빗,,"an expression of feeling, especially a facial expression",0
27,ᄂᆞ단,/nɒda̠n/,"right, right-hand, Synonym: 오른 (oreun), Antonym: 웬",0
28,ᄂᆞ시,/nɒʃi/,(denoting a conclusion of an event),0
29,ᄂᆞ실다,/nɒʃiɭda̠/,"to sharpen the blade of a knife, sickle, or a tool.",0
30,ᄂᆞ잡다,,to be low,0
31,ᄃᆞᆨ,,"fowl, chicken",0
32,ᄃᆞᆫ물장의,,"The Japanese eel, Anguilla japonica",0
33,ᄃᆞᆯ,,"moon, month, Synonym: 월 (wol)",0
34,ᄃᆞᆯ뱅이,/tɒɭbæŋi/,"snail, Synonym: 고능 (goneung)",0
35,ᄃᆞᆺᄃᆞᆺᄒᆞ다,,(to be) warm,0
36,ᄃᆞᆼ그다,,to dip; to soak,0
37,ᄃᆞ람지,/tɒːɾa̠md͡ʑi/,bat,0
38,ᄃᆞ스다,,(to be) warm,0
39,ᄄᆞᆯ,/t͈ɒɭ/,"daughter, Coordinate term: 아덜 (adeol)",0
40,ᄄᆞᆷ,,sweat,0
41,ᄄᆞ뜻ᄒᆞ다,,(to be) warm,0
42,ᄆᆞᆫ딱,,"all, wholly, Synonyms: ᄉᆞᆯ그랭이 (soalgeuraeng-i), ᄏᆞᄏᆞᆯ",0
43,ᄆᆞᆯ,,horse,0
44,ᄆᆞᆯ,,gulfweed (Sargassum fulvellum),0
45,ᄆᆞᆯ,,gulfweed (Sargassum fulvellum),0
46,ᄆᆞᆯ랑ᄆᆞᆯ랑ᄒᆞ다,,gentle,0
47,ᄆᆞ르다,,to dry,0
48,ᄆᆞ르다,,to cut (with scissors),0
49,ᄆᆞ르다,,to cut (with scissors),0
50,ᄆᆞ슬,/mɒsɨɭ/,village,0
51,ᄆᆞ슴,,mind; heart,0
52,ᄆᆞ실,/mɒʃiɭ/,"village, hamlet, settlement",0
53,ᄆᆞ츰내,,finally; in the end,0
54,ᄇᆞᆮ,/pɒt̚/,(anatomy) womb,0
55,ᄇᆞᆯ끈,/pɒɭk͈ɨn/,tightly,0
56,ᄇᆞᆯ써,,already,0
57,ᄇᆞᆰ다,,"(to be) bright, Synonym: 훤ᄒᆞ다 (hwonhawda), to be light",0
58,ᄈᆞᆯ레ᄒᆞ다,,to do the laundry,0
59,ᄉᆞ랑,,"love, Synonym: 연애 (yeon-ae)",0
60,ᄉᆞ수매,/sɒsumæ/,a four year-old horse,0
61,ᄉᆞ용ᄒᆞ다,/sɒjo̞ŋɦɒda̠/,"to use, to utilize, to employ",0
62,ᄉᆞ춘,/sɒt͡ɕʰun/,cousin (male or female),0
63,ᄉᆞ훼,,society,0
64,ᄊᆞᆯ칩,,rice shop (a shop that sells rice),0
