ID,Form,IPA,Gloss,Language_ID
0,fil,/fɪl/,elephant,0
1,gyrg,/ɡyɾɡ/,wolf,0
2,hovo,/hovo/,air,0
3,kongoluş,,"elder, elderberry (tree and fruit)",0
4,muş,/muʃ/,"mouse, rat",0
5,ov,,"water, humidity",0
6,ov,,hunt,0
7,ov,,hunt,0
8,qəçele,/ɢædʒɛlɛ/,magpie,0
9,syrx,/syɾχ/,gold,0
10,xyrs,,"Latin script form of хуьрс (xyrs, “bear”)",0
11,А,,"The first letter of the Judeo-Tat alphabet, written in the Cyrillic script.",0
12,бэгъ,/bæɢ/,frog,0
13,гуьрг,/ɡyɾɡ/,wolf,0
14,гъэжеле,/ɢædʒɛlɛ/,magpie,0
15,гьово,/hovo/,air,0
16,гӀэсб,/ʕæsb/,horse,0
17,жугьур,,Jew,0
18,леглег,/lɛɡlɛɡ/,stork,0
19,мерд,,man,0
20,мизрох,,East,0
21,муш,/muʃ/,"mouse, rat",0
22,назу,,cat,0
23,одоми,,"human, person",0
24,суьрх,/syɾχ/,gold,0
25,фил,/fɪl/,elephant,0
26,хабэри,,news,0
27,худо,,God,0
28,хун,,emperor,0
29,хуьрс,/χyɾs/,bear,0
30,хьэфд,/ħæfd/,seven,0
31,чуь,,what,0
32,шолум,,"hello, hi, shalom",0
33,אָב,,"water, humidity",0
34,אָב,,hunt,0
35,אָב,,hunt,0
36,גאורג,/ɡyɾɡ/,wolf,0
37,האָבאָ,/hovo/,air,0
38,כאורס,,"Hebrew script form of хуьрс (xyrs, “bear”)",0
39,מאוּש,/muʃ/,"mouse, rat",0
40,סאורכ,/syɾχ/,gold,0
41,עאסבּ,,"Hebrew script form of гӀэсб (ḩəsb, “horse”)",0
42,קאז׳אילאי,/ɢædʒɛlɛ/,magpie,0
43,ḩəsb,,"Latin script form of гӀэсб (ḩəsb, “horse”)",0
44,*haptá,,,1
