ID,Form,IPA,Gloss,Language_ID
0,A,,"The first letter of the Karelian alphabet, written in the Latin script.",0
1,aakkoa,,to say aa,0
2,aberi,/ˈɑberi/,"primer, ABC (textbook formerly used in primary education",0
3,abortu,,abortion,0
4,abu,,help,0
5,abuniekka,,"assistant, aide",0
6,adra,,plough,0
7,agjatoi,,endless,0
8,ahas,,"tight, cramped",0
9,ahashenkine,,narrow-minded,0
10,ahe,,hillside,0
11,ahinko,,"plight, distress",0
12,ahjo,,fireplace,0
13,ahkera,,"industrious, hardworking",0
14,ahkivo,,"pulk, sledge",0
15,ahku,,"dregs, waste",0
16,ahmoi,,wolverine (Gulo gulo),0
17,ahtivo,,distress,0
18,aida,,fence,0
19,aiga,/ˈɑi̯ɡɑ/,(South Karelian) time,0
20,aiguero,,time difference,0
21,aiguhälütin,,timer,0
22,aigukauzi,,"age, era",0
23,aigukauzilehti,,magazine,0
24,aijoi,,early,0
25,aika,/ˈɑi̯kɑ/,(North Karelian) time,0
26,ainavo,,only,0
27,ainos,,always,0
28,airo,,oar,0
29,aitta,,storehouse,0
30,aivoparaličču,,(medicine) stroke,0
31,aivot,,brains,0
32,akka,/ˈɑkːɑ/,"old woman, wife",0
33,akottuo,/ˈɑkotːuo̯/,(transitive) to marry,0
34,alah,,down,0
35,alastoi,,naked,0
36,alkogolitoi,,nonalcoholic,0
37,allas,,trough,0
38,alliguator,,alligator,0
39,aloveh,,region,0
40,alovehelline,,regional,0
41,amburjaine,,wasp,0
42,ammatilline,,"occupational, vocational",0
43,anatoumii,,anatomy,0
44,angiinu,,(medicine) tonsillitis,0
45,Anglii,,England,0
46,anoppi,,mother-in-law,0
47,ančoussu,,anchovy,0
48,apelʹsiinu,,orange (fruit),0
49,appi,,father-in-law,0
50,appiukko,,father-in-law,0
51,aptiekku,,pharmacy,0
52,arhelei,,bishop,0
53,arktilline,,Arctic,0
54,armahuš,,love,0
55,armas,,dear,0
56,armiivellaline,,"draftee, conscript",0
57,armo,,mercy,0
