ID,Form,IPA,Gloss,Language_ID
0,ago,/aˈɡo/,may I come in?,0
1,bug,/ˈbuɡ/,boy (young male human),0
2,djilo,/d͡ʒiˈlo/,"water
Synonym: dlo",0
3,dlo,/ˈdlo/,"water, Synonym: djilo",0
4,fam,/ˈfam/,"woman, wife",0
5,gholut,/ɡhoˈlut/,"giant otter (a South American mustelid, Pteronura brasiliensis)",0
6,hãpli,/hãˈpli/,(of a canoe) to flood (to become filled with water),0
7,ladjig,/laˈd͡ʒiɡ/,"firm ground, where vehicles don’t bog down",0
8,uóm,/ˈwɔm/,man,0
9,ãxéne,/ã.ʃɛ.ˈne/,to chain (to fasten something with a chain),0
