ID,Form,IPA,Gloss,Language_ID
0,A,,"The first letter of the Kikuyu alphabet, written in the Latin script.",0
1,aarimũ,/àːɾímóꜜ/,plural of mwarimũ,0
2,aca,/aːɕa/,"no[1]
Antonym: ĩĩ",0
3,aga,/aɣa/,"to lack, to miss, to fail to find",0
4,aka,,to build,0
5,aka,,plural of mũka,0
6,aka,,plural of mũka,0
7,akia,/akia/,"to kindle, to light[1]",0
8,amba,/aᵐba/,"to peg (out), to pitch, to stretch out, to do first",0
9,ambata,/aᵐbata/,"to come up, to go up, to ascend",0
10,ambĩrĩria,/aᵐbeɾeɾia/,"(transitive) to begin, to start",0
11,andĩka,/aⁿdeka/,"to write
Andĩka rĩĩtwa rĩaku. - Write your name.",0
12,aria,/aɾia/,"to speak, Njaragia Gĩkũyũ. ― I (usually) speak Kikuyu",0
13,arimũ,,plural of mwarimũ,0
14,atha,/aða/,"to order, to command",0
15,atũka,/atoka/,(intransitive) to split,0
16,atĩa,/atea/,(interrogative) what,0
17,atĩrĩrĩ,,listen to me,0
18,atũra,/atoɾa/,"(transitive) to split, to divide, to part",0
19,baara,/βaːɾa/,"to look at, to examine",0
20,baba,/βàːβǎꜜ/,"my father, dad",0
21,bangiri,/βàŋɡírí/,bangle,0
22,bara,/βàɾà(ꜜ)/,"road
Synonyms: barabara, njĩra",0
23,barabara,/βàɾàβàɾà(ꜜ)/,"road[3], barabara ĩno - this road, barabara ici - these",0
24,barĩthiramu,/βàɾéːðìɾámú/,pyrethrum,0
25,biribiri,/βìɾìβíɾíꜜ/,"red pepper, hot pepper, chili pepper",0
26,bitharĩ,/βìðáːɾè(ꜜ)/,curry powder[1],0
27,bongwe,/βɔ́ᵑɡwɛ̌ꜜ/,(Chanler's) mountain reedbuck (Redunca fulvorufula chanleri),0
28,borithi,/βɔ̀ɾíðì(ꜜ)/,"police, Synonym: birithi",0
29,butha,/βuða/,to be rotten,0
30,bũrũri,/βòɾòɾí/,"country, region",0
31,cemania,/ɕɛmania/,"to meet, to join up with",0
32,ciana,/ɕiànáꜜ/,plural of mwana,0
33,ciara,,"to bring forth, to give birth, to give rise[1][2],",0
34,ciara,,plural of kĩara,0
35,ciara,,plural of kĩara,0
36,ciara,,plural of kĩara,0
37,ciara,,plural of kĩara,0
38,ciara,,plural of kĩara,0
39,cimba,/ɕiᵐba/,"to hoe, to dig with a hoe",0
40,cina,/ɕina/,(transitive) to burn[1],0
41,cindano,/ɕiⁿdanɔ/,needle,0
42,coka,/ɕɔːka/,"to go back, to return",0
43,cokia,/ɕɔːkia/,"to give back, to put back, to reply, to answer",0
44,conoka,/ɕɔnɔka/,"to be ashamed, to be shy[1][2]",0
45,cuba,/ʃùːβàꜜ/,"bottle, Synonym: mũcuba",0
46,cukari,/ɕùkàːɾìꜜ/,"sugar, cukari wa nguru - molasses, treacle[1], mũrimũ",0
47,cukuru,/ɕùkúɾù(ꜜ)/,"Alternative form of thukuru
cukuru cia mĩceni ― Mission Schools[1]",0
48,cuma,/(t)ɕùːmà(ꜜ)/,"iron, steel[1]",0
49,cumbĩ,/(t)ɕùᵐbé/,salt,0
