ID,Form,IPA,Gloss,Language_ID
0,c'áʔc'uʔ,,clean,0
1,c'éʔc'əm',,small bird,0
2,c'íq'i,,soggy,0
3,c'íq'ʷən,,shoulder,0
4,c'íxʷc'xʷ,,"osprey, falcon",0
5,c'úʔməŋ,,damp,0
6,c'əc'psiʔúcən,,squirrel,0
7,c'ə́q'ʷc'q'ʷ,,dirty,0
8,cays,,hand,0
9,cúcən,,mouth,0
10,cə́y'əł,,lake,0
11,hahúʔəŋ,,frog,0
12,háʔł,,"good, well",0
13,húʔpt,,deer,0
14,həm'ú,,pigeon,0
15,hə́nən',,humpback salmon Oncorhynchus gorbuscha,0
16,k'ʷaʔc'ə́n'tč,,shark,0
17,k'ʷánət',,porpoise,0
18,k'ʷát'ən,,rat,0
19,k'ʷə́yəčən,,"grizzly bear, cougar",0
20,k'ʷə́č'aʔc',,flea,0
21,kʷítšn,,Chinook salmon,0
22,lám,,beer,0
23,ləmətú,,domestic sheep,0
24,músmus,,cow,0
25,múʔuqʷ,,duck,0
26,mə́ščuʔ,,mink,0
27,náč'əwəč,,hundred,0
28,Nəxʷsƛ'ay'əmúcən,,Klallam (language),0
29,nə́c'uʔ,,one,0
30,puhúŋ'əs,,gull,0
31,páyə,,beer,0
32,péʔtšən,,salamander,0
33,píšpš,,cat,0
34,q'ayúƛ'ən',,"slug, snail",0
35,q'cə́w'əč,,dolphin,0
36,q'łúməčən,,orca,0
37,q'əpə́ŋ',,to harvest,0
38,q'ə́wic'əp,,cougar,0
39,qaʔqiʔcə́y',,"rabbit, hare",0
40,qəčqs,,coho salmon,0
41,qə́yəŋ,,eye,0
42,qʷuʔ,,water,0
43,qʷínəcən,,"beard, whiskers",0
44,saʔčúwił,,younger sibling,0
45,sc'ám',,bone,0
46,scłúcən,,lip,0
47,sk'ʷə́yəxʷ,,screech owl,0
48,smác'ən',,skunk,0
49,sməxʷə́yu,,earthquake,0
50,smə́yəc,,"elk, wapiti",0
51,snə́xʷł,,canoe,0
52,sq'iyáw',,beaver,0
53,sq'ʷúŋiʔ,,head,0
54,sqiyáyŋxʷ,,tree,0
55,sqáχəʔ,,dog,0
56,sqʷəmə́y',,dog,0
57,stiqíw,,horse,0
58,stqáyuʔ,,wolf,0
59,stáʔčəŋ,,wolf,0
60,stúʔwiʔ,,river,0
61,swə́y'qa,,man,0
62,sxʷsʔúk'ʷł,,step-parent,0
63,sčqʷáy'əč,,black bear,0
64,sčánnəxʷ,,salmon,0
65,sχcáʔəy,,hay,0
66,t'aʔt'ə́m',,wren,0
67,t'aʔt'ə́wəsnaʔ,,star,0
68,t'áyəqəŋ,,soggy,0
69,titə́ŋxʷi,,dirty,0
70,tínəqsən,,mallard,0
71,Tłnáʔəč,,Canada,0
72,waʔwəšəlí,,horned grebe,0
73,xʷəxʷtəŋyéʔčaʔ,,mouse,0
74,čuławítxʷ,,beaver,0
75,čxʷə́yuʔ,,whale,0
76,čə́ns,,tooth,0
77,čə́saʔ,,two,0
78,łaʔłiʔp'iʔáχən,,bat (mammal),0
79,łq'tə́w'əč,,beaver,0
80,łqáy'č',,moon,0
81,ŋə́qsən,,nose,0
82,ŋə́scən',,louse,0
83,šxʷməhéʔnəs,,"porpoise, dolphin",0
84,ƛ'aʔƛ'ápt,,butterfly,0
85,ƛ'ák'ʷχən,,goose,0
86,ƛ'łáłc,,saltwater,0
87,ƛ'əmƛ'əmcínəŋ,,lightning,0
88,ƛ'əŋ'q'łčə́qsən,,cormorant,0
89,ʔaʔaŋí,,old squaw,0
90,ʔásxʷ,,fur seal,0
91,ʔáyəs,,sister,0
92,ʔáʔiŋ,,house,0
93,ʔłsq'íyuʔ,,rat,0
94,ʔənəcə́qʷ,,red,0
95,ʔəŋʔíŋəc,,grandchildren,0
96,ʔəšás,,sea lion,0
97,ʔə́y',,"good, well",0
98,χaʔχiyuʔéʔč,,chipmunk,0
99,χáyk'ʷs,,raccoon,0
100,χáʔčχłč,,hemlock,0
