ID,Form,IPA,Gloss,Language_ID
0,авʼаавʼ,,wound,0
1,авʼи,,brain,0
2,авʼъеён,,food,0
3,айгытӄын,,north,0
4,акык,,son,0
5,алаал,,summer,0
6,аногʼан,,spring,0
7,аняпэл,,spider,0
8,аняпэлӈэлӈын,,spiderweb,0
9,ачгʼын,,fat,0
10,аӈаӈъян,,song,0
11,аӈӄан,,sea,0
12,вʼаннылӈын,,tooth,0
13,вʼэем,,river,0
14,ваят,,"people, nation",0
15,гʼытгʼым,,bone,0
16,гʼытгʼын,,dog,0
17,гʼэгылӈын,,wolf,0
18,гилгил,,ice,0
19,гылгын,,skin,0
20,икыт,,ice,0
21,илий,,island,0
22,ипиип,,smoke,0
23,йилыйил,,language,0
24,йыйка,,walrus,0
25,йылгылӈын,,finger,0
26,йыннылӈын,,horn,0
27,йәлгәлӈән,,finger,0
28,кайӈын,,brown bear,0
29,кытгэл,,ice,0
30,кытэг,,wind,0
31,лиӈлиӈ,,heart,0
32,лылалӈын,,eye,0
33,лэвʼтытгʼым,,skull,0
34,лэвʼыт,,head,0
35,мимыл,,water,0
36,муллымул,,blood,0
37,муӄэмуӄ,,rain,0
38,мыллыӈэн,,five,0
39,мынгыткэн,,ten,0
40,нивʼлыӄин,,"tall, long",0
41,ныкинык,,night,0
42,нымэйӈыӄин,,big,0
43,ныппулюӄин,,small,0
44,нытуйӄин,,"new, young",0
45,пыӈлон,,question,0
46,тумгытум,/ˈtum.ɣə.tum/,"comrade, companion",0
47,тэгʼыйчыгʼын,,small,0
48,умӄа,,polar bear,0
49,ыннанмыллыӈэн,,six,0
50,ынныын,,fish,0
51,ыннэн,,one,0
52,эвʼтылаӈӄал,,south,0
53,яяӈа,,house,0
54,ӄоньгʼайчыӈкэн,,nine,0
55,ӈавʼгаллы,,duck,0
56,ӈыёӄ,,three,0
57,ӈыёӄмыллыӈэн,,eight,0
58,ӈылӈыл,,smoke,0
59,ӈыччеӄ,,two,0
60,ӈыяӄ,,four,0
61,ӈыяӄмыллыӈэн,,seven,0
