ID,Form,IPA,Gloss,Language_ID
0,ཀི་དེབ,,book,0
1,ཀུ་ཤུ,,apple,0
2,ཀུར་རྩི,,chair,0
3,ཀེ་ལའི,,banana,0
4,ཁ,,snow,0
5,ག་གྲི,,car,0
6,གནམ་རང,,blue of the sky,0
7,གྲང་མོ,,cold,0
8,གྲོགས,,friend,0
9,གླང་པོ་ཆེ,,elephant,0
10,གླུ་དབྱངས,,music,0
11,ཅུ་ལི,,apricot,0
12,ཆུ,,water,0
13,ཆུ་སྲིན,,crocodile,0
14,ཉེར་མ,,"chili, chili pepper",0
15,ཏག་ཏི,,whiteboard,0
16,ཏི་བི,,"cap, hat",0
17,དགོན་པ,,"monastery, gompa",0
18,དྲེན་མོ,,bear,0
19,ནག་པོ,,black,0
20,བག་མོ,,bride,0
21,བྱི་ལ,,cat,0
22,བྲོག་པོ,,"stream, small river",0
23,མིག,,eye,0
24,མིག་ར,,"eyeglasses, spectacles",0
25,མེན་ཏོག,,flower,0
26,མོག་མོག,,momo,0
27,ཚེ,,life,0
28,ཚེ་རིང,,"long life, longevity",0
29,ཝ་ཙེ,,fox,0
30,ཞིམ་པོ,,"delicious, tasty",0
31,ཟ་བྱེས,,to eat,0
32,འོ་མ,,(standard) milk,0
33,ཡིན་ནའང,,"but, however
Synonym: ལེ་ཀྱིན (lekin)",0
34,རི,,mountain,0
35,རྐང་པ,,"foot, leg",0
36,རྒུན,,grape,0
37,རྟ,,horse,0
38,རྡོ་བ,,"stone, rock",0
39,རྨུགས་པ,,"fog, mist",0
40,རྩི་གུ,,apricot stone,0
41,ལག་པ,,"(anatomy) hand, forearm, arm",0
42,ལག་འཕྱིས,,handkerchief,0
43,ལེ་ཀྱིན,,"but, however, Synonym: ཡིན་ནའང (inang)",0
44,ལྕང་མ,,tree,0
45,ལྟད་མོ,,festival,0
46,ས་ཕྲག་ལུང,,jealousy,0
47,ས་མན,,object,0
48,སུར་ན,,zurna,0
49,སོ,,tooth,0
50,སྐན་གློག,,lightning,0
51,སྐམ་པོ,,dry,0
52,སྐེ་ཆ,,jewellery,0
53,སྐེ་རག,,belt,0
54,སྔོན་པོ,,blue and the green of some plants,0
55,སྙན་པོ,,melodious,0
56,སྙིང,,"heart, Synonym: སྡིལ (ḍil)",0
57,སྡིལ,,"heart, Synonym: སྙིང (snying)",0
58,སྤེ་ར,,language,0
59,སྦྲུལ,,snake,0
60,སློབ་གྲྭ,,school,0
61,ཨ་ཞང,,maternal uncle,0
