ID,Form,IPA,Gloss,Language_ID
0,А,,"The first letter of the Lak alphabet, written in the Cyrillic script.",0
1,ахънилсри,/aqnilsri/,vegetable (a plant raised for some edible part of it),0
2,аьрщи,/ærʃːi/,ground,0
3,барцӏ,/ˈbart͡sʼ/,wolf,0
4,дуриан,/durian/,durian,0
5,ккаччи,/kːat͡ʃːi/,dog,0
6,кӏяла,/kʼaˤla/,"white[3], Synonym: кӀяласса (kʼaˤlas:a)",0
7,кӏялагьи,/kʼaˤlahi/,"birch[13][4][3][5], Synonyms: мархъ (marq), махъ (maq),",0
8,кӏялахӏи,/kʼaˤlaħi/,Alternative form of кӏялагьи (kʼaˤlahi),0
9,маз,/maz/,tongue,0
10,мурхь,/murx/,tree,0
11,набатат,/nabatat/,plant (organism capable of photosynthesis),0
12,оь,/oˤ/,blood,0
13,ххяххия,/χːaˤχːiaˤ/,plant (organism capable of photosynthesis),0
14,ца,/t͡sa/,Akin to Avar цо (co) and Chechen цхьаъ (cḥaʾ).,0
15,ца,/t͡sa/,one,0
16,шин,/ʃin/,water,0
17,щин,/ʃːin/,Alternative form of шин (šin),0
18,durian,,,1
