ID,Form,IPA,Gloss,Language_ID
0,ᤀ,/ɔ/,The vowel carrier of the Limbu Script. It uses to carry all the Limbu independent vowels. e.g: ᤀᤠ,0
1,ᤀᤠᤀᤡᤴ,/a.in/,today,0
2,ᤀᤠᤀᤡᤴᤋᤠᤴᤍᤡᤰ,/a.in.tan.dik/,nowadays,0
3,ᤀᤠᤂᤧᤴ,/a.kʰɛn/,how much,0
4,ᤀᤠᤏᤡ,/a.ni/,we (all),0
5,ᤀᤠᤑᤠᤗᤣ,/a.pʰa.le/,when,0
6,ᤀᤠᤱᤃᤠ,/aŋ.ɡa/,I,0
7,ᤀᤠᤳᤋᤡᤴ,/at.tin/,which,0
8,ᤀᤠᤴᤇᤡ,/an.t͡ɕʰi/,we (for referencing two people only),0
9,ᤀᤠᤶᤒᤡ,/am.bi/,oh,0
10,ᤀᤠᤸᤗᤠᤣ,/al.lo/,now,0
11,ᤀᤡᤰᤗᤣᤰ,/ik.lek/,alone,0
12,ᤀᤡᤱᤄᤱ,/iŋ.ɡʱɔŋ/,news,0
13,ᤀᤡᤶᤔᤠ,/im.ma/,to sleep; to go to bed,0
14,ᤀᤧᤄᤠᤱ,/ɛ.ɡʱaŋ/,ahead,0
15,ᤁ,/kɔ/,The first letter of the Limbu Script.,0
16,ᤁᤴ,/kɔn/,this,0
17,ᤁᤴᤇᤡ,/kɔn.t͡ɕʰi/,these (indicates two person or things),0
18,ᤁᤴᤏᤠ,/kɔn.na/,here,0
19,ᤁᤴᤜᤠ,/kɔn.ɦa/,"these (indicates all persons, places or things)",0
20,ᤂ,/kʰɔ/,The second letter of the Limbu Script.,0
21,ᤂᤠᤍᤠᤶᤔᤠ,/kʰa.dam.ma/,evening,0
22,ᤃ,/ɡɔ/,The third letter of the Limbu Script.,0
23,ᤄ,/ɡʱɔ/,The fourth letter of the Limbu Script.,0
24,ᤅ,/ŋɔ/,The fifth letter of the Limbu Script.,0
25,ᤅᤠᤛᤡ,/ŋa.si/,five,0
26,ᤆ,/t͡ɕɔ/,The sixth letter of the Limbu Script.,0
27,ᤆᤠᤜᤠᤒᤠ,/t͡ɕa.ɦa.ba/,wish,0
28,ᤆᤢᤰᤛᤠ,/t͡ɕuk.sa/,small,0
29,ᤆᤣᤛᤢᤱ,/t͡ɕe.suŋ/,gift,0
