ID,Form,IPA,Gloss,Language_ID
0,ae,,tree,0
1,aina,,child,0
2,aka,,canoe,0
3,analoch,,ten,0
4,balus,,airplane,0
5,dokta,,doctor,0
6,hur,,banana,0
7,héi,,woman,0
8,itoch,,star,0
9,kakop,,knife,0
10,kaone,,dog,0
11,kié,,pig,0
12,limé,,five,0
13,mioka,,tapioka,0
14,mol,,three,0
15,nai,,two,0
16,non,,man,0
17,ote,,paddle,0
18,pe,,and,0
19,poreke,,bad,0
20,pusi,,cat,0
21,péle,,house,0
22,rur,,vine,0
23,stoa,,store,0
24,ti,,tea,0
25,tisa,,teacher,0
26,tou,,sugar cane,0
27,téio,,moon,0
28,uach,,morning,0
29,um,,stone,0
30,umé,,garden,0
31,é,,one,0
32,éch,,water,0
33,éllé,,one,0
