ID,Form,IPA,Gloss,Language_ID
0,A,[e],"The first letter of the Malay alphabet, written in the Latin script.",0
1,a,,"The first letter of the Malay alphabet, written in the Latin script.",0
2,aba,/abə/,Alternative form of abah,0
3,aba,/abə/,father (male parent),0
4,aba,/abə/,Alternative form of haba,0
5,aba,/abə/,father (male parent),0
6,aba,/abə/,Alternative form of haba,0
7,aba,/abə/,Alternative form of haba,0
8,aba-aba,,"command, order",0
9,aba-daba,/abə dabə/,germ,0
10,abad,[abat],"century (100 years), Synonym: kurun / قرون",0
11,abadi,,"eternal, everlasting",0
12,abah,/abah/,"father (male parent), Synonyms: aba, ayah, bapa, rama,",0
13,abaka,[abakə],abaca (plant),0
14,abakus,/abakos/,abacus (calculating frame),0
15,abalone,[abalone],abalone (edible univalve mollusc),0
16,abang,/abaŋ/,brother (older male sibling),0
17,abdomen,/abdomən/,abdomen (belly),0
18,abduktor,/abduktor/,(anatomy) Abductor (muscle),0
19,abiad,/abiat/,white (bright and colourless),0
20,abiad,/abiat/,white (colour),0
21,abjad,/abd͡ʒat/,"alphabet (an ordered set of letters used in a language),",0
22,abomasum,/abomasum/,Abomasum (fourth or digestive stomach of a ruminant),0
23,absen,,"(colloquial) To be absent (in school, work and others)",0
24,absorptif,/apsɔ(r)ptef/,absorptive (having capacity to imbibe),0
25,abu,/abu/,"ash (solid remains of a fire), Synonyms: debu, duli,",0
26,abu-abu,[abu abu],(Indonesia) grey (colour),0
27,abu-abu,[abu abu],(Indonesia) grey (colour),0
28,abyad,/abiat/,white (bright and colourless),0
29,abyad,/abiat/,white (colour),0
30,acara,/at͡ʃarə/,"agenda, program, event (occurrence of social or personal",0
31,Aceh,/at͡ʃeh/,Aceh (province of Indonesia),0
32,acuan,/a.t͡ʃu.an/,mold (hollow object with a fixed shape to which liquid,0
33,ada,/adə/,to be (exist),0
34,adab,,"good manner, politeness, civility, Synonyms: akhlak,",0
35,adalah,/adəlah/,"(predicate marker) to be
Ini adalah benar.
This is true.",0
36,adat,/adat/,custom (Frequent repetition of the same act),0
37,adelfogami,/adelfoɡami/,adelphogamy (marriage between a brother and a sister),0
38,adem,/adəm/,(Jakarta) cold (having a low temperature),0
39,adi,/adi/,Alternative form of adik,0
40,adik,/adeʔ/,sibling ((younger) person who shares same parents),0
41,adik-beradik,/adeʔ bəradeʔ/,sibling (person who shares the same parents),0
42,adil,/adel/,"fair, just, right, legal",0
43,adinda,/adində/,(poetic) Alternative form of adik,0
44,ading,/adeŋ/,Alternative form of adik,0
45,adjektif,,adjective.,0
46,adoi,/adoi̯/,Alternative form of aduh,0
47,aduh,/aduh/,"ouch (expression of one's own physical pain), ouch",0
48,aduktor,/aduktor/,Adductor (muscle),0
49,aerologi,/eroloɡi/,aerology (branch of meteorology),0
50,Affenpinscher,,Affenpinscher,0
51,Afrika,/afrikə/,Africa (continent south of Europe),0
52,Afrikaans,/afrikans/,Afrikaans (language),0
53,Afrikaans,/afrikans/,Afrikaans (of or pertaining to the Afrikaans language),0
54,agak,/aɡaʔ/,to guess (to solve by a correct conjecture),0
55,agama,/aɡamə/,"religion (system of beliefs dealing with soul, deity",0
56,agar,/aɡa(r)/,so that (in order to),0
57,agar,/aɡa(r)/,"agar (a material obtained from the marine algae), agar-agar,",0
58,agar,/aɡa(r)/,"agar (a material obtained from the marine algae), agar-agar,",0
59,agar-agar,/aɡa(r) aɡa(r)/,"agar (a material obtained from a marine alga), agar-agar",0
60,agas,/aɡas/,sandfly (fly of Lutzomyia or Phlebotomus),0
61,agenda,[a.ɡen.da],agenda.,0
62,agik,,"(Ketapang, Landak, Melawi, Pontianak, Sambas, Sanggau, Sintang) again, more",0
63,agung,,"grand, great, supreme",0
64,Agus,/aɡos/,"Alternative form of Bagus, A male given name from Malay",0
65,ahad,/ahat/,one,0
66,Ahad,/ahat/,Sunday (day of the week),0
67,ahli,,expert,0
68,ahli,,"member, ahli parlimen ― member of parlement",0
69,ahli,,"member, ahli parlimen ― member of parlement",0
70,ahmak,/ahˈmac/,stupid (lacking in intelligence),0
71,aikido,/aikido/,aikido,0
72,ain,/aen/,(anatomy) eye (organ),0
73,Ainu,/ai̯nu/,"Ainu people, Ainu (ethnic group)",0
74,air,/air/,"water (liquid H2O), 2012, Faridah Abdul Rashid, Research",0
75,ais,/aes/,ice (water in frozen form),0
76,aiskrim,,ice cream,0
77,ajaib,/ad͡ʒaep/,"magical (relating to magic), miraculous (by supernatural",0
78,ajak,/ad͡ʒaʔ/,"invitation, the dhole",0
79,ajak,/ad͡ʒaʔ/,to invite (ask for the presence or participation of,0
80,ajal,,death; demise,0
81,ajar,,to teach,0
82,ajeh,,"(Pahang, Endau-Rompin) I, me, my",0
83,akak,/akaʔ/,older sister,0
84,akal,,"thought, mind, Manusia ialah makhluk yang berakal.,",0
85,Akan,/akan/,Akan (ethnic group),0
86,akan,/a.kan/,"will
Saya akan membesar.I will grow.",0
87,akang,/akaŋ/,"older sister, (rare) older brother, (rare) older sibling",0
88,akar,/aka(r)/,root (of plant),0
89,akaun,,account,0
90,akauntabiliti,,accountability: The state of being accountable; liability,0
91,akhbar,,"news, newspaper, Synonym: surat khabar",0
92,akhdar,[axda(r)],green (having green as its colour),0
93,akhdar,[axda(r)],green (colour),0
94,akibat,,result; consequence,0
95,Aklan,/aklan/,Aklanon (ethnic group),0
96,akromion,/akromion/,(anatomy) Acromion (outermost point of the shoulder blade),0
97,aksara,,"letter (of the alphabet), alphabet, aksara KawiKawi",0
98,aksi,/aksi/,action (something done so as to accomplish a purpose),0
99,akta,/aktɐ/,act (statute),0
100,aktif,/aktef/,active (quick in physical movement),0
101,aktinium,[aktiniom],actinium (chemical element),0
102,aktivitet,/ak.ti.vi.tet/,Synonym of aktiviti,0
103,aktiviti,/ak.ti.vi.ti/,activity,0
104,aku,/aku/,"I (personal pronoun), Aku orang itu.I am that person.,",0
105,akuarium,,aquarium,0
106,ala,-ə,like,0
107,alam,,"realm, world, field (of interest)",0
108,alamak,/alamak/,"oh my God, (literally) Mother of God (expression of",0
109,alamat,,address,0
110,alas,,"base, framework, layer, pad, foundation",0
111,alat,,tool,0
112,Albania,/albenia/,Albania (a country in Europe),0
113,Albania,/albenia/,Albanian (Of or pertaining to Albania),0
114,aler,,Obsolete spelling of alir,0
115,aler,,Obsolete spelling of alir,0
116,alfabet,/alfabet/,"alphabet (an ordered set of letters used in a language),",0
117,alih,/alih/,(intransitive) to move (to change place or posture;,0
118,alir,/ale(r)/,Alternative form of alur,0
119,alir,/ale(r)/,Alternative form of alur,0
120,aliran,,An ideology,0
121,Aljazair,,"(Indonesia) Algeria (a country in Africa)
Synonym: Algeria",0
122,alkohol,,alcohol (intoxicating beverage),0
123,Allah,/allah/,(Islam) Allah,0
124,almari,,(chiefly Malaysia) cupboard,0
125,alor,,Obsolete spelling of alur,0
126,alor,,Obsolete spelling of alur,0
127,alpa,/alpə/,"neglectful (tending to neglect), Synonyms: cuai, lalai",0
128,alu,/alu/,"pestle (instrument used with a mortar to grind things),",0
129,aluminium,/aluminiom/,aluminium (A silvery metal),0
130,alur,/alo(r)/,(intransitive) to flow (to move as a fluid),0
131,alur,/alo(r)/,river (large stream which drains a landmass),0
132,aman,/aman/,peaceful,0
133,amaran,,warning,0
134,amat,/amat/,"very
Amat menakjubkan persembahan tadi!That performance was amazing!
Synonyms: begitu, sangat, sungguh, sekali",0
135,amatur,,"amateur, non-professional, Kejohanan amatur, Amateur",0
136,amatur,,"amateur, junior",0
137,ambang,/ambaŋ/,"the time just before an event, the brink of an event",0
138,ambang,/ambaŋ/,to float (drift gently through the air),0
139,ambil,,to take,0
140,amerisium,[amɛrisiom],americium (chemical element),0
141,ampat,/ampat/,(pre-1972) Obsolete spelling of empat,0
142,ampek,,"(dialectal, Sambas) coitus",0
143,ampun,/ampun/,freedom from a punishment (that was because of a sin,0
144,ampun,/ampun/,free someone from a punishment (that was because of,0
145,amuk,/amuk/,to run amok,0
146,-an,/an/,"Suffix for collectivity, Suffix for similarity, Suffix",0
147,ana,/anə/,"I (personal pronoun), me (direct object of a verb),",0
148,anai-anai,/anai̯.anai̯/,termite (insect),0
149,anak,/anaʔ/,"child (a female or male child, a daughter or son)",0
150,anam,/anam/,(pre-1972) Obsolete spelling of enam,0
151,anda,/anda/,"you (formal; polite), Anda siapa?Who are you?, Synonyms:",0
152,aneh,/aneh/,strange (not normal),0
153,anggap,/aŋɡap/,to assume,0
154,anggur,,grape,0
155,angin,/aŋin/,wind (movement of air),0
156,angka,/aŋkə/,numeral (word or symbol representing a number),0
157,Angkasa,,The Malaysian National Space Agency,0
158,angkasa,,"space, sky",0
159,angkasawan,,(Malaysia) astronaut,0
160,angkat,/aŋkat/,"to lift (to raise), to adopt (To take by choice into",0
161,angkut,/aŋkot/,to transport (carry or bear from one place to another),0
162,angpau,,red envelope; ang pow: A red envelope which one fills,0
163,angsa,/aŋsə/,swan goose,0
164,angsana,,Pterocarpus indicus,0
165,anjing,[aɲd͡ʒeŋ],dog (animal),0
166,anjung,,porch,0
167,anoa,/anoə/,anoa (a small Indonesian water buffalo),0
168,antara,,"between, Tiada apa-apa antara kami berdua.There is",0
169,antara,,"to have a gap between, to be discontinuous",0
170,antara,,"to intervene, to premediate",0
171,antarabangsa,/antarabaŋsə/,"international, perhubungan antarabangsa ― international",0
172,antelop,/antəlop/,antelope,0
173,antimoni,[antimoni],antimony (chemical element),0
174,anting-anting,,earring,0
175,antologi,[antoloɡi],anthology (collection of literary works),0
176,antu,/an.tu/,"(Pontianak, Sanggau) ghost; demon",0
177,anu,/anu/,(obsolete) that; those; the; synonym of itu,0
178,anugerah,/a.nu.ɡə.rah/,"award, Anugerah Juara Lagu ― Champion of Song Award,",0
179,anyam,/aɲam/,plaiting; braiding; making mats and baskets or wattled,0
180,apa,/apə/,"what (interrogative pronoun), Apa khabar?How are you?",0
181,apa-apa,/apa apa/,"anything; whatever (any thing of any kind), Aku boleh",0
182,apabila,/apəbilə/,when (at such time as),0
183,apan,,"(dialectal, Sambas) pan",0
184,apartment,,apartment,0
185,apendik,,(anatomy) appendix,0
186,api,[api],fire (oxidation reaction),0
187,apotek,,"(Netherlands, Indonesia) pharmacy (a place where prescription",0
188,April,[aprel],April (fourth month of the Gregorian calendar),0
189,ara,/arə/,fig (tree or shrub),0
190,Arab,/arap/,Arab (of or pertaining to Arabs and their nations),0
191,arah,/arah/,"direction
Arah barat ― Westwards",0
192,arah,/arah/,"(transitive) to order someone to do something
Synonym: suruh",0
193,arak,,"liquor, spirits, Synonym: minuman keras, beer, Synonym:",0
194,arak,,to walk in procession,0
195,arak,,to walk in procession,0
196,aral,,"obstacle, hindrance",0
197,Arau,/arau̯/,"Arau (the royal capital of Perlis, Malaysia)",0
198,Arbaa,/a(r)ba(ʔ)ə/,Alternative form of Rabu,0
199,ardi,/a(r)di/,earth (soil),0
200,ardvark,/a(r)tva(r)k/,aardvark (mammal),0
201,argentum,[a(r)ɡɛntom],silver (metal),0
202,argon,/a(r)ɡɔn/,argon (chemical element),0
203,ari,/ari/,(Java) Alternative form of adik,0
204,Aristotle,,Aristotle,0
205,arkib,/a(r)kep/,archive (place for storing earlier material),0
206,arkitek,,architect,0
207,armadillo,/a(r)madilo/,armadillo,0
208,Armenia,/armenia/,Armenia (a country in Europe and Asia),0
209,Armenia,/armenia/,"Armenian (of, from, or pertaining to Armenia, Armenians,",0
