ID,Form,IPA,Gloss,Language_ID
0,biu,,Alternative form of biù,0
1,biù,,"(possibly childish, onomatopoeia) sound of gun shot; pew",0
2,fo,,Nonstandard spelling of fó.,0
3,lo,,Pinyin transcription of 咯,0
4,po,,Pinyin transcription of 桲,0
5,po,,Nonstandard spelling of pō.,0
6,¯,,"A diacritical mark of the Latin script, called 長音符號 (“macron”) in Mandarin, and found on Ā/ā, Ē/ē, Ī/ī, Ō/ō, Ū/ū and Ǖ/ǖ.",0
7,´,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",0
8,´,,"A tone in the Zhuyin alphabet, it represents the second tone.",0
9,n,,Nonstandard spelling of ń.,0
10,ˇ,,"(pinyin) háček, indicating the dipping third tone
Ǎ, ǎ, Ě, ě, Ǐ, ǐ, Ǒ, ǒ, Ǔ, ǔ, Ǚ, ǚ",0
11,ˇ,,"A tone in the Zhuyin alphabet, it represents the third tone.",0
12,˙,,"A tone in the Zhuyin alphabet, it represents the neutral tone.",0
13,ㄍㄧㄥ,/kiŋ⁵⁵/,"obstinate, nonexpressive and nervously tense; rarely",0
14,ㄍㄧㄥ,/kiŋ⁵⁵/,obstinately,0
15,ㄍㄧㄥ,/kiŋ⁵⁵/,"to hold on firmly despite extreme adversity, pain,",0
16,ㄚ,/a/,The 22nd letter of the Zhuyin alphabet. It is preceded by the letter ㄙ and followed by the letter ㄛ.,0
17,ㄛ,/ɔ/,The 23rd letter of the Zhuyin alphabet. It is preceded by the letter ㄚ and followed by the letter ㄜ.,0
18,ㄜ,/ɤ/,The 24th letter of the Zhuyin alphabet. It is preceded by the letter ㄛ and followed by the letter ㄝ.,0
19,ㄝ,/ɛ/,The 25th letter of the Zhuyin alphabet. It is preceded by the letter ㄜ and followed by the letter ㄞ.,0
20,ㄞ,/aɪ̯/,The 26th letter of the Zhuyin alphabet. It is preceded by the letter ㄝ and followed by the letter ㄟ.,0
21,ㄟ,/eɪ̯/,The 27th letter of the Zhuyin alphabet. It is preceded by the letter ㄞ and followed by the letter ㄠ.,0
22,ㄠ,/ɑʊ̯/,The 28th letter of the Zhuyin alphabet. It is preceded by the letter ㄟ and followed by the letter ㄡ.,0
23,ㄡ,/oʊ̯/,The 29th letter of the Zhuyin alphabet. It is preceded by the letter ㄠ and followed by the letter ㄢ.,0
24,ㄣ,/ən/,The 31st letter of the Zhuyin alphabet. It is preceded by the letter ㄢ and followed by the letter ㄤ.,0
25,ㄦ,/ɤɻ/,The 34th letter of the Zhuyin alphabet. It is preceded by the letter ㄥ and followed by the letter ㄧ.,0
26,ㄧ,/i/,The 35th letter of the Zhuyin alphabet. It is preceded by the letter ㄦ and followed by the letter ㄨ.,0
27,ㄨ,/u/,The 35th letter of the Zhuyin alphabet. It is preceded by the letter ㄧ and followed by the letter ㄩ.,0
