ID,Form,IPA,Gloss,Language_ID
0,'dojü,,breast,0
1,'eee,,yes,0
2,-'kö,,Adjectival comparative suffix,0
3,-'na,,"also, too",0
4,-'no,,Preventive suffix for verbs,0
5,-'se,,Desiderative suffix for verbs,0
6,'tadii,,pan for cooking,0
7,'tawai,,lung,0
8,'wa'tö,,"to help, to develop",0
9,'waicha,,to acquire knowledge or shamanic powers,0
10,'ya'kwökö,,"in half, at the waist, at the trunk",0
11,'ya'müttü,,loincloth belt,0
12,-'ñojo,,Permissive mood suffix for verbs,0
13,a'deu,,word,0
14,a'deuja',,"to call, summon",0
15,a'deuwü,,to speak,0
16,a'jö,,arm,0
17,a'ka,,"(De'kwana dialect) within, inside",0
18,a'ka,,to serve,0
19,a'ka,,to serve,0
20,a'nö,,to cook,0
21,aa'deu'kwe,,language,0
22,aa'kedeeto,,weak,0
23,aa'to,,rope,0
24,aa'töi,,bench,0
25,aadajadaduwa,,a type of small brown catfish,0
26,aaki,,(De'kwana dialect) blood,0
27,adaawa,,"torch, lamp",0
28,adakusa,,"rifle, gun, (Maquiritari mythology) A mythical cane",0
29,adima,,to push,0
30,adonka,,"to cure, heal",0
31,adöö,,to carry,0
32,ahöi,,to grasp,0
33,ai'chü,,to plant manioc,0
34,ai'juka,,(De'kwana dialect) to hit someone with something,0
35,aijuku,,(Ye'kwana dialect) to hit someone with something,0
36,ajanün,,to jump,0
37,aje'ka,,to pursue,0
38,ajiisha,,a great egret,0
39,ajö'müi,,bracelet,0
40,ajö'sai,,wing,0
41,aka,,"(Ye'kwana dialect) within, inside",0
42,aki,,(Ye'kwana dialect) blood,0
43,amiije,,hungry,0
44,annai,,middle,0
45,anña,,maize,0
46,ashicha,,to be good,0
47,audwaajö,,garden,0
48,chöötaajö,,rotten,0
49,daju,,bamboo,0
50,dama,,"The ocean or sea, which surrounds the earth and is connected via underground rivers to Lake Akuena in the mythological Sky.",0
51,dantadü,,island,0
52,danwa,,male human being; man,0
53,dejuushi,,earthquake,0
54,doo'ta,,chest,0
55,dudiinñü,,fire,0
56,duduunoi,,stomach,0
57,-dü,,Possessive suffix for nouns,0
58,dü'tö,,"beside, alongside, next to",0
59,-e,,"Adverbalizing suffix for verbs which results in a participle form; it is always accompanied by the prefix t- and an indicator referring to one of the arguments of the verb (w-, n-, or ∅-)",0
60,e',,to come,0
61,e'katö,,to request,0
62,e'kukaa,,to squeeze,0
63,edantö,,to meet,0
64,eekaadü,,to bite,0
65,eima,,to smoke (tobacco),0
66,eja'ka,,to exit,0
67,ejeema,,to pay,0
68,ejemajoi,,to sell,0
69,ekammajo,,"to ask, inquire",0
70,ekantaa'ñö,,(De'kwana dialect) to sing,0
71,ekanüjü,,to believe,0
72,emanñujü,,to hunt,0
73,emjan,,to take,0
74,enejü,,to bring,0
75,enku,,to drink,0
76,enku'tö,,(Ye'kwana dialect) to lie (tell lies),0
77,enkutö,,(De'kwana dialect) to lie (tell lies),0
78,ennakaa,,to return,0
79,entatüü,,to wash one’s mouth,0
80,eshi,,(intransitive) to tear,0
81,eshichako,,to break,0
82,etanta'ñö,,(Ye'kwana dialect) to sing,0
83,ettömujo,,beard,0
84,ewüütü,,cave,0
85,i'joo'tü,,feather,0
86,i'moi,,egg,0
87,icho'ka,,to wash an inanimate object,0
88,imü,,to tie,0
89,inchatüü,,to wash someone else’s mouth,0
90,inñaju'tajö,,ladder,0
91,inñataje,,beautiful,0
92,inñatü'töödü,,"crop, harvest",0
93,ishi,,(transitive) to tear (clarification of this definition is needed),0
94,ishicha,,to break,0
95,ja'ji,,fishnet for fishing,0
96,ja'ta,,village,0
97,jaadü,,grandchild,0
98,jaaja,,(Ye'kwana dialect) father,0
99,jaana,,(De'kwana dialect) ear,0
100,jaano,,trap for hunting,0
101,jaase,,niece,0
102,jaatu,,duck,0
103,jadankaana,,"pot, jar",0
104,jaduuma,,dove,0
105,jaja,,(De'kwana dialect) father,0
106,jajeeda,,paper,0
107,jakuudimü'tü,,thread,0
108,jana,,(Ye'kwana dialect) ear,0
109,jannü,,son-in-law of a man,0
110,jawi,,bird,0
111,jañudu,,"A Spanish-speaker, A mythologized version of the evil",0
112,je'de,,turtle,0
113,je'dü,,(De'kwana dialect) face,0
114,je'kai,,forehead,0
115,jedü,,(Ye'kwana dialect) face,0
116,jeena,,paddle for rowing,0
117,jeetü,,leg,0
118,jejeenchö,,wind,0
119,jekuude,,mirror,0
120,ji'jö,,"skin, hide",0
121,jidi,,mountain,0
122,jiichu,,(De'kwana dialect) flute,0
