ID,Form,IPA,Gloss,Language_ID
0,'ii,,"wood, a stick",0
1,'iikway,,cow,0
2,'iipaa,,man,0
3,akoy,,old woman,0
4,avhay,,dress,0
5,chyer,,bird,0
6,h'a,,tree,0
7,ha,,water,0
8,haav,,shirt,0
9,hat,,dog,0
10,hcho,,cotton,0
11,hmuk,,three,0
12,humar,,child,0
13,hvik,,two,0
14,iihuu,,nose,0
15,iime,,leg,0
16,iishaaly,,hand,0
17,iiwa,,heart,0
18,ilyaxai',,"two-spirit, a male-bodied person who lives as a woman; literally ""girlish""",0
19,kpur,,hat,0
20,kur'ak,,old man,0
21,kwar'o,,knife,0
22,kwes'ul'ul,,apple,0
23,kwiraxame',,"two-spirit, a female-bodied person who lives as a man",0
24,kwnho,,basket,0
25,kwsede,,doctor,0
26,lames,,table,0
27,ma,,milk,0
28,many,,(personal) you,0
29,mat,,,0
30,mhay,,boy,0
31,miipuk,,neck,0
32,miivii,,shoulder,0
33,mmdii,,owl,0
34,mshhay,,girl,0
35,n'ay,,mother,0
36,naw,,friend,0
37,nchen,,older sibling,0
38,nkwii,,uncle,0
39,nkyew,,grandmother,0
40,nyaa,,day,0
41,nyaa,,(personal) I,0
42,onyor,,book,0
43,piipaa,,person,0
44,posh,,cat,0
45,qmpanyq,,bat,0
46,qwaq,,deer,0
47,qwaqt,,horse,0
48,s'aw,,"offspring, baby",0
49,shcha,,younger brother,0
50,shent,,one,0
51,shlymak,,back,0
52,shyaal,,money,0
53,sny'ak,,woman,0
54,srap,,five,0
55,tdish,,"maize, corn",0
56,tiiwamtor,,car,0
57,va,,house,0
58,vakpaly,,city,0
