ID,Form,IPA,Gloss,Language_ID
0,a,,(Late Middle English) Alternative form of I (“I”),0
1,a,,Alternative form of heo (“she”),0
2,a,,Alternative form of he (“he”),0
3,a,,Alternative form of he (“they”),0
4,a,,Alternative form of heo (“she”),0
5,a,,Alternative form of he (“he”),0
6,a,,Alternative form of he (“they”),0
7,a,,Alternative form of he (“he”),0
8,a,,Alternative form of he (“they”),0
9,a,,Alternative form of he (“they”),0
10,a-bac,,backwards,0
11,a-bay,,Alternative form of abay,0
12,a-baye,,Alternative form of abay,0
13,a-cethe,,Alternative form of asseth,0
14,a-cyse,,Alternative form of assise,0
15,a-ferd,,afraid,0
16,a-fore,,Alternative form of afore,0
17,a-greable,,Alternative form of agreable,0
18,a-greabyll,,Alternative form of agreable,0
19,a-gree,,Alternative form of agre,0
20,a-green,,Alternative form of agreen,0
21,a-ligeaunce,,Alternative form of aliegiaunce,0
22,a-lye,,Alternative form of allien,0
23,a-mad,,Alternative form of amad,0
24,a-masid,,Alternative form of amased,0
25,a-med,,Alternative form of amad,0
26,a-noy,,Alternative form of anoyen,0
27,a-noye,,Alternative form of anoy,0
28,a-nuy,,Alternative form of anoy,0
29,a-nuyȝen,,Alternative form of anoyen,0
30,a-pece,,Alternative form of abece,0
31,a-say,,Alternative form of assayen,0
32,a-sayle,,Alternative form of assailen,0
33,a-saylynge,,Alternative form of assailing,0
34,a-saynge,,Alternative form of assaynge,0
35,a-serche,,Alternative form of aserchen,0
36,a-seth,,Alternative form of asseth,0
37,a-sise,,Alternative form of assise,0
38,a-suwage,,Alternative form of aswagen,0
39,a-swage,,Alternative form of aswagen,0
40,a-swagen,,Alternative form of aswagen,0
41,a-voy,,Alternative form of avoy,0
42,a.b.c.,,Alternative form of abece,0
43,aage,,Alternative form of age,0
44,aape,,Alternative form of ape,0
45,aarmer,,Alternative form of armure,0
46,aars,,Alternative form of ars,0
47,aart,,Alternative form of art (“(area of) knowledge”),0
48,abacus,,abacus,0
49,abagus,,Alternative form of abacus,0
50,abaishen,,Alternative spelling of abashen,0
51,abaissen,,Alternative spelling of abashen,0
52,abaisshen,,Alternative spelling of abashen,0
53,abaist,,past participle of abashen,0
54,abaist,,Confounded; discomfited.,0
55,abandon,,"(not comparable) Freely; entirely., 1330,  Arthour",0
56,abashen,/aˈbaʃən/,"to embarrass, shame, discompose, to make ashamed or",0
57,abate,,Alternative form of abaten,0
58,abaten,/aˈbaːtən/,"to beat down, bring down, calm down",0
59,abawed,,"astonished, abashed, c. 1440,  Geoffrey Chaucer,  The",0
60,abay,/əˈbɛi̯/,(rare) The state of being defenceless against one's,0
61,abaye,,Alternative form of abay,0
62,abbay,,Alternative form of abbey,0
63,abbegh,,Alternative form of abbey,0
64,abbey,/aˈbɛi̯(ə)/,"An abbey (a building or monastic institution)., The",0
65,ABC,,Alternative form of abece,0
66,abc,,Alternative form of abece,0
67,abce,,Alternative form of abece,0
68,abhominabil,,Alternative form of abhomynable,0
69,abhominacioun,,Alternative form of abominacioun,0
70,abomynable,,Alternative form of abhomynable,0
71,aboumbren,,Alternative form of obumbren,0
72,aboute,/aˈbuːt(ə)/,"around, 1384, John Wycliffe, Bible (Wycliffe): Proverbs,",0
73,aboven,/aˈbuvən/,"above, 1390,  John Gower,  Confessio Amantis‎[1]:Division,",0
74,abregge,,Alternative form of abreggen,0
75,abreggen,/aˈbrɛdʒən/,"To lessen (either quantity or amount)., To shorten",0
76,abrest,/aˈbrɛ(ː)st/,"side by side, Owt they Comen Al On Abrest. — The History",0
77,abrigen,,Alternative form of abreggen,0
78,abrigge,,Alternative form of abreggen,0
79,abriggen,,Alternative form of abreggen,0
80,abrogen,/aˈbrɔːdʒən/,(rare) To abrogate.,0
81,abse,,Alternative form of abece,0
82,absence,/abˈsɛns(ə)/,"Being away or elsewhere; absence., Nonattendance or",0
83,absolucioun,/absɔˌliu̯siˈuːn/,absolution (Christian ritual),0
84,abstraccyone,/abˈstrakˌsjuːn/,(rare) reclusiveness; the practising of a monastic,0
85,abstract,/abˈstrakt(ə)/,"Drawn away or out of; detached:, Excerpted; quoted",0
86,abstract,/abˈstrakt(ə)/,"(Late Middle English, rare) abstract, synopsis",0
87,abstracte,,Alternative form of abstract,0
88,abstracte,,Alternative form of abstract,0
89,abstractif,/abˈstraktiːf/,"(grammar, of nouns) Denoting a quality or state that",0
90,abstractlich,,Alternative form of abstractly,0
91,abstractly,/abˈstraktliː/,"(rare) reclusively; while practising a monastic lifestyle.,",0
92,abstractyve,,Alternative form of abstractif,0
93,ac,/ak/,"but, c. 1250,  Lofsong Louerde:Ich liuie, nout ich,",0
94,accepten,/akˈsɛptən/,To accept.,0
95,acchett,,Alternative form of hachet,0
96,accidentli,,Alternative form of accidently,0
97,accidently,/akˈsidɛntliː/,"by chance, by accident, Thinges that happen accidentlych.",0
98,accidentlych,,Alternative form of accidently,0
99,accidie,/akˈsiːdiː/,"sloth; slothfulness, 1387–1400,  Geoffrey Chaucer,",0
100,accion,/akˈsjuːn/,"An action; a doing, behaviour or property., The capability",0
101,accioun,,Alternative form of accion,0
102,accordaunce,/aˈkɔ(ː)rdau̯ns(ə)/,accordance,0
103,accorden,,"to agree, to reconcile",0
104,accounten,/aˈkuːntən/,"(transitive, intransitive) to reckon, value, recount;",0
105,accyon,,Alternative form of accion,0
106,accyoune,,Alternative form of accion,0
107,Achab,/ˈaːkab/,Ahab (Biblical character),0
108,achate,,"Purchase; bargaining., Purchases; provisions bought",0
109,ache,, Aching; long-lasting hurting or injury.,0
110,ache,," A plant of the genus Apium, especially celery.",0
111,ache,," A plant of the genus Apium, especially celery.",0
112,-acion,,Alternative form of -acioun,0
113,-acioun,/-ˌaːsiˈuːn/,"Forms nouns denoting an action, act, or doing, the",0
114,acketoun,,Alternative form of aketon,0
115,acordaunt,/aˈkɔ(ː)rdau̯nt/,"accordant; agreeing
Chaucer, The Canterbury Tales, General Prologue
Er that I ferther in this tale pace, / Me thynketh it acordaunt to resoun / To telle yow al the condicioun / Of ech of hem, so as it semed me, / And whiche they weren, and of what degree  […] ",0
