ID,Form,IPA,Gloss,Language_ID
0,a-soaⁿ,,,0
1,a-só͘-bih,[a˧sɔ˦˦biʔ˧˨],(Taiwan) play (of a mechanism).,0
2,khò͘-tah,[kʰɔ˥˧tahʔ˧˨],(Taiwan) quota,0
3,a-phá-tò,/a⁴⁴⁻³³ pʰa⁴¹⁻⁴⁴ tɤ²¹/,"(Taiwan) apartment building, apartment house",0
4,a̋i-sat-chuh,/ai³⁵ sat̚³²⁻⁴ t͡suʔ³²/,(Taiwan) greetings,0
5,ài,[ ai˨˩ ],love,0
6,ài,[ ai˨˩ ],to love; to like; to be fond of,0
7,ak,,,0
8,An-pêng,,,0
9,án-ne,[ an˥˥ne˥˥ ],"like this; in this way
?: anon., 二十、對台北 ê 嚮往 (Taiwanese short stories: ""A trip from Taipei"")
sī-m̄-sī i pún-lâi to̍h an-ne
wasn't he always like this",0
10,án-ne,[ an˥˥ne˥˥ ],in that case; then,0
11,án-ni,[ an˥˥ni˥˥ ],"like this; in this way
?: anon., 二十、對台北 ê 嚮往 (Taiwanese short stories: ""A trip from Taipei"")
sī-m̄-sī i pún-lâi to̍h an-ne
wasn't he always like this",0
12,án-ni,[ an˥˥ni˥˥ ],in that case; then,0
13,àn-sǹg,[ an˥˧sŋ˨˩ ],to plan; to intend,0
14,ang-á,,,0
15,at,,,0
16,au-pûi,,,0
17,au,,,0
18,o͘,,,0
19,àu,,,0
20,bâng,/baŋ²⁴/,"do not; don't, Synonyms: 莫 (mài), 嘜／唛 (mài), Antonym:",0
21,ba̍k-iû,,,0
22,ba̍k-kho͘,,,0
23,ba̍k-sek,,,0
24,ba̍k,,,0
25,bì-luh,/bi¹¹⁻⁵³ luʔ³²/,(Taiwan) beer,0
26,bih,,,0
27,bih-luh,/bi(ʔ)³²⁻⁴¹ luʔ³²/,(Taiwan) beer,0
28,bì-lù,/bi²¹⁻⁴¹ lu²¹/,(Taiwan) beer,0
29,biāu-hō,,,0
30,bo̍k-sìn-gù,/bɔk̚⁴⁻³² ɕin²¹⁻⁴¹ ɡu²¹/,(Taiwan) boxing,0
31,boán-liân,,,0
32,bo̍k,,,0
33,bo̍k-chiân,,,0
34,bak,,,0
35,bái,,,0
36,báng,,,0
37,bêng,,,0
38,bí,,,0
39,bí-lē,,,0
40,bí-su̍t,,,0
41,bô-chhái,,,0
42,bô-thâu-sîn,,,0
43,bô,,,0
44,bú-gē,,,0
45,bûn,,,0
46,bûn-hiàn,,,0
47,Bûn-san,,,0
48,Bān-êng,,,0
49,bāng-kìⁿ,,,0
50,Bō͘-lîm,,,0
51,cha-bó͘,,,0
52,chái-khí,[ tsai˥˥kʰi˥˧ ],morning,0
53,chan,,,0
54,chán,[tsan˥˧],awesome; cool,0
55,cha̍p-hūn,[ tsap˩˩hun˧˧ ],very; extremely,0
56,cha̍p-chì,,,0
57,cheng-sîn,,,0
58,cheng-chhái,[ tɕiŋ˧˧tsʰai˥˧ ],brilliant; splendid,0
59,chêng-hóng,[ tɕiŋ˨˩hɔŋ˥˧ ],situation; status; circumstances,0
60,chha-put-to,,,0
61,chhan-thiaⁿ,,,0
62,chhan-chhiūⁿ,[ tsʰan˧˧tɕʰiũ˧˧ ],to seem; to be like; as if,0
63,chheng-liân,,,0
64,chheng-phang,,,0
65,chheng-chhó,[ tɕʰiŋ˧˧tsʰo˥˧ ],clear; unambiguous,0
66,chheng-khì,/t͡ɕʰiɪŋ⁴⁴⁻²² kʰi²¹/,clean,0
67,chhéng-kà,[ tɕʰiŋ˥˥ka˨˩ ],to request time off,0
68,chhia-phiò,,,0
69,chhia-pâi,,,0
70,chhia-chām,[tɕʰia˧˧tsam˧˧],bus station,0
71,chhia-thâu,[tɕʰia˧˧tʰau˧˥],train station,0
72,chhiam-miâ,,,0
73,chhiam-si,,,0
74,chhian-kim,,,0
75,chhiáⁿ-mn̄g,/t͡ɕʰiã⁵³⁻⁴⁴ mŋ̍²²/,may I ask you a question?,0
76,chhim,,,0
77,chhin-chhiūⁿ,[ tɕʰɪn˧˧tɕʰiũ˧˧ ],to seem; to be like; as if,0
78,chhit,,,0
79,chhit-thô,[ tɕʰɪt˥˥tʰo˧˥ ],to play; to toy with,0
80,chhiu-thiⁿ,,,0
81,chhiú-pió,[ tɕʰiu˥˥pio˥˧ ],a wristwatch,0
82,chhiàⁿ,,,0
