ID,Form,IPA,Gloss,Language_ID
0,𐄇,,one,0
1,𐄈,,two,0
2,𐄉,,three,0
3,𐄊,,four,0
4,𐄋,,five,0
5,𐄌,,six,0
6,𐄍,,seven,0
7,𐄎,,eight,0
8,𐄏,,nine,0
9,𐄐,,ten,0
10,𐄑,,twenty,0
11,𐄒,,thirty,0
12,𐄓,,forty,0
13,𐄔,,fifty,0
14,𐄕,,sixty,0
15,𐄖,,seventy,0
16,𐄗,,eighty,0
17,𐄘,,ninety,0
18,𐄙,,one hundred,0
19,𐄚,,two hundred,0
20,𐄛,,three hundred,0
21,𐄜,,four hundred,0
22,𐄝,,five hundred,0
23,𐄞,,six hundred,0
24,𐄟,,seven hundred,0
25,𐄠,,eight hundred,0
26,𐄡,,nine hundred,0
27,𐄢,,one thousand,0
28,𐄣,,two thousand,0
29,𐄤,,three thousand,0
30,𐄥,,four thousand,0
31,𐄦,,five thousand,0
32,𐄧,,six thousand,0
33,𐄨,,seven thousand,0
34,𐄩,,eight thousand,0
35,𐄪,,nine thousand,0
36,𐄫,,ten thousand,0
37,𐄬,,twenty thousand,0
38,𐄭,,thirty thousand,0
39,𐄮,,forty thousand,0
40,𐄯,,fifty thousand,0
41,𐄰,,sixty thousand,0
42,𐄱,,seventy thousand,0
43,𐄲,,eighty thousand,0
44,𐄳,,ninety thousand,0
45,𐙂𐘁,,total (used at the ends of lists to denote the sum,0
