ID,Form,IPA,Gloss,Language_ID
0,azā,[ʔa˧zaː˨˨˦],slow,0
1,bbû,[b͡ʙu˥],yak,0
2,bbûmû,[b͡ʙu˥.mu˥],yak butter,0
3,bì,[bi˦˨],Alternative form of bĭ,0
4,bûdzhà,[bu˥.d͡ʐa˥˧],knife,0
5,bûmŭ,[bu˥.mu˨],(transitive) to help,0
6,bûnchîh,[bu˥ntʂʰɯ˥],dustpan,0
7,bădzhâ,[ba˨dʐa˥],money,0
8,bătsîh,[ba˨t͡sɨ˥],shirt,0
9,bĕhnî,[be˨ɦⁿĩ˥],(transitive) to listen to,0
10,bĕr,[bɚ˨],full of,0
11,bĭ,[bi˨],(intransitive) to leave,0
12,bŭtsîhtsîh,[bu˨.t͡sɨ˥.t͡sɨ˥],pearl,0
13,bŭzîhzîh,[bu˨.zɨ˥.zɨ˥],earthworm,0
14,chìh,[t͡ʂʰɯ˥˨],dog,0
15,chîh,[tʂʰɯ˥],to burn,0
16,chā,[tʂʰaː˨],to stretch,0
17,cìh,[tʂɯ˥˧],afraid,0
18,cĭhkû,[t͡ʂɯ˨.ku˥],nail (on a finger or toe),0
19,dbù,[d͡ʙu˥˨],"wild, savage",0
20,dbŭ,[d͡ʙu˨],Alternative form of dbù,0
21,dbŭ,[d͡ʙu˨],to tell,0
22,duò,[dwo˥˧],to ask,0
23,dzhuò,[dʐwo˥˧],Alternative form of dzhŭ,0
24,dzhuò,[dʐwo˥˧],to be,0
25,dzhèh,[dʐɤ˥˨],to grow,0
26,dzhìh,[dʐɯ˥˧],to put,0
27,dzhìhqă,[dʐɯ˥˧qa˨],pocket,0
28,dzhù,[dʐu˥˨],Alternative form of dzhŭ,0
29,dzhù,[dʐu˥˨],Alternative form of dzhŭ,0
30,dzhīhgyî,[d͡ʐɯ˨˨˦.d͡ʑi˥],paper,0
31,-dzhŭ,[dʐu˨],denotes a movement towards the speaker,0
32,dzhŭ,[dʐu˨],"hither, to here",0
33,dzhŭ,[dʐu˨],to reach,0
34,dzhŭla,[dʐu˨la˧],back,0
35,dzà,[d͡za˥˧],capable,0
36,dzà,[d͡za˥˧],to ride,0
37,dzè,[d͡ze˥˧],to find,0
38,dzìh,[d͡zɨ˥˧],(transitive) to eat,0
39,dzìhmaya,[d͡zɨ˥˧ma˧ja˧],to not eat,0
40,dzìhmĭnggă,[d͡zɨ˥˧mi˨ŋɡa˨],to eat up,0
41,dzîh,[d͡zɨ˥],Alternative form of dzìh,0
42,dàdzhĕh,[da˥˨.d͡ʐɤ˨],big,0
43,dàdzhĭh,[da˥˧.d͡ʐɯ˨],Alternative form of dàdzhĕh,0
44,dàr,[daʴ˥],shadow,0
45,-dâ,[da˥],dative case marker,0
46,-dä̀,[dæ˦˨],denotes a movement towards the subject,0
47,dä̀,[dæ˥˨],"to arrive, to come",0
48,-e,[e],Used to give the ingressive aspect to verbs,0
49,fàxă,[fa˥˨.xa˨],(intransitive) to fly away,0
50,fû,[fu˥],who?,0
51,fûyî,[fu˥ji˥],"what?, something",0
52,fŭ,[fu˨],(intransitive) to fly,0
53,fŭqâ,[fu˨qa˥],village,0
54,ghĭ,[ɢi˨],to wear,0
55,gyǘ,[d͡ʑy˧˥],"belly, stomach",0
56,gyǚ,[d͡ʑy˥],Alternative form of gyǘ,0
57,gä̆ku,[ɡæ˨ku˧],mountain,0
58,gä̑,[ɡæ˥],to climb,0
59,gî,[ɡi˥],to collect,0
60,Găhnî,[ɡã˨hⁿĩ˥ɡã˨hⁿĩ˥],Mongolian (person),0
61,hnîqho,[ɦⁿĩ˥qʰo˧],evening,0
62,hnŭ,[ɦⁿũ˨],to want to,0
63,hró,[ʁo˧˥],to help,0
64,hrō,[ʁoː˨],very,0
65,hrō,[ʁoː˨],to meet,0
66,hrō,[ʁoː˨],to meet,0
67,hāi,[ɦaːj˨˨˦],"to be going to buy, ngâ hāi ― I am going to buy that",0
68,hǟ,[ɦæː˨˨˦],to buy,0
69,-i,[i],Used to give the prospective aspect to verbs,0
70,ka,[ka˧],bed,0
71,khyipä̆dzhŭa,[t͡ɕʰi˧pæ˨dʐuʕ̞˨],to bring here,0
72,khyîdzhŭ,[t͡ɕʰi˥dʐu˨],to approach,0
73,khyòxrŏ,[t͡ɕʰo˥˧χo˨],they,0
74,kvìh,[kv̩˥˧],to fear,0
75,kyî,[t͡ɕi˥],one,0
76,kyǚmû,[t͡ɕy˨.mu˥],together,0
77,kō,[koː˨],to give,0
78,lhâ,[l̥a˥],gold,0
79,lhâbä̑,[l̥a˥bæ˥],gold,0
80,Lhâsâ,[l̥a˥sa˥],Tibet,0
81,lhĭmî,[l̥i˨.mi˥],moon,0
82,Libbûwûtshù,[li˧b͡ʙu˥wu˥t͡sʰu˥˧],"Xichang (a county-level city in Liangshan prefecture, Sichuan, China)",0
83,loqo,[lo˧.qo˧],place,0
84,lundbù,[lu˧nd͡ʙu˦˨],to assemble,0
85,luò,[lwo˥˧],enough,0
86,luòxŏ,[lwo˥˧xo˨],red,0
87,luó-,[lwo˧˥],denotes an upward direction,0
88,luóchìh,[lwo˧˥tʂʰɯ˥˧],to light,0
89,luófù,[lwo˧˥fu˥],to fly out,0
90,luópä̆,[lwo˧˥pæ˨],to take upstairs,0
