ID,Form,IPA,Gloss,Language_ID
0,ama,,"father
amagu ― my father
amada ― our (and also your) father[1]",0
1,angi,,wind (movement of air),0
2,asu,,dog (animal),0
3,atulö,,(stative) to be correct,0
4,banua,/baˈnua/,village,0
5,baso,/baso/,to read,0
6,biri-biri,,sheep (animal),0
7,bohou,,to be new,0
8,bunu,/bunu/,to kill,0
9,bötö,/bɤtɤ/,"to be injured, wounded",0
10,faigi,,(transitive) to see,0
11,fusi,,white (bright and colourless),0
12,fusi,,white (colour),0
13,hili,,mountain,0
14,idanö,/iˈdanɤ/,water,0
15,ila,,(transitive) to know,0
16,ina,,"mother (female (human) who parents a child, gives birth",0
17,kara,,stone,0
18,kehai,,Chinese person,0
19,kiliwi,,house gecko,0
20,mako,,bowl,0
21,möi,/ˈmɤi/,to go,0
22,nana,,pus (fluid found in regions of infection),0
23,nuza,,island (area of land completely surrounded by water),0
24,omo,/ˈomo/,house,0
25,ono,/ˈono/,child,0
26,sanagö,/saˈnaɡɤ/,thief,0
27,si'o,,stick,0
28,söfu,/sɤfu/,poison,0
29,sökhi,/sɤxi/,(stative) to be good,0
30,tanö,,"land, earth",0
31,tanö,,"(transitive) to plant, (transitive) to bury",0
32,tanö,,"(transitive) to plant, (transitive) to bury",0
33,taʼunö,/taʔunɤ/,to be dirty,0
34,wa'a,,root (of plant),0
35,waö,,"non-standard spelling of ŵa'ö (“to say, to tell”)",0
36,öfa,,four,0
37,öri,/ˈɤri/,a group of villages counted as one unit,0
38,öri,/ˈɤri/,bracelet,0
