ID,Form,IPA,Gloss,Language_ID
0,kymis,,"Yañalif spelling of куьмис (kümis, “silver”)",0
1,азан,,(Islam) adhan (call to prayer),0
2,алты,,six,0
3,амам,,bathhouse,0
4,ая,,"palm (inner, concave part of hand)",0
5,балалы,,Having children.,0
6,бес,,five,0
7,биз,,(personal) we,0
8,бир,,one,0
9,богаз,,strait,0
10,боьри,,wolf,0
11,буз,,ice,0
12,буьгуьн,,(predicative) today,0
13,доьрт,,four,0
14,инъек,,a female tortoise,0
15,йыр,,song,0
16,кавыс,,jungle cat,0
17,кайда,,(interrogative) where?,0
18,кан,,blood,0
19,китап,,book,0
20,коьй,,village (in Turkey),0
21,кум,,sand,0
22,куьз,,"autumn, fall",0
23,куьмбез,,"dome, cupola",0
24,куьмис,,silver,0
25,кыс,,winter,0
26,мал,,This term needs a translation to English. Please help,0
27,мермер,,marble,0
28,мешит,,"(Islam) mosque, masjid",0
29,мылтык,,rifle,0
30,от,,fire,0
31,Оьзбек,,Uzbek,0
32,оьзи,,"self, oneself",0
33,оьсимлик,,plant,0
34,пылав,,pilaf,0
35,пышак,,knife,0
36,сиз,,"(personal) you (second-person plural, second-person singular formal)",0
37,соьз,,"word, speech",0
38,сув,,water,0
39,суьек,,bone,0
40,сыйыр,,cow,0
41,тавшан,,hare,0
42,тамшы,,drop,0
43,тарых,,history,0
44,терек,,tree,0
45,туьбек,,rifle,0
46,туькен,,"shop, store",0
47,туьлки,,fox,0
48,ужлан,,chameleon (reptile),0
49,уьй,,"house, home",0
50,уьш,,three,0
51,шаш,,hair,0
52,эгев,,file,0
53,эшки,,goat,0
54,юлдыз,,(astronomy) star,0
55,яз,,summer,0
56,язлык,,spring,0
57,ямгыр,,rain,0
