ID,Form,IPA,Gloss,Language_ID
0,A,,"The first letter of the Northern Kurdish alphabet, called a and written in the Latin script.",0
1,abone,/ɑːboːˈnɛ/,subscriber,0
2,aborî,/ɑːboːˈɾiː/,economic,0
3,aborî,/ɑːboːˈɾiː/,economy,0
4,aborînas,/ɑːboːɾiːˈnɑːs/,economist,0
5,aborînasî,/ɑːboːɾiːnɑːˈsiː/,economics,0
6,absans,/ɑːbˈsɑːns/,absence,0
7,adaptasyon,/ɑːdɑːptɑːsˈjoːn/,adaptation (clarification of this definition is needed),0
8,Adar,/ɑːˈdɑːɾ/,A male given name,0
9,ade,/ɑːˈdɛ/,weed,0
10,adilî,/ɑːdɪˈliː/,fairness,0
11,adrenalîn,/ɑːdɾɛnɑːˈliːn/,adrenaline,0
12,afirandin,/ɑːfɪɾɑːnˈdɪn/,(transitive) to create,0
13,afirmend,/ɑːfɪɾˈmɛnd/,creator,0
14,afirîner,/ɑːfɪɾiːˈnɛɾ/,creator,0
15,afret,/ɑːfˈɾɛt/,woman,0
16,afrîkansî,/ɑːfɾiːkɑːnˈsiː/,Afrikaans (language),0
17,agahdar,/ɑːɡɑːhˈdɑːɾ/,"informed, knowing, conscious, aware",0
18,agahî,/ɑːɡɑːˈhiː/,"information, notice, notification",0
19,agir,/ɑːˈɡɪɾ/,fire,0
20,agirbest,/ɑːɡɪɾˈbɛst/,ceasefire,0
21,agonîzm,/ɑːɡoːˈniːzm/,agonism,0
22,ahengsazî,/ɑːhɛŋɡsɑːˈziː/,harmonization,0
23,ajalnasî,/ɑːʒɑːlnɑːˈsiː/,zoology,0
24,ajanda,/ɑːʒɑːnˈdɑː/,planner,0
25,ajans,/ɑːˈʒɑːns/,agency,0
26,ajoname,/ɑːʒoːnɑːˈmɛ/,driver's license,0
27,ajotin,/ɑːʒoːˈtɪn/,"to drive, min tirimpêlek ajot. ― I drove a car, to",0
28,ajovan,/ɑːʒoːˈvɑːn/,driver,0
29,akincî,,"(Badini) inhabitant, dweller, Synonyms: şênî, rûniştvan",0
30,akronîm,/ɑːkɾoːˈniːm/,acronym,0
31,aksiyon,/ɑːksɪˈjoːn/,action,0
32,aktîv,[aktiːv],"beautiful
aktîv bûn ― be active
aktîv kirin ― to activate",0
33,aktîvîzm,/ɑːktiːˈviːzm/,activism,0
34,akîncî,,Alternative form of akincî,0
35,al,-al,"side, Synonyms: alî, la",0
36,al,-al,"flag, banner, Synonym: ala",0
37,al,-al,"flag, banner, Synonym: ala",0
38,ala,/ɑːˈlɑː/,flag (piece of cloth),0
39,alandin,/ɑːlɑːnˈdɪn/,to twist,0
40,alanîn,/ɑːlɑːˈniːn/,alanine,0
41,alat,,"tool, implement, instrument, device, apparatus, appliance",0
42,alav,/ɑːˈlɑːv/,"fire, flame",0
43,alayî,,"troop, regiment",0
44,alegorî,/ɑːlɛɡoːˈɾiː/,allegory,0
45,alek,/ɑːˈlɛk/,"cheek, jowl",0
46,alet,,"Alternative form of alat (“instrument, tool”)",0
47,alif,/ɑːˈlɪf/,"fodder, forage, feed",0
48,almanî,/ɑːlmɑːˈniː/,the German language,0
49,almanî,/ɑːlmɑːˈniː/,German (pertaining to Germany or the Germans),0
50,alî,/ɑːˈliː/,"direction, course",0
51,alî,/ɑːˈliː/,by,0
52,alîgir,/ɑːliːˈɡɪɾ/,supporter,0
53,alîkar,/ɑːliːˈkɑːɾ/,helper,0
54,alîstin,/ɑːliːsˈtɪn/,to lick,0
55,amade,/ɑːmɑːˈdɛ/,ready,0
56,amadekarî,/ɑːmɑːdɛkɑːˈɾiː/,arrangement,0
57,aman,,"household utensils, pots and pans",0
58,ambasad,/ɑːmbɑːˈsɑːd/,embassy,0
59,ambasador,,ambassador (minister),0
60,ambûlans,/ɑːmbuːˈlɑːns/,ambulance,0
61,amfetamîn,/ɑːmfɛtɑːˈmiːn/,(organic chemistry) amphetamine,0
62,-amîn,/ɑːˈmiːn/,(organic chemistry) -amine: an amine.,0
63,anatoksîn,/ɑːnɑːtoːkˈsiːn/,anatoxin,0
64,antonîm,/ɑːntoːˈniːm/,antonym,0
65,antrenor,/ɑːntɾɛˈnoːɾ/,coach (trainer),0
66,anîlîn,/ɑːniːˈliːn/,aniline,0
67,ar,,"flour, Synonym: ard, fire, Synonym: agir, shame, disgrace,",0
68,Aram,/ɑːˈɾɑːm/,A male given name,0
69,aramxane,,nursing home,0
70,Arjîn,/ɑːɾˈʒiːn/,A female given name,0
71,armanc,/ɑːɾˈmɑːnd͡ʒ/,aim,0
72,artêş,/ɑːɾˈteːʃ/,army,0
73,Arêz,/ɑːˈɾeːz/,A male given name,0
74,arû,/ɑːˈɾuː/,cucumber,0
75,arûk,/ɑːˈɾuːk/,ceiling,0
76,arşîv,/ɑːɾˈʃiːv/,archive,0
77,asanî,/ɑːsɑːˈniː/,facility,0
78,asetenîl,/ɑːsɛtɛˈniːl/,(organic chemistry) acetenyl,0
79,asin,,iron,0
80,asparagîn,/ɑːspɑːɾɑːˈɡiːn/,asparagine,0
81,asteng,/ɑːsˈtɛŋɡ/,obstruction,0
82,astronomî,/ɑːstɾoːnoːˈmiː/,astronomy,0
83,Asya,/ɑːsˈjɑː/,Asia (a continent),0
84,asîstan,/ɑːsiːsˈtɑːn/,assistant (having a subordinate or auxiliary position),0
85,av,/ɑːv/,water,0
86,avahî,/ɑːvɑːˈhiː/,"building
Synonym: xanî",0
87,avbend,/ɑːvˈbɛnd/,dam,0
88,Avdar,/ɑːvˈdɑːɾ/,A male given name,0
89,avdest,,(Islam) abdest,0
90,avrêl,/ɑːvˈɾeːl/,April,0
91,avêtin,/ɑːveːˈtɪn/,to throw,0
92,Awaz,/ɑːˈwɑːz/,A male given name,0
93,awêne,,mirror,0
94,axa,/ɑːˈxɑː/,tribal chief,0
95,axaftin,/ɑːxɑːfˈtɪn/,to talk,0
