ID,Form,IPA,Gloss,Language_ID
0,ááyi,,"pot, 1947,  Alfabeto tepehuana‎[1], Instituto Lingüístico",0
1,ááyi,,past tense of áájɨi,0
2,ááyi,,past tense of áájɨi,0
3,ái,,Obsolete spelling of ááyi,0
4,ánai,,"wing, fin, feather",0
5,ánai,,right here (clarification of this definition is needed),0
6,ánai,,right here (clarification of this definition is needed),0
7,avoóñi,,soap,0
8,babáádai,,"frog, toad",0
9,bánai,,coyote,0
10,bávi,,"bean, 1947,  Alfabeto tepehuana‎[1], Instituto Lingüístico",0
11,chichikelíte,,a kind of plant (clarification of this definition is,0
12,daáka,,"nose
1947,  Alfabeto tepehuana‎[1], Instituto Lingüístico de Verano, page 3:d dáka(please add an English translation of this quote)",0
13,dáka,,Obsolete spelling of daáka,0
14,dɨ́ɨ,,mother,0
15,dɨ́ɨ,,have a mother,0
16,gaátoi,,"gun, 1947,  Alfabeto tepehuana‎[1], Instituto Lingüístico",0
17,gatoi,,Obsolete spelling of gaátoi,0
18,gogóóxi,,dog,0
19,iigóxi,,fig (fruit),0
20,káji,,leg,0
21,kɨ́vai,,"snow, 1947,  Alfabeto tepehuana‎[1], Instituto Lingüístico",0
22,kʌ́vai,,Obsolete spelling of kɨ́vai,0
23,laapíxi,,pencil,0
24,líítru,,litre,0
25,líívru,,book,0
26,muúli,,turtle (clarification of this definition is needed),0
27,nóvi,,"hand, 1947,  Alfabeto tepehuana‎[1], Instituto Lingüístico",0
28,oí,,palm tree,0
29,ói,,"needle, 1947,  Alfabeto tepehuana‎[1], Instituto Lingüístico",0
30,ónai,,salt,0
31,paána,,bread,0
32,pioóñi,,laborer,0
33,raí,,king,0
34,riuúma,,rheumatism,0
35,sárui,,"hoe
1947,  Alfabeto tepehuana‎[1], Instituto Lingüístico de Verano, page 1:r sárui(please add an English translation of this quote)",0
36,suiimáli,,deer,0
37,tááko,,summer,0
38,taí,,"fire, 1947,  Alfabeto tepehuana‎[1], Instituto Lingüístico",0
39,tuúru,,bull,0
40,tɨ́ñi,,"mouth (of a person), mouth (of a container)",0
41,úi,,Obsolete spelling of úúyi,0
42,úkui,,"pine tree, pine torch",0
43,uúli,,rubber,0
44,úúyi,,"arrow, dart, 1947,  Alfabeto tepehuana‎[1], Instituto",0
45,vaapákai,,reed,0
46,voí,,"road, 1947,  Alfabeto tepehuana‎[1], Instituto Lingüístico",0
47,vúji,,"eye, 1947,  Alfabeto tepehuana‎[1], Instituto Lingüístico",0
48,vuxi,,Obsolete spelling of vúji,0
49,ɨvɨ́ɨ́li,,wind,0
50,ɨ́koli,,"orange (fruit), 1947,  Alfabeto tepehuana‎[1], Instituto",0
51,ɨ́sai,,(transitive) plant,0
52,ɨ́ɨ́rai,,"blood, 1947,  Alfabeto tepehuana‎[1], Instituto Lingüístico",0
53,ʌr̃ai,,Obsolete spelling of ɨ́ɨ́rai,0
54,ʌ́kori,,Obsolete spelling of ɨ́koli,0
55,ʌ́sai,,Obsolete spelling of ɨ́sai,0
