ID,Form,IPA,Gloss,Language_ID
0,აბანოჲ,,bathhouse,0
1,აგარაკი,,field; village; garden,0
2,ადვილ,,easily,0
3,ადრე,,"early, tomorrow",0
4,ავაზანი,,"pool, water tank, cauldron, basin, (Christianity) baptismal",0
5,ავარი,,"plunder, booty",0
6,ათი,,ten,0
7,აკუმი,,"chair, bench, pile, heap, მარგალიტის აკუმი ― margaliṭis",0
8,ანაზდი,,sudden,0
9,ანაზდი,,suddenly,0
10,ანგარი,,"avaricious, greedy",0
11,ანგელოზი,/anɡɛlɔzi/,angel,0
12,ანუ,,or,0
13,აპნისი,,January,0
14,არწივი,,eagle,0
15,ასი,,hundred,0
16,ასული,,daughter,0
17,ატამი,,peach (Prunus persica),0
18,აღმაშენებელი,,(literally) one who builds,0
19,აშოტ,,"A male given name, Ashot",0
20,ბაგინი,,"pagan shrine, sacrificial altar",0
21,ბაკურ,,"A male given name, Bakur",0
22,ბანი,,This term needs a translation to English. Please help,0
23,ბანჯარი,,"herbs (green, mostly edible), reeds, grass",0
24,ბარჯი,,"gaff, bident",0
25,ბაწარი,,"tether, rope",0
26,ბედედი,,"roof, housetop from trampled, flattened earth",0
27,ბევრი,,"many, much",0
28,ბევრი,,ten thousand,0
29,ბიბლია,,Bible,0
30,ბილწი,,Alternative form of პილწი (ṗilc̣i),0
31,ბიჭი,,"crumbs, 5th century, Bible, Mark 7.28:ხოლო მან მიუგო",0
32,ბორბალი,,wheel,0
33,ბრგუნვა,,"Lacking ability to speak clearly, stuttering",0
34,ბრინჯი,,"nettle tree (Celtis spp.), 9th–14th centuries, The",0
35,ბრძოლა,,"battle, war, formation, structure, lineup, merit, contribution,",0
36,ბუდეჲ,,"nest, den, lair, eye socket",0
37,ბუვი,,Alternative form of ბუჲ (buy),0
38,ბუზი,,Alternative form of ბუზჳ (buzwi),0
39,ბუზუი,,Alternative form of ბუზჳ (buzwi),0
40,ბუზჳ,,fly (insect),0
41,ბუჲ,,owl,0
42,გერი,,"wild plant (plant that grew in wild; without planting),",0
