ID,Form,IPA,Gloss,Language_ID
0,alemos,,dog,0
1,alαməpékʷipakohs,,"kelp, Alaria esculenta",0
2,dolba,,turtle,0
3,ess,,"clam, bivalve, mussel, bivalve shell",0
4,kegwes,,what?,0
5,kia,,"you, thou (the singular second person pronoun)",0
6,ktci,,"big, great, ktci sibu, great, big river",0
7,medala,,ten (10),0
8,mehč,,"but, yet,",0
9,mehči-,,"reach the end, end, finish",0
10,mos,,moose,0
11,mátessəss,,oyster,0
12,mə̀kihkan,,fishhook,0
13,nebi,,water,0
14,nia,,I (the singular first person pronoun),0
15,nikwop,,now,0
16,outdusis,,"(little) pathway, (little) path, (figuratively) (an",0
17,pagakan,,(flowing) blood,0
18,pə̀kəte,,smoke,0
19,sips,,bird,0
20,skok,,snake,0
21,sìkkʷənahkʷ,,horseshoe crab,0
22,tke,,"(of the air, the weather) it is cold (impersonal verb)",0
23,wigwom,,(a) house,0
24,wigwomwok,,"locative of wigwom homeward, homewards; to the/a house",0
25,wiwíləyamekʷ,,snail,0
26,àpαn,,"bread, cornbread",0
