ID,Form,IPA,Gloss,Language_ID
0,achtu,/ˈat͡ʃtu/,"first, Ini ne achtu amat ne nikamaita tik seyuk taketzalisThis",0
1,achtu,/ˈat͡ʃtu/,"first, ahead, Inat ne shujshuletket ka achtu pewki",0
2,ajku,/ˈahku/,"up, above, over, on high
Kitalij ajku ne atiluni pal inte kalajsi ne sulinShe/he put the cup up high so that the toddler would not reach it
Muchi titachishket ka ajku pal tikitat ne metzti kwaluWe all looked up to see the lunar eclipse",0
3,ajku,/ˈahku/,"heights, sky, heaven",0
4,ajsi,/ˈahsi/,"(intransitive) to arrive, Shinechnawati keman tiajsi",0
5,ajsi,/ˈahsi/,"(transitive) to find, to obtain, Nikajsik ne mutanutzka",0
6,ajwiak,/ahˈwijak/,"tasty, delicious
Ini nakatamal sujsul ajwiakThis tamale is very delicious",0
7,akuat,,eel.,0
8,akuyut,/aːˈkujuːt/,otter,0
9,amat,/ˈaːmat/,a kind of fig tree (clarification of this definition,0
10,an-,/an/,"(personal) you, second-person plural subject marker.
Antekitit tik ne mil?Do you work at the cornfield?",0
11,anmejemet,/anmeˈhemet/,"(personal) you, second person plural pronoun.
Anmejemet (an)taketzat yek ne Nawat
You speak Nawat well",0
12,apan,/ˈaːpaŋ/,"river, Yajket mawiltiat tik ne apan ne pipilmetThe",0
13,ashan,/ˈaːʃaːŋ/,"now, at the present time, Ashan tiawit tiktaliat ne",0
14,ashnuj,/ˈaʃnuh/,"donkey, ass, Tikpiat se ashnuj pal talsajsakat ne uwatWe",0
15,at,/aːt/,"water, Shikuni chiupi atDrink some water",0
16,awakat,/aːˈwakat/,"avocado, Nikwaj awakat wan tamal yaluaI ate avocado",0
17,ayutuch,/aːˈjuːtut͡ʃ/,"armadillo, San tikitaket se ayutuch tik ne ujtiWe just",0
18,ayutzin,/aːˈjuːt͡siŋ/,"turtle, tortoise, Ne ayutzin kinaya ne itejteksis tik",0
19,cha,/ˈt͡ʃa/,Clipping of -chiwa.,0
20,chiknawi,/t͡ʃikˈnaːwi/,"nine, Chiknawi takutun kipia ini amat ninemi nikamaitaThis",0
21,chikume,/t͡ʃiˈkuːme/,"seven, Ashan chikume shiwit ka inte nimutawantiaIt",0
22,chikwasen,/t͡ʃiˈkʷaseːŋ/,"six, Nikpia chikwasen nuechkawanI have six brothers",0
23,chikwey,/t͡ʃiˈkʷeːj/,"eight, Nipewa nitekiti mujmusta chikwey horaj ka peynaI",0
24,chil,/ˈt͡ʃiːl/,"pepper (fruit), especially chili pepper, Shikmaka chil",0
25,chiltik,/ˈt͡ʃiːltik/,"red, Nemita chiltik ne tujtumatThe tomatoes are red",0
26,chiwa,/ˈt͡ʃiwa/,"(transitive) to make, Nikak ka kichiwat kumit ka néI",0
27,ejekat,/eˈhekat/,"wind, air, Ne ejekat kiwaki ne tatuk iwan ne et keman",0
28,elut,/ˈeːlut/,"ear of corn, Witzet kiwikat elut pal kikwaThey come",0
29,epat,/ˈepat/,"skunk, Ijyaya tetekia ika panuk se epat ka tatenpanIt's",0
30,esti,,blood,0
31,et,/ˈeːt/,"bean, Shikua et pal titamanat mustaBuy beans to cook",0
32,ilwia,/ilˈwi(j)a/,"(transitive) to tell, to say
Tinechilwij ka tiu-tiktamia katka ashanYou told me that you were going to finish it today",0
33,ina,/ˈiːna/,"(intransitive) to say, to state, to utter
Inak ne tamachtiani ka musta tikpiat se taejekulisThe teacher said we'll have a test tomorrow",0
34,inte,/inˈteː/,"not
Ina ka inte kimatiShe/he said she/he doesn't know
Inte niweli nitekiti yek kwak nimayanaI can't work well when I'm hungry",0
35,inte,/inˈteː/,"no, used to deny or disagree.
Tikneki chiupi chukulat? — Te, nikwaja weyDo you want a piece of chocolate? — No, I already ate a lot",0
36,ish,/iːʃ/,"eye, (sometimes ""face"" in compounds), Shiktzajtzakwa",0
37,kakawani,/kakaˈwani/,salamander,0
38,kal,/kal/,"house, Ne nukunpa nemi tik uni kal tultikMy friend",0
39,kalat,/ˈkaːlat/,"frog, Ne kalat tzikwinik tik ne apetatThe frog jumped",0
40,kaltapach,/kalˈtapat͡ʃ/,"cockroach, Nikmiktij ne kaltapach kwak nikitakI killed",0
41,kanawti,/kaˈnawti/,"duck, Kiski patani ne kanawti kwak nikmutijThe duck",0
42,kashtul,/ˈkaʃtul/,"fifteen, Tiu-tikchiwat se wey ilwit pal nueltiw ika",0
43,kastiaj,/kasˈti(j)ah/,"the Spanish language, Castilian., ...tik kastiaj kinhilwia...s/he",0
44,kawayu,/kaːˈwaju(h)/,"horse, Ne numiakwan tik Sentzunat kipiat se kawayuMy",0
45,kechweyak,,jirafe.,0
46,-ket,/ket/,"Preterite plural verb suffix, kisa → kisket, panu →",0
47,ketza,/ˈket͡sa/,"(transitive) to raise, to lift, Kiketzki ne itzuntekunS/he",0
48,-ki,/ki/,"Preterite singular verb suffix
kisa → kiski
pewa → pejki",0
49,ki-,/ɣi/,"(personal) it, her, him, third-person singular object marker.
Te kikak aka
Nobody heard it/him/her",0
50,kimichin,/kiˈmit͡ʃiŋ/,"mouse, Nikitak ne kuat kimiktia wan kitulua ne kimichinI",0
51,kin-,/ɣiŋ/,"(personal) them, third-person plural object marker.
Nikintajtanilij su kinekituyat yawit
I asked them if they wanted to go",0
52,kinia,/kiˈnija(h)/,"banana, Ne ijiswat ne kinia weli tikwit pal tikchat",0
53,kuat,/ˈkuːwat/,"snake, Kwakuni pejki ne kuat mukwejkweluaThen the snake",0
54,kuke,/ˈkuːke/,"iguana, Ne kuke kisa mutunalwia mujmusta pak uni tetuntiThe",0
55,kuketzpal,/kuːˈket͡spal/,"iguana, Ne kuketzpal kipia wijwitzti ijpak iteputzIguanas",0
56,kulut,/ˈkuːlut/,"scorpion, Ne nuteku kiajsik se kulut ijtik ne ikakMy",0
57,kumit,/ˈkumit/,"pot, Nemi mumana ne et ijtik ini kumitThe beans are",0
58,kunet,/ˈkuneːt/,"child, baby
Ne kunet yu-pewa musta tik ne tamachtiluyanThe child will start school tomorrow",0
59,Kuskatan,/kuːsˈkataŋ/,"El Salvador (a country in Central America), the pre-Columbian",0
60,kuyamet,/kuˈjamet/,"pig, Ne kuyamet mawiltia tik ne pululThe pig is playing",0
61,kuyut,/ˈkujuːt/,"coyote, Seujseujti mukaki se kuyut tik ne tepetSometimes",0
62,kwa,/kʷa/,"(transitive) to eat
Maka shikwakan ne pujpula selek
Don't eat the plantains uncooked",0
63,Kwajtemalan,/kʷahteːˈmalaŋ/,Guatemala (a country in Central America),0
