ID,Form,IPA,Gloss,Language_ID
0,ameʹt,/aˈmet/,"paper, document",0
1,at,/ˈat/,water,0
2,ayuʹt,/aˈjut/,"tortoise, turtle",0
3,cayupoʹl,/kajuˈpol/,"a young horse; foal, colt, filly",0
4,cayuʹ,/kaˈju/,horse,0
5,ce,/ˈse/,one,0
6,comaʹl,/koˈmal/,comal (griddle),0
7,coxt,/ˈkoʃt/,neck,0
8,cuixoʹm,/kwiˈʃom/,iguana,0
9,culuʹt,/kuˈlut/,scorpion,0
10,cuteʹt,/kuˈtet/,excrement,0
11,cuzt,/ˈkust/,"vulture, buzzard",0
12,eyuʹt,/eˈjut/,squash,0
13,gʼlazpoʹl,/ɡʔlasˈpol/,girl,0
14,gʼlazt,/ˈɡʔlast/,"woman, (possessed) wife",0
15,luxalyuʹ,/luʃaˈlju/,rosary,0
16,macuiʹl,/maˈkwil/,five,0
17,mecheʹt,/meˈt͡ʃet/,machete,0
18,mezt,/ˈmest/,moon,0
19,meçaʹt,/meˈsat/,deer,0
20,michoʹm,/miˈt͡ʃom/,fish,0
21,nayoʹm,/naˈjom/,four,0
22,nqui,/nˈki/,want,0
23,ocoʹxt,/oˈkoʃt/,man,0
24,omeʹm,/oˈmem/,two,0
25,oxqueʹt,/oʃˈket/,cotton,0
26,ozteʹt,/osˈtet/,salt,0
27,pan,,bread,0
28,payoʹ,/paˈjo/,rebozo,0
29,-poʹl,,"child, the young of",0
30,ptzec,/ˈpt͡sek/,thin,0
31,qualaʹt,/kwaˈlat/,lizard,0
32,quaxiluʹt,/kwaʃiˈlut/,banana,0
33,quet,/ˈket/,"be, exist",0
34,quiçaʹ,/kiˈsa/,"(intransitive) go out, leave, 1917 July,  Franz Boas,",0
35,tachoʹm,/taˈt͡ʃom/,dog,0
36,taxpoʹl,/taʃˈpol/,puppy,0
37,tequeʹt,/teˈket/,man,0
38,tet,/ˈtet/,fire,0
39,teyuʹl,/teˈjul/,maize,0
40,teʹipo,/ˈteipo/,spectacled caiman (Caiman crocodilus),0
41,tilaʹn,/tiˈlan/,hen,0
42,tuneʹl,/tuˈnel/,sun,0
43,tziqueʹt,/t͡siˈket/,ant,0
44,tᴜčiʔ,,rabbit,0
45,ugʼloʹm,/uˈɡʔlom/,worm,0
46,xamt,/ˈʃamt/,tortilla,0
47,xict,/ˈʃikt/,navel,0
48,xuchoʹt,/ʃuˈt͡ʃot/,flower,0
