ID,Form,IPA,Gloss,Language_ID
0,ait,/ai̯t/,to go,0
1,aită,/ˈai̯tɐ/,father,0
2,asål,/asɒl/,"donkey, ass",0
3,axterskă,/ˈaxtɛrskɐ/,"rear, behind",0
4,badål,/ba.dɒl/,"hangman, executioner",0
5,bezăt,/bɛzɐt/,to run,0
6,blåxă,/ˈblɒxɐ/,flea,0
7,bobo,/bɔˈbɔ/,"grandmother, old woman",0
8,bordźă,/ˈbɔrd͡zʲɐ/,furrow,0
9,bornă,/ˈbɔrnɐ/,harrow,0
10,borš,/bɔrʃ/,perch,0
11,breză,/ˈbrɛzɐ/,birch,0
12,brig,/brik/,"bank, shore (of a river)",0
13,brot,/brɔt/,brother,0
14,bråvoi,,eyebrow(s),0
15,brödă,/ˈbrœdɐ/,"beard, chin, throat",0
16,brükoză,/brykɔzɐ/,pants,0
17,båz,/bɒs/,"elder, lilac",0
18,bör,/bœr/,peasant,0
19,büg,/ˈbyɡ/,god,0
20,b́olĕ,/ˈbʲɔlə/,white,0
21,b’ordü,,swingle,0
22,caistü,/t͡sai̯sty/,clean,0
23,carvenĕ,/t͡sarˈvɛ.nə/,red,0
24,carťai,/t͡sar.tʲai̯/,"church, cemetery",0
25,celü,/t͡sɛˈly/,"cheek, face",0
26,celă,/ˈt͡sɛlɐ/,bee,0
27,ceră,,yesterday,0
28,citĕr,/ˈt͡si.tər/,four (4),0
29,clåvăk,/ˈt͡slɒ.vɐk/,man,0
30,coso,/t͡sɔˈsɔ/,"bowl, cup",0
31,crevü,/t͡srɛ.ˈvy/,intestines,0
32,crevă,,intestines,0
33,criv,/t͡srif/,shoe,0
34,cåun,/t͡sɒu̯n/,boat,0
35,cü,/t͡sy/,what,0
36,cĕ,/t͡sə/,or,0
37,dară,/ˈdarɐ/,"hole, prison",0
38,dausă,/ˈdaʏ̯sɐ/,soul,0
39,detă,/dɛtɐ/,child,0
40,devă,/ˈdɛvɐ/,"girl, maid",0
41,disąt,/diˈsãt/,ten (10),0
42,divąt,/diˈvãt/,nine (9),0
43,dolĕk,,far,0
44,draug,/drau̯k/,second,0
45,drauďĕ,/drau̯dʲə/,other,0
46,dren,/drɛn/,thorn,0
47,dråvă,/ˈdrɒ.vɐ/,wood,0
48,dånü,/dɒˈny/,"ground, bottom",0
49,dåuďü,/dɒu̯dʲy/,long,0
50,dåvo,/dɒˈvɔ/,two (2),0
51,dåzd,/dɒst/,rain,0
52,döl,/dœl/,valley,0
53,dü,/dy/,"up to, until",0
54,dübrĕ,/ˈdybrə/,good,0
55,Dümăs,/ˈdy.mɐs/,"A male given name from Aramaic, equivalent to English",0
56,dǫb,/dɔ̃p/,oak,0
57,emerikă,/ˈɛ.mɛ.ri.kɐ/,Kingdom of Heaven,0
58,farb’ă,/ˈfar.bʲɐ/,color,0
59,frišă,/ˈfriʃɐ/,"fresh, new",0
60,gjozdă,/ˈɡjɔzdɐ/,star,0
61,glaino,/ɡlai̯ˈnɔ/,clay,0
62,glaistă,/ˈɡlai̯stɐ/,earthworm,0
63,glåd,/ˈɡlɒd/,hunger,0
64,glåvă,/ˈɡlɒvɐ/,head (part of the body),0
65,glǫbĕk,,deeply,0
66,gnaidă,/ˈɡnai̯dɐ/,nit (egg of a louse),0
67,gnest,/ɡnɛst/,to knead,0
68,gorx,/ˈɡɔrx/,pea,0
69,graib,/ɡrai̯p/,mushroom,0
70,gramăt,/ɡramɐt/,to thunder,0
71,greblü,/ɡrɛbˈly/,rake,0
72,grijot,/ɡrijɔt/,to warm,0
73,grönĕ,/ɡrœnə/,green,0
74,gńozdĕ,,nest,0
75,gŕǫdă,/ˈɡrʲɔ̃dɐ/,beam,0
76,gǫs,/ˈɡɔ̃s/,goose,0
77,jadlă,/ˈjɒdlɐ/,firtree,0
78,jadån,/jaˈdɒn/,one (1),0
79,jaigroc,/jai̯.ɡrɔt͡s/,player,0
80,jaimă,,name,0
81,jaimą,,name,0
82,jaiďü,,yoke,0
83,jautrü,/jau̯ˈtry/,morning,0
84,jist,/ˈjist/,"still, yet",0
85,jiz,/jiz/,hedgehog,0
86,joblün,,apple-tree,0
87,jobťü,/jɔbˈtʲy/,apple,0
88,joji,/jɔˈji/,egg,0
89,jomo,/jɔˈmɔ/,"hole, hole for a grave",0
90,josin,,ash-tree,0
91,joďădåi,/jɔdʲɐˈdɒi̯/,nominative plural of *joďödă,0
92,joťĕ,/jɔtʲə/,what (what kind of),0
93,jungĕ,/ˈju.ŋə/,young,0
94,jåglă,/ˈjɒɡlɐ/,needle,0
95,jågraićă,/jɒɡˈrai̯t͡sʲɐ/,"game, play",0
96,jåkră,/ˈjɒkrɐ/,roe,0
97,jåskră,/ˈjɒskrɐ/,spark,0
98,jåzbă,/ˈjɒzbɐ/,"playhouse, place for recreation",0
99,jącmin,,barley,0
100,jǫdrĕ,,kernel,0
101,jǫzĕk,,tongue,0
102,kjot,/kʲɔt/,flower,0
103,klådă,/klɒdɐ/,barrel,0
104,klås,/klɒs/,ear,0
105,klåťöl,,bell,0
106,komoi,/kɔˈmɔi̯/,stone,0
107,korvo,/kɔrˈvɔ/,cow,0
108,korťĕtüc,/kɔrtʲətyt͡s/,mole,0
109,koťĕ,/kɔtʲə/,which,0
110,kraidlĕ,/ˈkrai̯dlə/,wing,0
111,kraivü,,awry,0
112,kremin,/krɛmin/,flint,0
113,krosån,,cross worn on a necklace,0
114,kråi,/ˈkrɒi̯/,blood,0
115,kåtü,/kɒˈty/,who,0
116,-kă,/kɐ/,diminutive noun suffix,0
117,kľauc,/klʲau̯t͡s/,key,0
118,laipo,/lai̯ˈpɔ/,linden,0
119,laisaićă,,vixen (female fox),0
120,laiskă,,fox,0
121,las,/las/,salmon,0
122,laug,,meadow near a river,0
123,lauk,/lau̯k/,garlic,0
124,laună,/ˈlaʏ̯nɐ/,moon,0
125,Låbü,/lɒby/,Elbe (river in the Czech Republic and Germany),0
126,löxtår,/lœxtɒr/,lantern,0
127,lüj,/ˈlyj/,tallow,0
128,lük,/lyk/,luck,0
129,lümĕt,/lymət/,to break,0
130,lüpotă,/lypɔtɐ/,shoulder blade,0
131,lüďă,/lydʲɐ/,boat,0
132,lüťėt,,elbow,0
133,maimü,/maɪ.my/,past,0
134,Maixăl,/mai̯xɐl/,"A male given name from Hebrew, equivalent to English",0
135,mauxo,/maʏ̯ˈxɔ/,fly,0
136,med,/mɛt/,honey,0
137,midźă,/ˈmidzʲɐ/,balk,0
138,mlåkă,/mlɒkɐ/,of a milk,0
139,moitĕ,,reward,0
140,Moraikă,/mɔrai̯kɐ/,A diminutive of the female given name Morajă.,0
141,Morajă,/mɔrajɐ/,"A female given name, equivalent to English Mary.",0
142,morz,/ˈmɔrz/,frost,0
143,motai,/mɔtai̯/,mother,0
144,mükrü,,wet,0
145,mąsi,/mãsi/,"meat, beef",0
146,mǫkă,/ˈmɔ̃kɐ/,flour,0
147,m’åglă,/ˈmʲɒɡlɐ/,"steam, vapor, fog, mist",0
148,naisťü,,low,0
149,naivă,/ˈnai̯vɐ/,"field, piece of land",0
150,nebü,/nɛˈby/,"heaven, sky, palate",0
151,nideľă,/niˈdɛ.lʲɐ/,"Sunday, week",0
152,Niklot,/niklɔt/,"A male given name from Greek, equivalent to English Nicholas",0
153,nüc,/ˈnyt͡s/,night,0
154,nügă,/ˈnyɡɐ/,foot,0
