ID,Form,IPA,Gloss,Language_ID
0,',,"Put before the declension suffix of a foreign name, if the preceding letter is silent.
Harry'ego /xaˈrɛ.ɡɔ/ — genitive case of Harry
Georges'em /ˈʐɔr.ʐɛm/ — instrumental case of Georges",0
1,'s-Hertogenbosch,/sɛr.tɔ.xɛmˈbɔs/,'s-Hertogenbosch (a city and capital and municipality,0
2,-a,/a/,Forms nominative feminine nouns,0
3,A,/a/,"The first letter of the Polish alphabet, called a and written in the Latin script.",0
4,a-,/a/,"forming words with the sense of negation, ‎a- + ‎społeczny",0
5,Aalborg,/ˈɔl.bɔr/,"Aalborg (the capital city of North Jutland, Denmark)",0
6,aalborski,/ɔlˈbɔr.ski/,"(relational) Aalborg
1983, Przegląd biblioteczny, volume 51, page 39:
[...] kopenhaskiej i 100 — do aalborskiej, oraz 60-70 studentów na Wydziale II.(please add an English translation of this quote)
1994, Irena Machaj, Stare i nowe struktury społeczne w Polsce: Czynniki miastotwórcze w okresach wielkich zmian społecznych, page 84:
W ślad za Agendą 21 poszła „Karta Europejskich Miast i Miasteczek Dążących do Zrównoważonego Rozwoju"" („Karta Aalborska"") przyjęta przez 80 europejskich.(please add an English translation of this quote)
2005,  “Opinion of the Committee of the Regions on the Communication from the Commission to the Council, the European Parliament, the European Economic and Social Committee and the Committee of the Regions – Towards a thematic strategy on the urban environment”, in (Please provide the book title or journal name), European Union, page (chapter) 2.7:Wzywa Komisję do sformułowania porozumień o rozwoju miast opartych na przykład na założeniach metody otwartej koordynacji i Karty Aalborskiej lub umów trójstronnych. / The Committee of the Regions calls on the Commission to frame urban development agreements, working along the lines of, for example, the open coordination method and the Ålborg Charter, or tripartite agreements.(please add an English translation of this quote)",0
7,aalen,,Aalenian (geology),0
8,Aarhus,/ˈɔr.xus/,Aarhus (second largest city in Denmark),0
9,abak,/ˈa.bak/,"abacus (a counting frame), Synonym: abakus",0
10,abak,/ˈa.bak/,genitive plural of abaka,0
11,abak,/ˈa.bak/,genitive plural of abaka,0
12,abaka,/aˈba.ka/,"Manila hemp, Synonym: manila",0
13,Abakan,/aˈba.kan/,"Abakan (a city in Khakassia, Russia), Abakan (a river",0
14,abakus,/aˈba.kus/,"abacus (a counting frame), Synonym: abak, (architecture)",0
15,abazja,/aˈbaz.ja/,(medicine) abasia,0
16,abazyński,/a.baˈzɨɲ.ski/,Abaza,0
17,abazyński,/a.baˈzɨɲ.ski/,Abaza (language),0
18,abażur,/aˈba.ʐur/,"lampshade, Synonym: klosz",0
19,abażurek,/a.baˈʐu.rɛk/,Diminutive of abażur.,0
20,abc,/aˈbɛ.t͡sɛ/,"101 (basic knowledge)
Synonyms: abecadło, alfabet, elementarz, podstawa",0
21,abchaski,/apˈxas.ki/,Abkhaz,0
22,abchaski,/apˈxas.ki/,Abkhaz (language),0
23,abchaskość,/apˈxas.kɔɕt͡ɕ/,The quality of being Abkhaz.,0
24,Abchaz,/ˈap.xas/,(male) Abkhaz,0
25,Abchazja,/apˈxaz.ja/,Abkhazia,0
26,Abchazka,/apˈxas.ka/,Abkhaz (female),0
27,abdomen,/abˈdɔ.mɛn/,"(anatomy) abdomen (of a person), Synonym: brzuch, (arthropod",0
28,abdominalny,/ab.dɔ.miˈnal.nɨ/,"(relational) abdominal, relating to the abdomen, Synonyms:",0
29,abdukcja,/abˈduk.t͡sja/,(medicine) abduction (act of moving something away,0
30,abdukcyjny,/ab.dukˈt͡sɨj.nɨ/,"(relational) abductional, the movement which separates",0
31,abdykacja,/ab.dɨˈka.t͡sja/,(law) abdication (act of abdicating; the renunciation,0
32,abecadło,/a.bɛˈt͡sad.wɔ/,"ABC (alphabet), Synonym: alfabet, ABC's (fundamentals",0
33,aberracja,/a.bɛrˈrat͡s.ja/,"(psychology, formal, derogatory) aberration (a minor",0
34,Abidżan,/ˈa.bi.d͡ʐan/,Abidjan (de facto capital city of Ivory Coast),0
35,abiogeneza,/a.bjɔ.ɡɛˈnɛ.za/,"(biology) abiogenesis, Synonym: samorództwo, Antonym:",0
36,abisyński,/a.biˈsɨɲ.ski/,Abyssinian,0
37,abiturient,/a.biˈtu.rjɛnt/,"A male student that will take, is taking, or has just",0
38,ablacja,/abˈla.t͡sja/,"(geology) ablation (particularly of a glacier or slope),",0
39,ablatyw,/abˈla.tɨf/,"(grammar) ablative, Synonyms: pochodnik, ablatiwus,",0
40,abnegacja,/ab.nɛˈɡa.t͡sja/,"(literary) slovenliness, untidiness, Synonym: niechlujstwo",0
41,abnegat,/abˈnɛ.ɡat/,"male sloven, Synonyms: flejtuch, niechluj, brudas,",0
42,abo,/ˈa.bɔ/,"(archaic or Cieszyn Silesia, Upper Silesia, Poznań)",0
