ID,Form,IPA,Gloss,Language_ID
0,achaati,,"man
1975,  [Instituto Lingüístico de Verano],  Frases sencillas, tarasco-español‎[1], third edition, page 5:Maru achäticha ánchikuaɹisʌndi kámpuɹisʌ.Some men work in the field.",0
1,acháati,,man,0
2,achójki,,axolotl,0
3,achäti,,Obsolete spelling of achaati,0
4,acuitze,,Obsolete spelling of akuitsi,0
5,ájusï,,garlic,0
6,akamba,/aˈkampa/,maguey,0
7,akuitsi,/aˈkʷit͡si/,snake,0
8,amanhejchakua,,antojitos,0
9,amatsï,/aˈmat͡sɨ/,white-nosed coati (Nasua narica),0
10,ambajtsïkuni,,comb,0
11,anátapu,,tree,0
12,angatapu,,Obsolete spelling of anhatapu,0
13,anhatapu,/aˈŋatapu/,tree,0
14,asome,,monkey,0
15,auani,,rabbit,0
16,axuni,/aˈʃuni/,deer,0
17,camatsita,,Obsolete spelling of kamatsïta,0
18,caracata,,Obsolete spelling of karakata,0
19,carani,,Obsolete spelling of karani,0
20,carataqua,,Obsolete spelling of kʼarhatakua,0
21,cheti,,Obsolete spelling of chʼéti,0
22,chocho,,Obsolete spelling of chóchu,0
23,chóchu,/ˈtʃotʃo/,"grasshopper, locust ",0
24,chpíri,,fire,0
25,chuhpiri,,Obsolete spelling of chpíri,0
26,chʼéti,,tail,0
27,coqui,,Obsolete spelling of kóki,0
28,cuiripu,,Obsolete spelling of kʼuiripu,0
29,cuitziqui,,Obsolete spelling of kʼuitsiki,0
30,curitze,,Obsolete spelling of kurhitsi,0
31,ehpu,,Obsolete spelling of éjpu,0
32,ejpu,,Obsolete spelling of éjpu,0
33,éjpu,/ˈepʰu/,head,0
34,enandi,,guava,0
35,éskua,/ˈeskʷa/,eye,0
36,eskuela,,"school, 1975,  [Instituto Lingüístico de Verano], ",0
37,etuqua,,Obsolete spelling of itúkua,0
38,ezqua,,Obsolete spelling of éskua,0
39,hahqui,,Obsolete spelling of jájki,0
40,haniqua,,Obsolete spelling of janikua,0
41,hauiri,,Obsolete spelling of jauiri,0
42,hozqua,,Obsolete spelling of jósku,0
43,hurincxqua,,Obsolete spelling of jurhinhkskua,0
44,iorhekua,/joˈɽekʷa/,"river
1975,  [Instituto Lingüístico de Verano],  Frases sencillas, tarasco-español‎[1], third edition, page 8:Sábadu jimbó juchá niuaka ioɹékuaɹu jupani.On Saturday we go to the river to do washing.",0
45,ioɹékua,,Obsolete spelling of iorhekua,0
46,iréta,,(Eastern Purepecha) town,0
47,isinkua,,armadillo,0
48,itsï,,water,0
49,itúkua,,salt,0
50,jajki,,Obsolete spelling of jájki,0
51,jájki,/ˈxakʰi/,hand,0
52,janíkua,/xaˈnikʷa/,rain,0
53,jauiri,/xaˈwiri/,hair,0
54,jauíri,,Obsolete spelling of jauiri,0
55,jiuatsï,,coyote,0
56,jósku,,star,0
57,jurhinhkskua,/xuˈɽiŋkskʷa/,knee,0
58,jurhintskua,,Alternative spelling of jurhinhkskua,0
59,juɹiŋkskua,,Obsolete spelling of jurhinhkskua,0
60,kamata,,atole,0
61,kamatsïta,,brain,0
62,karakata,,"(obsolete) something painted, something written, writing",0
63,karani,/kaˈrani/,(obsolete) paint,0
64,karáni,,Obsolete spelling of karani,0
65,kárani,/ˈkarani/,fly,0
66,karhataqua,,Obsolete spelling of kʼarhatakua,0
67,-kata,,Past passive participle.,0
68,kóki,,toad,0
69,kuanasï,,frog,0
70,kuanhasï,/kʷaˈŋasɨ/,frog,0
71,kuarachi,,sandal,0
72,kuaraki,,squirrel,0
73,kuaroxikua,,smallpox,0
74,kuaróšikua,,Obsolete spelling of kuaroxikua,0
75,kuáti,,twin,0
76,kuatsita,,"excrement, feces",0
77,kúmi-wátsï,,(Eastern Purepecha) fox,0
78,kúmu,,gopher,0
79,kupanda,,avocado,0
80,kurhitsi,/kuˈɽit͡se/,buzzard,0
81,kʼarhatakua,/kʰaˈɽatakʷa/,"broom, a kind of shrub (Baccharis conferta), [1790,",0
82,kʼuiripu,,person,0
83,kʼuitsiki,/kʷʰiˈt͡siki/,skunk,0
84,Mexiku,,Mexico,0
85,Michoakani,,Michoacán,0
86,mintsita,/minˈt͡sita/,heart,0
87,mintzita,,Obsolete spelling of mintsita,0
88,misitu,,cat,0
89,miztu,,Obsolete spelling of misitu,0
90,pangua,,Obsolete spelling of pʼángua,0
91,panqua,,Obsolete spelling of pʼángua,0
92,paracata,,Obsolete spelling of parakata,0
93,parakata,/paˈrakata/,butterfly,0
94,patamu,,Obsolete spelling of pʼatamu,0
95,pʼángua,,broom,0
96,pʼatamu,,reed,0
97,pʼorhe,,Indian (indigenous person),0
98,pꞌáŋgua,,Obsolete spelling of pʼángua,0
99,quanas,,Obsolete spelling of kuanhasï,0
100,quaraqui,,Obsolete spelling of kuaraki,0
101,quatzita,,Obsolete spelling of kuatsita,0
102,rekreu,,"(school) recess, break, 1975,  [Instituto Lingüístico",0
103,-ri,,genitive suffix,0
104,siquapu,,Obsolete spelling of sïkuapu,0
105,siruqui,,Obsolete spelling of sïruki,0
106,siturhi,,Obsolete spelling of sïturhi,0
107,situri,,Obsolete spelling of sïturhi,0
108,siuinehtsiqua,,"(obsolete) cowlick, (obsolete) crown (of the head)",0
109,sïkuapu,,spider,0
110,sïrijtakua,,petticoat,0
111,sïruki,/sɨˈruki/,ant,0
112,sïruri,,grape,0
113,sïturhi,/sɨˈtuɽi/,intestines,0
114,sʌtuɹi,,Obsolete spelling of sïturhi,0
115,tájchukua,,underskirt,0
116,tanharhikua,,apron,0
117,tauas,,Obsolete spelling of tauasï,0
118,tauasï,/taˈwasɨ/,liver,0
119,tehqui,,Obsolete spelling of téjki,0
120,téjki,/ˈtekʰi/,fingernail ,0
121,teretsikua,,typhoid fever,0
122,terétsikua,,Obsolete spelling of teretsikua,0
123,thireni,,Obsolete spelling of tʼireni,0
124,thziraqua,,Obsolete spelling of tsʼirakua,0
125,thzirari,,Obsolete spelling of tsʼirari,0
126,trigu,,"wheat, 1975,  [Instituto Lingüístico de Verano],  Frases",0
127,tsakapu,,stone,0
128,tsápki,,American kestrel (Falco sparverius),0
129,tsintsicata,,Obsolete spelling of tsïntsïkata,0
130,tsurhumbini,,bramble (thorny shrub),0
131,tsïntsïkata,,wall,0
132,tsïtsïki,,flower,0
133,tsʌntsʌkata,,Obsolete spelling of tsïntsïkata,0
134,tsʼame,,coyote,0
135,tsʼirakua,,worm,0
136,tsʼirari,,cold,0
137,tucuru,,Obsolete spelling of tukuru,0
138,tukuru,,owl,0
139,tupu,,Obsolete spelling of túpu,0
140,túpu,/ˈtupu/,navel,0
141,tzacapu,,Obsolete spelling of tsakapu,0
142,tzapuhqui,,Obsolete spelling of tsápki,0
143,tzurumbeni,,Obsolete spelling of tsurhumbini,0
144,tʼireni,,eat,0
145,uacharhitakua,,measles,0
146,uacháɹitakua,,Obsolete spelling of uacharhitakua,0
147,uakasï,,"ox, steer, 1975,  [Instituto Lingüístico de Verano],",0
148,uakasʌ,,Obsolete spelling of uakasï,0
149,uanenku,,blouse,0
150,uárhi,,"woman
2006, Frida Guadalupe Villavicencio Zarza, Desarrollo del sistema de casos del purépecha, CIESAS (→ISBN), page 169:
Siglo XX
(5) ka uárhi inchákuni
ka wárhi inchá-ku -ni
y mujer entrar-3OBJ-INF
'y la mujer se (le) metió'",0
151,uarhiiti,,woman,0
152,uasïsï,/waˈsɨsɨ/,bat,0
153,uata,,"hill, mountain.",0
154,Uaxaka,,Oaxaca,0
155,uéxurhini,/ˈweʃuɽini/,year,0
156,uéšuɹini,,Obsolete spelling of uéxurhini,0
157,uíchu,,dog,0
158,úkuri,,opossum,0
159,úrhuata,,zapote,0
160,vexurini,,Obsolete spelling of uéxurhini,0
161,vhcumu,,Obsolete spelling of kúmu,0
162,vichu,,Obsolete spelling of uíchu,0
163,warhi,,"Alternative form of uárhi (“woman”)
2016, Claudine Chamoreau, ""Non-finite chain-medial clauses on the continuum of finiteness in Purepecha"", in Claudine Chamoreau and Zarina Estrada-Fernández (editors), Finiteness and Nominalization, John Benjamins Publishing Company (→ISBN), page 93:
(16) a. ja-rha-x-p-ti=na ma warhi xepiti,
be.there-FT-AOR-PAST-ASS3s=EV ART.INDF woman lazy
'There was a lazy woman,
b. ima warhi xepi-ni,
DEM woman be.lazy-NF
this woman was lazy,",0
164,xanoata,,hail,0
165,xanuuata,,Obsolete spelling of xanoata,0
166,xapó,/ʃaˈpo/,soap,0
167,xaramita,,lung,0
168,xaramuta,,Obsolete spelling of xaramita,0
169,xucuparaqua,,Obsolete spelling of xukuparhakua,0
170,xukuparhakua,/ʃuˈkupaɽakʷa/,"clothes, clothing",0
171,xurata,,Obsolete spelling of xurhata,0
172,xurhata,,cotton,0
173,yurequa,,Obsolete spelling of iorhekua,0
174,šarámita,,Obsolete spelling of xaramita,0
175,šukúpaɹakua,,Obsolete spelling of xukuparhakua,0
