ID,Form,IPA,Gloss,Language_ID
0,abbai,,"attic (space, often unfinished and with sloped walls, directly below the roof)",0
1,bbarat,,wind (movement of air),0
2,gondila,,window (opening for light and air),0
3,llangguk,,(anatomy) Uvula (appendage that hangs from the palate),0
4,pallampag,,floor (lower part of a room),0
5,rasam,,rain (condensed water from a cloud),0
6,rinantai,,floor (lower part of a room),0
7,rongobbon,,door (portal of entry into a building or room),0
8,ta'ap,,roof (the cover at the top of a building),0
9,tongkovizau,,(anatomy) liver (organ of the body),0
10,vavazaan,,door (portal of entry into a building or room),0
