ID,Form,IPA,Gloss,Language_ID
0,dengiz,,sea,0
1,eşek,,"donkey, <Eşekni Ardınca Miniş> Afanti eşegini ardınca",0
2,neñ,,"what, Seniñ adıñ neñ çaqrır? ― What's your name?, Sen",0
3,ormän,,forest,0
4,sumurla,,to suck,0
5,sumurla,,"to think, 2004,  阿布都·卡德尔 (Abdu Qadır) (music),  “Men",0
6,sumurla,,"to think, 2004,  阿布都·卡德尔 (Abdu Qadır) (music),  “Men",0
7,vaq,,"to look, U  başını  yanı  bir  vaqsa, Qarabağa asanlığı",0
8,vunxua,,culture,0
9,yaşil,,green,0
10,yü-,,to wash,0
11,şo,,yogurt,0
12,سو,,water,0
13,يولتوز,,star,0
