ID,Form,IPA,Gloss,Language_ID
0,caroti,,"baton, truncheon, Synonym: lícho",0
1,chicaclavó,,nail,0
2,chicacājní,,"airplane, aeroplane",0
3,chjexe,,the fruit of the chiotilla cactus (Escontria chiotilla),0
4,chjonta,,chicken sacrifice,0
5,chjotìí,,wattle (of a turkey),0
6,chꞌocan,,banana,0
7,cjátse,,red,0
8,cocható,,billy goat,0
9,coche,,fish,0
10,cochilíni,,northern bobwhite (Colinus virginianus),0
11,cochiyó,,knife,0
12,Cochjīsō,,"San Francisco Huapanapan, Oaxaca",0
13,cochápi,,northern mockingbird (Mimus polyglottos),0
14,cochíno,,pig,0
15,cochē,,louse,0
16,cocjo,,scarab beetle,0
17,cocjéntá,,barn owl (Tyto alba),0
18,cocjēntā,,(rare) wolf,0
19,cocātē,,horse,0
20,colondrina,,barn swallow (Hirundo rustica),0
21,colélo,,lamb,0
22,conche,,snake,0
23,conchecjixro,,a kind of rattlesnake (clarification of this definition,0
24,Conchia,,Oaxaca (city),0
25,conchāa,,white-nosed coati (Nasua narica),0
26,conchēchā,,rainbow,0
27,conchīā,,mottled owl (Strix virgata),0
28,conchīā,,scorpion,0
29,conchīā,,scorpion,0
30,contacoxrátso,,ladder-backed woodpecker (Dryobates scalaris),0
31,contójin,,opossum,0
32,contāníxra,,coyote (Canis latrans),0
33,copaxixi,,Boucard's wren (Campylorhynchus jocosus),0
34,copáto,,duck,0
35,cosápo,,toad,0
36,cotigre,,jaguar (Panthera onca),0
37,cotjōnche,,rhinoceros beetle,0
38,cotsīcārꞌēnájan,,Mexican beaded lizard (Heloderma horridum),0
39,cotsꞌaja,,iguana,0
40,cotsꞌajaméco,,Mexican spiny-tailed iguana (Ctenosaura pectinata),0
41,cotsꞌajaxrātjō,,green iguana (Iguana iguana),0
42,cotsꞌe,,"talaje (Ornithodoros talaje), a type of tick",0
43,cotèntsō,,domestic goat (Capra aegagrus hircus),0
44,cotónchi,,cat,0
45,coxecho,,Scott's oriole (Icterus parisorum),0
46,coxenco,,a kind of sea monster (clarification of this definition is needed),0
47,Coxrjō,,"San Juan Ajalpan, Puebla",0
48,coxrotjá,,"red-tailed hawk (Buteo jamaicensis)
Synonym: cotjá",0
49,coxroxe,,bird,0
50,coxróntá,,gray fox (Urocyon cinereoargenteus),0
51,coxrānonte,,ring-tailed cat or cacomistle (Bassariscus sp.) (clarification,0
52,coxrōsáninquí,,black vulture (Coragyps atratus),0
53,coxījnā,,deer (clarification of this definition is needed),0
54,Cóha,,"Santiago Miltepec, Oaxaca",0
55,cóha,,(rare) sky,0
56,cānītjōa,,the Nahuatl language,0
57,cōjā,,egg,0
58,iconni,,eye,0
59,Ijnqui,,"San Gabriel Chilac, Puebla",0
60,inta,,"tree, bush, shrub",0
61,Jnquíjnā,,"Teotitlán del Camino, Oaxaca",0
62,Jnājncōsine,,"Tlacotepec, Puebla",0
63,lahuerta,,"orchard, garden",0
64,mincó,,Sunday,0
65,nchitja,,comal (griddle),0
66,nejenni,,tongue,0
67,nitjó,,month,0
68,ntacajni,,palm tree,0
69,ntachje,,pitahaya cactus,0
70,ntachjexe,,chiotilla cactus (Escontria chiotilla),0
71,ntachjēntē,,black sapote (Diospyros nigra) tree,0
72,ntachꞌocan,,"banana plant, banana tree",0
73,ntamesá,,table,0
74,ntanche,,"Beaucarnea gracilis
Synonym: canchetsja",0
75,ntano,,Peruvian pepper (Schinus molle),0
76,Ntájnā,,"Coxcatlán, Puebla",0
77,Ntāchjina,,"Tehuacán, Puebla",0
78,Ntānche,,"Altepexi, Puebla",0
79,Ntānīnca,,"San Sebastián Zinacatepec, Puebla",0
80,ntāyaon,,ocean,0
81,ntējē,,desert,0
82,nánó,,year,0
83,númērō,,number,0
84,Nācaxro,,"Acatepec, Puebla",0
85,nīnco,,church,0
86,nīo,,firewood,0
87,nīxin,,new,0
88,rábānō,,radish,0
89,Tochrꞌuán,,"Santa María Coapan, Puebla",0
90,topápa,,potato,0
91,Tuanhan,,Veracruz (city),0
92,Tꞌánīnca,,Puebla (city),0
93,xjannóhé,,twin,0
94,xjansāo,,"eldest child, firstborn",0
95,xrochre,,soap,0
96,xrōchrē,,metate (grinding stone),0
97,xrōmármol,,onyx,0
98,āsénni,,soul,0
