ID,Form,IPA,Gloss,Language_ID
0,aiq,,water (clear liquid H₂O),0
1,akah,,root (of plant),0
2,akar,,Alternative form of akah,0
3,aku,,"I (personal pronoun), me (direct object of a verb),",0
4,anak,,"child (a female or male child, a daughter or son)",0
5,api,,fire (oxidation reaction),0
6,asu,,dog (animal),0
7,bagus,,handsome (of man: agreeable to the eye or to correct,0
8,beras,,rice (raw seeds used as food),0
9,besi,,"(physics, chemistry, metallurgy) iron (element)",0
10,bulan,,"moon (largest natural satellite of planet Earth), moon",0
11,dalem,/daləm/,"depth, innermost part",0
12,dalem,/daləm/,deep,0
13,dunie,,world (human existence),0
14,empat,,four,0
15,garem,/ɡarəm/,grain,0
16,gelinggang,,Cassia alata (a tree),0
17,ina,,"mother (female (human) who parents a child, gives birth",0
18,jarum,,needle (implement for sewing etc.),0
19,kanak,,Alternative form of anak,0
20,koning,,yellow (having yellow as its colour),0
21,koning,,yellow (colour),0
22,nina,,"woman, female",0
23,panggang,,to roast,0
24,putiq,,white (bright and colourless),0
25,putiq,,white (colour),0
26,saga,,jequirity (Abrus precatorius),0
27,sepang,,sappan Caesalpinia sappan,0
28,songket,/soŋkɛ̀t/,a type of cloth made of silk or cotton interwoven with,0
29,timah,,tin (element),0
30,uban,,grey hair (hair with the colour grey),0
31,ējo,,green (having green as its colour),0
32,ējo,,green (colour),0
33,ᬩᬸᬢᬓ᭄,,bald (having no hair),0
34,ᬳᬲᬸ,,dog (animal),0
