ID,Form,IPA,Gloss,Language_ID
0,ಅಂಗೆಯ್,,palm (of hand),0
1,ಅಂಟವಾಳ,,soapnut tree,0
2,ಅಂಱಿ,,pig,0
3,ಅಕ್ಕಁ,,elder sister,0
4,ಅಗ,,smoke,0
5,ಅಟ್ಟ,,attic of a (traditional Sholaga) house,0
6,ಅಣ್ಣ,,elder brother.,0
7,ಅಣ್ಣ,,food.,0
8,ಅಣ್ಣ,,food.,0
9,ಅತ್ತಿಗ,,elder brother's wife,0
10,ಅತ್ತು,,ten,0
11,ಅದ,,"is, exists (the copula)",0
12,ಅನ್ನ,,food,0
13,ಅನ್ನೊಂಡು,,eleven,0
14,ಅಪ್ಪ,,father,0
15,ಅಮ್ಮ,,maternal grandmother,0
16,ಅಯಿದು,,five,0
17,ಅಯಿದೊ,,five,0
18,ಅಯ್ಯ,,daughter's husband,0
19,ಅರವೆ,,earthen pitcher,0
20,ಅರ್ಸ್ಣ,,yellow,0
21,ಅರ್ಸ್ಣ,,yellow,0
22,ಅಲಸಂದೆ,,catjang,0
23,ಅಲಿಮೆರಿ,,bee larva,0
24,ಅಲ್ಲಿ,,there,0
25,ಅಲ್ಲು,,tooth,0
26,ಅಲ್ಲುಸಾಸ್ತ್ರ,,a rite of divination using castor oil seeds,0
27,ಅಳ,,old,0
28,ಅಳಿಮ,,"Indian giant squirrel, any squirrel",0
29,ಅಳಿಯ,,son-in-law,0
30,ಅಳಿಯ,,old,0
31,ಅಳಿಯ,,old,0
32,ಅಳ್ಳ,,river,0
33,ಅವರೆ,,"lablab, hyacinth bean",0
34,ಅವ್ವೆ,,mother,0
35,ಅಸಿ,,hunger,0
36,ಅಸುರಾವು,,"bamboo pit viper, Indian green pit viper",0
37,ಅಸುರು,,"green, light blue",0
38,ಅಸುರು,,"green, light blue",0
39,ಅಸ್ತ,,foot,0
40,ಆ,,to become,0
41,ಆಣ,,forehead,0
42,ಆಮೆಲೆ,,"afterwards, then",0
43,ಆಯ್,,to become,0
44,ಆಱು,,six,0
45,ಆಱೊ,,six,0
46,ಆಳು,,"man, person",0
47,ಆವು,,snake,0
48,ಇನಿಮೇ,,hereafter,0
49,ಹಂಡೆ,,a large water vessel,0
50,ಹಡಗು,,sailboat,0
51,ಹಬ್ಬ,,festival,0
52,ಹಲ್ಲು,,tooth,0
53,ಹಾರೆ,,crowbar,0
54,ಹಾಲು,,milk,0
