ID,Form,IPA,Gloss,Language_ID
0,&,,och,0
1,1,,"The number one (1).
Synonyms: ett, en",0
2,1-krona,,a one crown (1 krona) coin,0
3,1-öring,,a 1 öre coin,0
4,10-krona,,a ten crown (10 krona) coin,0
5,10-öring,,a 10 öre coin,0
6,100-lapp,,a hundred (100 krona) banknote,0
7,10:e,,Abbreviation of tionde (“10th”).,0
8,112,/ɛt.ɛtˈtvoː/,"112, the pan-European emergency phone number.",0
9,11:e,,Abbreviation of elfte (“11th”).,0
10,12:e,,Abbreviation of tolfte (“12th”).,0
11,13:e,,Abbreviation of trettonde (“13th”).,0
12,14:e,,Abbreviation of fjortonde (“14th”).,0
13,180,/²ɛtˌɔtɪ/,"(sports) 180
Jag gjorde en 180 på det där hoppet.I made a 180 on that jump.",0
14,1:a,,Abbreviation of första (“1st”).,0
15,1:e,,Abbreviation of förste (“1st”).,0
16,2-krona,,"a two crown (2 krona) coin (less common, minted 1876-1971)",0
17,2-öring,,a 2 öre coin,0
18,20-lapp,,a twenty (20 krona) banknote,0
19,200-lapp,,a two-hundred (200 krona) banknote,0
20,25-öring,,a 25 öre coin,0
21,2:a,,Abbreviation of andra (“2nd”).,0
22,2:e,,Abbreviation of andre (“2nd”).,0
23,3:e,,Abbreviation of tredje (“3rd”).,0
24,4:e,,Abbreviation of fjärde (“4th”).,0
25,5-krona,,a five crown (5 krona) coin,0
26,5-öring,,a 5 öre coin,0
27,50-lapp,,a fifty (50 krona) banknote,0
28,50-öring,/fɛmtɪˌœːrɪŋ/,A Swedish coin with a nominal value of 50 öre.,0
29,5:e,,Abbreviation of femte (“5th”).,0
30,6:e,,Abbreviation of sjätte (“6th”).,0
31,7:e,,Abbreviation of sjunde (“7th”).,0
32,8:e,,Abbreviation of åttonde (“8th”).,0
33,9:e,,Abbreviation of nionde (“9th”).,0
34,@,,(computing) The symbol used as a separator between a username and a domain name in an e-mail address.,0
35,-a,,A verb-building suffix that can be added to noun or,0
36,-a,,(on a positive adjective) Weak (definite) singular,0
37,-a,,"Create a noun from a numeral., ‎tre (“three”) + ‎-a",0
38,-a,,(on a positive adjective) Weak (definite) singular,0
39,-a,,"Create a noun from a numeral., ‎tre (“three”) + ‎-a",0
40,-a,,"Create a noun from a numeral., ‎tre (“three”) + ‎-a",0
41,-a-,/a/,(somewhat archaic or dialectal) Genitival interfix,0
42,A-dur,,A major,0
43,a-kassa,,Abbreviation of arbetslöshetskassa (“unemployment insurance”).,0
44,A-lagare,,"person that is part of an A team, Två A-lagare satt",0
45,a-moll,,(music) A minor,0
46,A-traktor,,"car or lorry with limited gearbox, limited max speed,",0
47,A-vitamin,,"vitamin A
Synonym: retinol",0
48,Aachen,/ɑːkeːn/,"Aachen (a city in North Rhine-Westphalia, Germany)",0
49,AB,,the blood type AB,0
50,Ab,,(Finland) Abbreviation of aktiebolag.,0
51,abakus,,abacus (a table or frame used for calculating),0
52,Abbe,/²abɛ/,"A diminutive of the male given names Abraham, Albin, or Albert.",0
53,abbedissa,,(Christianity) abbess,0
54,abborre,,"European perch, redfin perch, English perch; a fish",0
55,abborrgrund,,"a shoal, a shallow good for fishing perch",0
56,abbot,/ˈabːɔt/,an abbot,0
57,abbé,-eː,an abbot,0
58,abc-bok,,"a primer, an ABC, a hornbook",0
59,abchaziska,,Abkhaz language; the language spoken in the de facto independent province of Abkhazia in the republic of Georgia.,0
60,abderit,,"an Abderian, an Abderite, a person from Abdera, an",0
61,abderitisk,,"Abderian, Abderite; of or belonging to Abdera, abderian,",0
62,abdikation,,abdication,0
63,abdikera,,to abdicate the throne or the crown.,0
64,abdikerad,,abdicated,0
65,abdikering,,an abdication,0
66,abdominal,,abdominal,0
67,abdominalt,,absolute indefinite neuter singular of abdominal.,0
68,abdominalt,,(anatomy) abdominally,0
69,abelsk,,(mathematics) abelian,0
70,aber,,"a problem, an obstacle, a difficulty",0
71,Abessinien,,(obsolete) Abyssinia; present day Ethiopia,0
72,abessinsk,,Abyssinian,0
73,ABF,,Initialism of arbetarnas bildningsförbund (“the Workers' Educational Association (ABF)”).,0
74,abilitet,,ability (clarification of this definition is needed),0
75,abiogenes,,abiogenesis,0
76,abiturient,,"a student about to leave secondary school (gymnasium) for college or university, a secondary school graduate",0
77,ablativ,,(grammar) the grammatical case ablative,0
78,abnorm,,"abnormal, unnatural; of or pertaining to behaviour that deviates from norms",0
79,abnormitet,,an abnormity,0
80,aboensisk,/abʊˈɛnsɪsk/,(chiefly Finland) pertaining to the university of Turku,0
81,abonnemang,,"a subscription (for concerts, theatre, or telephone service)",0
82,abonnemangsavgift,,a subscription fee,0
83,abonnent,,"a subscriber (to concerts, theatre, or telephone service)",0
