ID,Form,IPA,Gloss,Language_ID
0,a,,in,0
1,'a,,the,0
2,a',,at the,0
3,a'ô,,at the,0
4,abbottare,,To fill up,0
5,abbrile,,April,0
6,abbàsce,,"under, beneath",0
7,accattare,,to buy or purchase,0
8,acchiare,,to find,0
9,accidere,,to kill,0
10,accio,,garlic,0
11,accumigghiare,,To accumulate or mount up,0
12,acidde,,bird,0
13,acqua,,water,0
14,addicriare,,To comfort or console,0
15,addà,,there,0
16,aeropuerte,,airport,0
17,agúste,,August,0
18,ajère,,yesterday,0
19,ajère,,yesterday,0
20,alcune,,some,0
21,ale,,wing (of a bird etc),0
22,alfabbète,,alphabet,0
23,alie,,olive,0
24,allotropiche,,allotropic,0
25,andare,,(intransitive) To go,0
26,anemale,,animal,0
27,anijdde,,ring,0
28,annascà,,To smell,0
29,anne,,year,0
30,annùcere,,To bring,0
31,appizzicare,,To ignite,0
32,apprime,,before,0
33,apprisse,,after,0
34,appundite,,sharp (as a knife),0
35,aqquà,,here,0
36,architetture,,architecture,0
37,armoniosamende,,"harmoniously, elegantly, gracefully",0
38,armoniose,,"harmonious, melodious",0
39,arracanare,,To roast or toast,0
40,arrevederce,,goodbye,0
41,arrevederce,,goodbye,0
42,arrète,,behind,0
43,artificiale,,artificial,0
44,artificialmende,,artificially,0
45,asciugamane,,towel,0
46,asciutte,,dry,0
47,ascuare,,"To prick, sting or bite",0
48,assaje,,many,0
49,astronomeche,,astronomical,0
50,astronomije,,astronomy,0
51,atome,,atom,0
52,atomiche,,atomic,0
53,attàne,,father,0
54,aunità,,unit,0
55,aunìone,,union,0
56,aunìte,,united,0
57,auuandare,,To grasp,0
58,avenè,,To come,0
59,avere,,"(transitive) To have, (transitive) To need",0
60,azzeccare,,to hit or strike (a target),0
61,azzettà,,To sit,0
62,bacine,,basin,0
63,barzellette,,joke,0
64,bbuène,,good,0
65,bevere,,To drink,0
66,bighino,,blind,0
67,biscrèje,,day after tomorrow,0
68,biscrèje,,day after tomorrow,0
69,biscréje,,Alternative form of biscrèje,0
70,biscréje,,Alternative form of biscrèje,0
71,bovègne,,welcome,0
72,calle,,warm,0
73,candìne,,cellar,0
74,ce,,who,0
75,ce,,if,0
76,chiene,,full,0
77,chiummo,,lead (metal),0
78,ci,,who,0
79,ciele,,sky,0
80,Ciele,,Heaven,0
81,cigghiare,,To itch,0
82,cinde,,hundred,0
83,cindesime,,hundredth,0
84,cingande,,fifty,0
85,cingandesime,,fiftieth,0
86,cinghe,,five,0
87,ciola,,dick (penis),0
88,cirche,,"about, approximately",0
89,ciucce,,donkey,0
90,cià,,hello!,0
91,code,,tail,0
92,combattere,,to fight,0
93,comblesse,,complex,0
94,corde,,rope,0
95,corrette,,correct,0
96,corte,,short,0
97,cortecce,,bark (of a tree),0
98,covalende,,covalent,0
99,crependà,,To split,0
100,crestiane,,native (of a place),0
101,crestiáne,,Alternative form of crestiane,0
102,crijatúre,,child,0
103,créje,,tomorrow,0
104,créje,,tomorrow,0
105,cu,,with,0
106,cucuacia,,owl,0
107,cufiche,,"Cufic, Kufic",0
108,cuggina,,female equivalent of cuggine (“cousin”),0
109,cuggine,,cousin,0
110,culpì,,To hit,0
111,cumme,,how,0
112,cuèdde,,neck (of the body),0
113,cápe,,head,0
114,cáse,,house,0
115,côre,,(anatomy) heart,0
116,d'u,,of the,0
117,d'â,,of the (Combination of: de + 'a),0
118,de,,of,0
119,decime,,tenth,0
120,decèmmre,,December,0
121,defferende,,different,0
122,destre,,right,0
123,deverse,,diverse,0
124,dialètte,,dialect,0
125,diamande,,diamond,0
126,diatomiche,,diatomic,0
127,dice,,ten,0
128,dicemile,,ten thousand,0
129,dicemilesime,,ten thousandth,0
130,diciaonnôve,,nineteen,0
131,diciaonnôvesime,,nineteenth,0
132,diciassettesime,,seventeenth,0
133,diciasètte,,seventeen,0
134,diciuètte,,eighteen,0
135,diciuèttesime,,eighteenth,0
136,diritte,,right,0
137,dodeciseme,,twelfth,0
138,dodicesime,,twelfth,0
139,dritte,,straight,0
140,dumèneche,,Sunday,0
141,durmè,,To sleep,0
142,dìleche,,thin,0
143,dìnde,,tooth,0
144,dò,,two,0
145,dóje,,two,0
146,elemende,,element,0
147,elettreche,,"electric, electrical",0
148,enchiere,,To fill,0
149,esembie,,example,0
150,famigghie,,family,0
151,famuse,,famous,0
152,fare,,(intransitive) To do or make,0
153,fatte,,"event, incident, happening",0
154,febbráre,,February,0
155,felosofije,,philosophy,0
156,fiure,,flower (of a plant),0
157,fogghie,,leaf,0
158,fondamentalmènde,,fundamentally,0
159,frutte,,fruit,0
160,funghe,,mushroom,0
161,fuèche,,fire,0
162,fèmmene,,woman,0
163,generalmende,,generally,0
164,genocchie,,knee,0
165,ghiacce,,ice,0
166,gialle,,yellow,0
167,gialle,,yellow,0
168,giorne,,day,0
169,gnure,,black,0
170,gnure,,black,0
171,gomite,,elbow,0
172,grafite,,graphite,0
173,gregoriane,,Gregorian,0
174,gruèsse,,thick,0
175,gruèsse,,"fat, grease",0
176,gëometrije,,geometry,0
177,ije,,I,0
178,Inghiltèrre,,England,0
179,Itaglie,,Italy,0
180,jamme,,leg (of the body),0
181,jidde,,he,0
182,jndr'â,,in the,0
183,jndr'ô,,in the,0
184,jndre,,in,0
185,jume,,river,0
186,jèdde,,she,0
187,laghe,,lake,0
188,larghe,,wide,0
189,larije,,wide,0
190,latine,,Latin,0
191,le,,the,0
192,lendiggene,,freckle,0
193,lenzuole,,sheet (for the bed),0
194,lette,,bed,0
195,letteralmènde,,literally,0
196,libbre,,book,0
197,lisse,,smooth,0
198,lore,,theirs,0
199,luglie,,July,0
200,lundane,,far,0
201,lune,,moon,0
202,Lune,,the Moon,0
203,lunedìe,,Monday,0
204,lunghe,,long,0
205,lunghe,,along,0
