ID,Form,IPA,Gloss,Language_ID
0,ఀ,,The combining candrabindu nasal vowel diacritic of the Telugu script.,0
1,ఁ,,The candrabindu nasal vowel diacritic of the Telugu script.,0
2,ం,,The anusvara diacritic of the Telugu script.,0
3,-ండు,,The archival and poetic suffix used as to denote the first case in some masculine singular nouns,0
4,-ంబు,,The archival and poetic suffix of the first case in some neuter singular nouns that end అ (a).,0
5,అ,/a/,The first letter of the Telugu alphabet.,0
6,అ,/a/,"The base of the demonstrative pronouns అతడు (ataḍu), వాడు (vāḍu), అది (adi).",0
7,అ-,,"A negative prefix becoming AN before vowels and corresponding to the privatives à, án (Gk.), in (Lat.), and un (Eng.)",0
8,అం,,A Telugu letter.,0
9,అంకం,,"Numerical figure, digit.",0
10,అంకకాడు,,One who is distinguished by a sign.,0
11,అంకగణితం,,arithmetic,0
12,అంకగణితము,,arithmetic,0
13,అంకణము,,The space between any two beams or pillars.,0
14,అంకపాళి,,embrace,0
15,అంకపాళిక,,embrace,0
16,అంకపీఠము,,lap: The upper legs of a seated person.,0
17,అంకము,,An act in a play.,0
18,అంకమ్మ,,Name of a Hindu village goddess.,0
19,అంకవిద్య,[aŋkaʋidja],(mathematics) arithmetic.,0
20,అంకాపొంకాలు,,"fierceness, fury",0
21,అంకారా,,Ankara (the capital of Turkey),0
22,అంకారించు,,to set sail.,0
23,అంకించు,,"To raise, take up, lift up.",0
24,అంకియ,,A numerical figure.,0
25,అంకుడు,,He who is marked or distinguished.,0
26,అంకురం,,Alternative form of అంకురము (aṅkuramu),0
27,అంకురము,,"A germ, a sprout, a bud.",0
28,అంకురారోహణము,,"commencement, launching, beginning or starting (of a programme).",0
29,అంకురార్పణము,,"commencement, launching, beginning or starting (of a programme).",0
30,అంకురించు,,to sprout.,0
31,అంకురింౘు,,Alternative form of అంకురించు (aṅkuriñcu),0
32,అంకుశం,,Alternative form of అంకుశము (aṅkuśamu),0
33,అంకుశము,,"an elephant-goad., (in compound words) a restrainer,",0
34,అంకుసము,,Alternative form of అంకుశము (aṅkuśamu),0
35,అంకె,,A numerical figure.,0
36,అంగం,,Alternative form of అంగము (aṅgamu),0
37,అంగజ,,daughter,0
38,అంగజాల,/ãŋɡad͡ʒaːla/,"sentinel
Synonym: అంగజాలుడు (aṅgajāluḍu)",0
39,అంగజాల,/ãŋɡad͡ʒaːla/,A  surname​.,0
40,అంగజాలవాడు,,village drudge,0
41,అంగజుడు,,"A son., Cupid.",0
42,అంగడి,,"shop, market",0
43,అంగడికాడు,,"shopkeeper, businessman",0
44,అంగడిబొమ్మ,,prostitute,0
45,అంగదుడు,,"(Hinduism) Angada, son of Vali in the Ramayana.",0
46,అంగన,,"woman., (Hinduism) name of the wife of one of the eight",0
47,అంగన్యాసము,,"Touching various parts of one's body with the hand, or with the fingers, accompanied by appropriate mantras as a religious ceremony.",0
48,అంగమర్దనం,,Alternative form of అంగమర్దనము (aṅgamardanamu),0
49,అంగమర్దనము,,Rubbing or squeezing the body.,0
50,అంగము,,"The body., A limb, organ or member of the body., A",0
51,అంగమొల,,"bare, naked, nude",0
52,అంగరక్షకుడు,,bodyguard (protectors),0
53,అంగలార్పు,,"grief, sorrow.",0
54,అంగవస్త్రం,,Alternative form of అంగవస్త్రము (aṅgavastramu),0
55,అంగవస్త్రము,,"man's vest, upper garment, or cloth.",0
56,అంగవైకల్యము,,(medicine) physical disability.,0
57,అంగారకము,,charcoal,0
58,అంగారకవారము,,Tuesday,0
59,అంగారకుఁడు,,Alternative form of అంగారకుడు (aṅgārakuḍu),0
60,అంగి,,(literary) Having a body.,0
61,అంగీ,,man's long jacket.,0
62,అంగీకరించు,,"To consent, agree, admit, approve, receive, accept.",0
63,అంగుళము,,Alternative form of అంగుళం (aṅguḷaṃ),0
64,అంగోస్త్రము,,Alternative form of అంగవస్త్రము (aṅgavastramu),0
65,అంచు,,"skirt, border of a cloth",0
66,అంజనాద్రి,,Name of one of the seven hills in Tirumala.,0
67,అంటరానివాడు,,An untouchable person.,0
68,అంటిచెట్టు,,banana tree,0
69,అంటు,,"to touch, to anoint, to smear or rub over with oil",0
70,అంటు,,"touch, uncleanness, defilement by touch, untouchability",0
71,అంటు,,"a graft, grafted branch., అంటుమామిడి చెట్టు ― aṇṭumāmiḍi",0
72,అంటుకట్టు,,To put graft of a plant.,0
73,అండ,,"nearness, closeness, behind",0
74,అండం,,Alternative form of అండము (aṇḍamu),0
75,అండకణము,,"(biology, cytology) egg cell",0
76,అండగొను,,To seek support in.,0
77,అండగోళము,,(biology) oosphere,0
78,అండజము,,"(literary) that which is born from an egg., (zoology)",0
79,అండము,,"egg., testicle., world.",0
80,అంత,,whole,0
81,అంత,,"so much
నీ వెంత అడిగితే అంత యిస్తాను.nī venta aḍigitē anta yistānu.I will give you as much as you ask.",0
82,అంత,,"then, afterwards.",0
83,అంతఃపరాన్నజీవి,,endoparasite,0
84,అంతము,,"end, termination., death, destruction.",0
85,అంతము,,handsome,0
86,అంతములేని,,endless,0
87,అంతరం,,Alternative form of అంతరము (antaramu),0
88,అంతరింౘు,,Alternative form of అంతరించు (antariñcu),0
89,అంతరిక్షము,,outer space,0
90,అంతర్గతము,,"Intermediate, internal, inner, hidden.
అంతర్గతజ్వరము ― antargatajvaramu ― internal fever.",0
91,అంతర్గర్భితము,,"internal, concealed",0
92,అంతర్జంఘిక,,"tibia - the inner and usually the larger of the two bones of the leg or hind limb below the knee, the shinbone",0
93,అంతర్జాలము,,"(formal) the Internet., (Can we date this quote?) ",0
94,అంతర్యామి,,"(literary) The indweller., The soul., The Supreme Spirit.,",0
95,అంతర్వాహిని,[antarʋaːhini],An underground river.,0
96,అంతశ్చర్మము,,(anatomy) dermis,0
97,అంతశ్శత్రువు,,A foe concealed under a friendly exterior.,0
98,అంతస్తు,,"A secret place a hiding place, a corner.",0
99,అంతిమ,,"Last, final.
అంతిమ శ్వాస ― antima śvāsa ― last breath",0
100,అంత్యజుడు,,A man of the last caste or tribe.,0
101,అంత్యము,,"Final, last, ultimate, concluding.",0
102,అంత్యేష్టి,,funeral rites according to Hindu traditions,0
103,అంత్రము,,"(anatomy) An entrail, a gut.",0
104,అందగత్తె,,beautiful female,0
105,అందగాడు,,handsome male,0
106,అందగించు,,"To be adorned, to be pretty, to look well.",0
107,అందగింపు,,"adorning, ornamenting, beauty.",0
108,అందము,,beauty,0
109,అందరు,,"all persons, everyone, everybody, కలిగిన వారికి అందరూ",0
110,అందఱు,,Alternative form of అందరు (andaru),0
111,అందలము,,"A palanquin.
అందరూ అందలము యెక్కితే, మోశేవారు యెవరుandarū andalamu yekkitē, mōśēvāru yevaruIf all get into the palankin, who will be the bearers?",0
112,అందహీనము,,"Ugly, deformed.",0
113,అందాక,,"Thus far, so far, so long, till then.",0
114,అందాజు,,"estimate, valuation",0
115,అందించు,,"(transitive) To give, hand over, to enable, to get.",0
116,అందు,,(transitive) to reach,0
117,అందు,,there,0
118,అందు,,"(the locative or seventh case ending.) in, within, on, upon.",0
119,అందుకొను,,"(transitive) to reach at, get at",0
120,అందుపాటు,,nearness,0
121,అందుపాటు,,near,0
122,అందె,,"anklet: A foot trinket of silver, filled with small pebbles in order to sound and worn by women on their ankles.",0
123,అంధకారం,,Alternative form of అంధకారము (andhakāramu),0
124,అంధకారము,,darkness,0
125,అంధము,,darkness,0
126,అంధము,,blind,0
127,అంధురాలు,,A blind woman.,0
128,అంధ్రము,,Alternative form of ఆంధ్రము (āndhramu),0
129,అంబరకేశుఁడు,,Alternative form of అంబరకేశుడు (ambarakēśuḍu),0
130,అంబరమణి,,the sun.,0
131,అంబరము,,"The sky., Cloth woven of cotton., Clothing, apparel.,",0
132,అంబరీషము,[ambariːʂamu],"A fire pot, a portable stove.",0
133,అంబరు,,ambergris,0
134,అంబలి,,porridge,0
135,అంబా,,The characteristic lowing of cows and calves.,0
136,అంబాలా,,"Ambala (a city in Haryana, India)",0
137,అంబాళము,,"The hog plum (Spondias pinnata, syn. Spondias mangifera), the fruit resembling the mango.",0
138,అంబిక,,"(Hinduism) A name of Parvati, wife of Shiva.",0
139,అంబు,,"An arrow, a dart.",0
140,అంబులపొది,,quiver of arrows.,0
141,అంబువు,,water,0
142,అంభోధి,,sea,0
143,అంభోనిధి,,sea,0
144,అంశం,,Alternative form of అంశము (aṃśamu),0
145,అంశచక్రము,,(astronomy) a nativity circle showing the respective,0
146,అంశపురుషుఁడు,,Alternative form of అంశపురుషుడు (aṃśapuruṣuḍu),0
147,అంశపురుషుడు,,a man with good fortune.,0
148,అంశము,,"A share, part, portion, a fraction; the denominator",0
149,అంసఫలకము,,The shoulder blade or scapula,0
150,అంసము,,"Shoulder: The joint between the arm and the torso, sometimes including the surrounding area.",0
151,అః,,A Telugu letter.,0
152,అకం,,Alternative form of అకము (akamu),0
153,అకంపితము,,unshaken,0
154,అకము,,"Ache, pain, affliction.",0
155,అకరణము,,not doing.,0
156,అకర్మకం,,Alternative form of అకర్మకము (akarmakamu),0
157,అకర్మకక్రియ,,(grammar) An intransitive verb.,0
158,అకర్మకము,,intransitive,0
159,అకర్మకము,,(grammar) A intransitive verb.,0
160,అకర్మక్రియ,,(grammar) intransitive verb.,0
161,అకర్మము,,absence of work.,0
162,అకలుషము,,"Stainless, sinless, unspotted.",0
163,అకల్పితము,,"not artificial, not contrived, natural.",0
164,అకస్మాత్తుగా,,suddenly - in a sudden manner.,0
165,అకాంక్షితము,,"undesired, unwanted",0
166,అకారం,,Alternative form of అకారము (akāramu),0
167,అకారణము,,causeless,0
168,అకారణము,,absence of a cause.,0
169,అకారణముగా,,"without a reason., అతడిని అకారణముగా పనినుండి తొలగించారు.ataḍini",0
170,అకారము,,The Name of the Telugu letter అ (a).,0
171,అకార్యము,,improper,0
172,అకార్యము,,An evil deed.,0
173,అకాలము,,untimeliness,0
174,అకాలము,,"untimely, అకాలమృత్యువు ― akālamr̥tyuvu ― An untimely",0
175,అకుంఠితము,,"Not blunted, uncurved, unbent.",0
