ID,Form,IPA,Gloss,Language_ID
0,-,,Visual rendering of Morse code for ฏ.,0
1,--,,Visual rendering of Morse code for ม.,0
2,---,,Visual rendering of Morse code for โ.,0
3,----,,Visual rendering of Morse code for ฉ.,0
4,---.,,Visual rendering of Morse code for ◌ู.,0
5,---..,,Visual rendering of Morse code for 8.,0
6,--.,,Visual rendering of Morse code for ก.,0
7,--.-,,Visual rendering of Morse code for ผ.,0
8,--.--,,Visual rendering of Morse code for ฮ.,0
9,--..,,Visual rendering of Morse code for ซ.,0
10,--..-,,Visual rendering of Morse code for ◌์.,0
11,--...,,Visual rendering of Morse code for 7.,0
12,-.,,Visual rendering of Morse code for ณ.,0
13,-.-,,Visual rendering of Morse code for ค.,0
14,-.--,,Visual rendering of Morse code for ย.,0
15,-.--.,,Visual rendering of Morse code for ง.,0
16,-.-.,,Visual rendering of Morse code for ข.,0
17,-.-.-,,Visual rendering of Morse code for ฝ.,0
18,-.-..,,Visual rendering of Morse code for ฐ.,0
19,-..,,Visual rendering of Morse code for ฎ.,0
20,-..-,,Visual rendering of Morse code for ช.,0
21,-..--,,Visual rendering of Morse code for ฑ.,0
22,-..-.,,Visual rendering of Morse code for จ.,0
23,-...,,Visual rendering of Morse code for บ.,0
24,-...-,,Visual rendering of Morse code for อ.,0
25,.-,,Visual rendering of Morse code for า.,0
26,.--,,Visual rendering of Morse code for ว.,0
27,.---,,Visual rendering of Morse code for ญ.,0
28,.--.,,Visual rendering of Morse code for ป.,0
29,.--.-,,Visual rendering of Morse code for ◌ั.,0
30,.--..,,Visual rendering of Morse code for พ.,0
31,.-.,,Visual rendering of Morse code for ร.,0
32,.-.-,,Visual rendering of Morse code for แ.,0
33,.-.--,,Visual rendering of Morse code for ฤ.,0
34,.-.-.,,Visual rendering of Morse code for +.,0
35,.-..,,Visual rendering of Morse code for ล.,0
36,.-..-,,Visual rendering of Morse code for ใ.,0
37,.-...,,Visual rendering of Morse code for ะ.,0
38,..-,,Visual rendering of Morse code for ◌่.,0
39,..--,,Visual rendering of Morse code for ◌ื.,0
40,..--.,,Visual rendering of Morse code for ◌ึ.,0
41,..-.,,Visual rendering of Morse code for ฟ.,0
42,..-.-,,Visual rendering of Morse code for ◌ุ.,0
43,..-..,,Visual rendering of Morse code for ◌ิ.,0
44,...,,Visual rendering of Morse code for ศ.,0
45,...-,,Visual rendering of Morse code for ◌้.,0
46,...-.,,Visual rendering of Morse code for ำ.,0
47,....,,Visual rendering of Morse code for ห.,0
48,555,,(Internet slang) LOL,0
49,ก,,"gɔɔ gài (ก ไก่), the first consonant letter of the Thai alphabet",0
50,ก.,,Initialism of กรัม (gram).,0
51,ก็,,"used to indicate a consequence or result: so, thus,",0
52,ก็,,used just for linking words or for starting or emphasising,0
53,กก,,reed (plant).,0
54,ก๊ก,,"(rare) polity, as state, city-state, region, country,",0
