ID,Form,IPA,Gloss,Language_ID
0,กายู,/kaju/,"wood, plant",0
1,กูกู,/kuku/,"nail, claw",0
2,ซาลัฮ,/salah/,fault,0
3,ซาลัฮ,/salah/,"wrong, at fault",0
4,ซือมัฮ,/səmah/,(Phuket Old People) to worship,0
5,ฌางัน,/ɟaŋan/,"(Phuket Old People, Adang) do not (negative auxiliary)",0
6,ฌางัน,/ɟaŋan/,with,0
7,ฌางัน,/ɟaŋan/,with,0
8,ฌาลัด,/ɟalat/,"road, path, way",0
9,ฌาลัด,/ɟalat/,"(intransitive) to walk, (intransitive) to travel",0
10,ญาวา,/ɲawa/,"body, self, soul",0
11,ดาลับ,/dalap/,deep,0
12,ดาลับ,/dalap/,"in, inside",0
13,ตานัฮ,/tanah/,ground; dirt,0
14,ตาปิฮ,/tapih/,"to winnow, to toss, to bounce",0
15,ตาฮู,/tahu/,to know,0
16,ตือลีงา,/tliŋa/,"(anatomy, Sangka-u, Adang) ear (organ of hearing)",0
17,ตูลี,/tuli/,deaf (not hearing),0
18,บรานี,/brani/,"brave, bold",0
19,บรี,/bri/,"to give, to let, to allow",0
20,บาฮายา,/bahaja/,(Phuket Old People) crocodile,0
21,ปาดัก,/padak/,field,0
22,ปารัก,/parak/,"jungle knife, scythe",0
23,ปารี,/pari/,stingray,0
24,ปาฮัจ,,chisel,0
25,ปาฮาฆิ,/pahaɡiʔ/,"to share, to divide, to give",0
26,ปีเลฮ,,to choose; to select,0
27,ปือญู,/pəɲu/,"(Sangka-u, Adang) sea turtle (any turtle that inhabits",0
28,ปูโฮด,/puhot/,tree,0
29,โปรจ,/proc/,"stomach, abdomen",0
30,มาตา,/mata/,eye (organ),0
31,มีญะ,/miɲaʔ/,oil,0
32,มือนาแงฮ,/mɨnaŋɛh/,"(intransitive, Phuket Old People) to cry (to weep)",0
33,มูคา,/mukʰa/,(anatomy) face,0
34,ลายัยํ,/lajal/,(Phuket Old People) sail (a piece of fabric attached,0
35,ลาโวจ,/lawoc/,sea,0
36,อาซู,/ʔasu/,dog (animal),0
37,อาดา,/ʔada/,"to exist, to possess, to own",0
38,อีกัด,/ʔikat/,fish (vertebrate animal),0
39,อูรัก,/ʔurak/,"man, person, people",0
40,อูรัจ,/ʔurac/,"veins, sinew, thread, strength",0
41,ฮาตะ,/hadaʔ/,to reach,0
42,ฮาตู,/hatu/,"ghost (spirit of the dead), corpse",0
43,ฮายับ,/hajap/,fowl (bird),0
44,ฮีโดะ,/hidoʔ/,life,0
45,ฮีโดะ,/hidoʔ/,to be alive,0
46,ฮูตัด,/hutat/,forest (dense collection of trees),0
47,ฮูตัด,/hutat/,"(in compound) wild (not domesticated or tamed), Synonym:",0
48,ฮูรัก,/hurak/,prawn; shrimp; crayfish; lobster,0
