ID,Form,IPA,Gloss,Language_ID
0,aa,,The name of the Latin-script letter A.,0
1,aadom',,atom,0
2,aadomisäsü,,atomic nucleus,0
3,aasta,,Alternative form of aastak,0
4,aastak,,year,0
5,abi,,"help, aid, assistance",0
6,adõr,,plough,0
7,ago,,twilight,0
8,ahhun',,perch (fish),0
9,ahi,,oven,0
10,aid,,garden,0
11,aig,,"time, (grammar) tense",0
12,ajama,,to drive,0
13,Albaania,,Albania (a country in Europe),0
14,alomanõ,,"lower, bottom",0
15,alonõ,,"(in compounds) below, sub-",0
16,alumiinium,,aluminium,0
17,Alžeeriä,,Algeria (a country in Africa),0
18,andma,,to give,0
19,armas,,Alternative form of armsa,0
20,Armeeniä,,Armenia (a country in Europe and Asia),0
21,armsa,,"dear, beloved",0
22,asi,,"matter, thing, subject, toy, plaything",0
23,astma,,"to step, to walk",0
24,asõq,,"place, spot, bed, bedstead, print, track",0
25,Asõrbaidžaan,,Azerbaijan (a country in Europe and Asia),0
26,atom',,Alternative form of aadom',0
27,avitama,,to help,0
28,bee,,The name of the Latin-script letter B.,0
29,Belgiä,,Belgium (a country in Europe),0
30,Bosnia,,Bosnia,0
31,dee,,The name of the Latin-script letter D.,0
32,edimäne,,first,0
33,ee,,The name of the Latin-script letter E.,0
34,Eesti,,Estonia,0
35,eff,,The name of the Latin-script letter F.,0
36,Egüptüs,,Egypt,0
37,ehitüs,,"construction, (act of) building, architecture",0
38,elevandiluu,,ivory,0
39,Elevandiluurand,,Côte d'Ivoire,0
40,elevant',,elephant,0
41,ell,,The name of the Latin-script letter L.,0
42,elläi,,animal,0
43,elolinõ,,organism,0
44,elämä,,to live,0
45,emm,,The name of the Latin-script letter M.,0
46,enn,,The name of the Latin-script letter N.,0
47,entsüklopeediä,,encyclopedia,0
48,err,,The name of the Latin-script letter R.,0
49,ess,,The name of the Latin-script letter S.,0
50,esä,,father,0
51,Filipiiniq,,Philippines,0
52,füüsiga,,physics,0
53,gee,,The name of the Latin-script letter G.,0
54,haa,,The name of the Latin-script letter H.,0
55,haav,,aspen,0
56,hain,,"hay, weed, grass",0
57,hainakuu,,July,0
58,hammas,,tooth,0
59,hans'a,,"hooch, moonshine",0
60,hapu,,sour,0
61,haug',,pike (fish),0
62,helm',,bead (small round object),0
63,Helsinki,,Helsinki (the capital city of Finland),0
64,heng',,"spirit, soul",0
65,herneh,,pea,0
66,Hertsegoviina,,Herzegovina,0
67,higi,,sweat,0
68,hiir',,"mouse, computer mouse",0
69,hius,,"(single) hair, strand of hair",0
70,hoonõh,,building,0
71,hopõn',,horse,0
72,Hummogu-Timor,,East Timor,0
73,häbü,,"shame, dishonour, embarrassment",0
74,hää,,Alternative form of hüvä,0
75,hõpõ,,silver,0
76,hõrak,,(clarification of this definition is needed) some kind,0
77,hüdsi,,"coal, charcoal, carbon",0
78,hüvä,,good,0
79,hüä,,Alternative form of hüvä,0
80,igä,,age,0
81,iho,,body,0
82,ii,,The name of the Latin-script letter I.,0
83,iispäiv,,Monday,0
84,ikim,,gum (part of mouth),0
85,iks,,The name of the Latin-script letter X.,0
86,ilm,,"weather, climate, world, universe",0
