ID,Form,IPA,Gloss,Language_ID
0,achikatli,,first son.,0
1,aitochi,,Armadillo.,0
2,ajakatl,,wind,0
3,akamayi,,acamaya,0
4,akatsana,,Thrush.,0
5,aketspali,,"alligator, caiman, crocodile.",0
6,akoatl,,Water snake.,0
7,akuakuajtli,,big toad.,0
8,Alemania,,Germany (a country in Europe),0
9,altepetl,,city.,0
10,apatox,,goose.,0
11,apaxkoatl,,palm tree snake.,0
12,apipiyalotl,,dragonfly,0
13,apismiki,,to die of starvation.,0
14,apole,/a.po.lɛ̃/,capulin (fruit),0
15,apoletik,/a.po.lɛ̃.tik/,purple,0
16,atl,,water.,0
17,atoli,,atole.,0
18,atotoli,,pelican.,0
19,atototl,,Heron.,0
20,auakatl,/aːwakatɬ/,avocado.,0
21,axili,,"Salamander, lizard.",0
22,axkaneli,,ant.,0
23,axolotl,/aːʃoːloːtɬ/,axolotl,0
24,ayotl,,turtle.,0
25,chacha,/tʃatʃa/,pitahaya,0
26,chachapali,,"pot, kettle, stew.",0
27,chajchokotl,,guava.,0
28,chajma,,King vulture.,0
29,chakali,,prawn.,0
30,chalchokokuauitl,,guava tree.,0
31,chalchokotl,,guava.,0
32,chalxokotl,,guava (fruit),0
33,chapoli,,grasshopper.,0
34,chichi,,dog,0
35,chikojtsapotl,,sapodilla.,0
36,chinanko,,Village.,0
37,chokolatl,,Chocolate.,0
38,echkuauitl,,piñon.,0
39,Egipto,,Egypt (a country in Africa),0
40,estli,[ˈes.tɬi],blood.,0
41,etamali,,bean tamale.,0
42,exotl,[ˈe.ʃoːtɬ],green beans.,0
43,Guatemala,,Guatemala (a country in Central America),0
44,ichkatl,,cotton.,0
45,ichkatlapiali,,sheep.,0
46,ikpali,,chair.,0
47,iluikatl,,sky,0
48,kakalotl,,crow.,0
49,kastiyatlajtoli,,Spanish language.,0
50,kastiyatlakatl,,"Spanish, Spaniard.",0
51,koatl,,snake.,0
52,kocho,,parrot.,0
53,kuajtli,,eagle.,0
54,kuamekaxokotl,,grapes,0
55,kuamojmojtli,,Owl.,0
56,kuapitso,,Wild boar.,0
57,kuatochi,,Rabbit.,0
58,kuaxilotl,,banana.,0
59,kuejkuech,,rattlesnake,0
60,kuika,,to sing.,0
61,kuitlatl,,shit.,0
62,lalax,/lalaːʃ/,Orange.,0
63,lalaxatl,,Orange juice.,0
64,lalaxtik,,orange.,0
65,lechi,,milk,0
66,lemo,,lemon.,0
67,lemon,,lemon.,0
68,Malaui,,Malawi (a country in Africa),0
69,mantsana,,apple.,0
70,mapachi,,raccoon.,0
71,masakoatl,,mazacuata.,0
72,masatl,/ˈma.saːtɬ/,deer,0
73,matsajtli,/matsaʔtɬi/,pineapple.,0
74,mejpaltlajka,,prickly pear.,0
75,mexikatl,,"Mexican, Nahuan people.",0
76,Mexko,,Mexico.,0
77,Mexkoaltepetl,,Mexico City.,0
78,michi,,fish.,0
79,michtekuajketl,,Shark.,0
80,mistli,/mistɬi/,(Matlapa): puma,0
81,mixtli,,cloud.,0
82,nauatlajtoli,,"Nahuatl language, Aztec language, Mexican language.",0
83,nauatlakatl,,Nahua people.,0
84,nejpali,,"prickly pear, Indian fig tree (Opuntia).",0
85,ochonijtli,,papaya,0
86,ojtli,,"way, path.",0
87,okotl,,pine.,0
88,palach,/ˈpa.lat͡ʃ/,turkey.,0
89,papaya,,papaya.,0
90,patox,,duck.,0
91,pionakatl,,chicken meat.,0
92,pitso,,Pig.,0
93,Portugal,,Portugal (a country in Europe),0
94,sintli,,corncob,0
95,siuatl,,woman,0
96,soli,,Quail.,0
97,tekolotl,/teˈkoloːtɬ/,(Tamazunchale): owl,0
98,tekuajketl,,Jaguar.,0
99,tepetl,/ˈtepeːtɬ/,mountain.,0
100,teposakali,,"vessel, boat, ship.",0
101,texokotl,,tejocote.,0
102,tiona,,god mother.,0
103,tiopan,,temple.,0
104,tiota,,god father.,0
105,tlali,,land.,0
106,tlapiali,,animal.,0
107,Tokio,,Tokyo (the capital city of Japan),0
108,tonati,/toːˈna.ti/,sun,0
109,tototl,/toːtoːtɬ/,bird,0
110,tsapotl,,zapote,0
111,tsikatena,,coralillo snake.,0
112,tsikatl,,ant.,0
113,tsitsitl,,ant.,0
114,Tunisia,,Tunisia (a country in Africa),0
115,ualeya,,Watermelon.,0
116,uejpol,,sister-in-low.,0
117,ueyatl,[ˈweː.jaːtɬ],sea.,0
118,ueyaxili,,"alligator, caiman.",0
119,ueyinana,,grand mother.,0
120,ueyitata,,grand father.,0
121,ueyxili,,shell.,0
122,uilotl,,Dove.,0
123,umomojtli,,Owl.,0
124,xali,,sand.,0
125,xikojtli,,bumblebee.,0
126,xili,,Snail.,0
127,xiuitl,,year.,0
128,xixtli,,barn owl.,0
129,xochitl,/ʃoːtʃitɬ/,flower.,0
130,xokotl,,plum,0
131,xokoyotl,,last son.,0
132,yolotl,,heart,0
133,yoyomitl,,"clothing, cloth.",0
