ID,Form,IPA,Gloss,Language_ID
0,ʼงา-แอ,/ˀŋaɛ̯/,eye.,0
1,เʼงียง,/ˀŋia̯ŋ/,short (distance).,0
2,ʼญือ,/ˀɲɨ/,to warm oneself near fire.,0
3,เʼญียะ,/ˀɲia̯ʔ/,few; little (amount).,0
4,เʼนะ,/ˀneʔ/,a kind of hat.,0
5,ʼมอ-อีญ,/ˀmɔi̯ɲ/,to be unsatiated (after meal).,0
6,ʼมอ-แอ,/ˀmɔɛ̯/,axe.,0
7,ʼมา,/ˀma/,rice field (on a hill).,0
8,ʼมา-อุก,/ˀmau̯k/,to cough.,0
9,เʼมอ-อึก,/ˀməɨ̯k/,mortar (vessel).,0
10,โʼมก,/ˀmok/,tobacco pipe.,0
11,ʼยวง,/ˀjua̯ŋ/,village.,0
12,ʼรฺอง,/ˀɣɔŋ/,post; pole.,0
13,เʼรฺอ-อูง,/ˀɣəu̯ŋ/,horn (of an animal).,0
14,ʼลัง,/ˀlaŋ/,long (distance).,0
15,ʼลา-แอ,/ˀlaɛ̯/,squirrel.,0
16,กยัก,/kjak/,water buffalo.,0
17,กวน,/kua̯n/,child (descendant).,0
18,กะ,/kaʔ/,fish.,0
19,กัก,/kak/,branch.,0
20,กัด,/kat/,thorn.,0
21,กา,/ka/,to roast; to grill.,0
22,กา-ออ,/kaɔ̯/,ten.,0
23,กา-ออก,/kaɔ̯k/,olive.,0
24,กา-อือ,/kaɨ̯/,wind.,0
25,กิฮ,/kih/,salt.,0
26,เก-โอ,/keo̯/,to relate; to concern.,0
27,แก-ออ,/kɛɔ̯/,glass (material).,0
28,โกลง,/kloŋ/,brook.,0
29,คยา-แอ,/kʰjaɛ̯/,gold.,0
30,คิฮ,/kʰih/,salt.,0
31,เครอ-อืง,/kʰrəɨ̯ŋ/,clothing.,0
32,เคลือก,/kʰlɨa̯k/,to lick.,0
33,เคอ-อิ,/kʰəi̯ʔ/,firewood.,0
34,เคอ-อิ,/kʰəi̯ʔ/,moon.,0
35,เคอ-อิ,/kʰəi̯ʔ/,moon.,0
36,เคิง,/kʰəŋ/,to stretch; to pull tight.,0
37,แคะ,/kʰɛʔ/,timid; timorous; chicken-hearted.,0
38,โคะ,/kʰoʔ/,tree.,0
39,ฆ̱ยา-แอฮ,/ᵑɡjaɛ̯h/,porch.,0
40,ฆ̱รือ,/ᵑɡrɨ/,chicken cage.,0
41,ฆ̱รือ,/ᵑɡrɨ/,to beat (drum).,0
42,ฆ̱ลา-อีญ,/ᵑɡlai̯ɲ/,cowbell.,0
43,ฆ̱า-อืฮ,/ᵑɡaɨh/,hedgehog; porcupine.,0
44,ฆ̱ิ,/ᵑɡiʔ/,pine (tree).,0
45,ฆ̱ึ,/ᵑɡɨʔ/,to price up; to bid.,0
46,โฆ̱-อี,/ᵑɡoi̯/,silent; quiet.,0
47,งอ,/ŋɔ/,fire.,0
48,จัก,/cak/,deer.,0
49,ชิฮ,/cʰih/,rotten; decayed.,0
50,เชือม,/cʰɨa̯m/,dish; plate.,0
51,ซัง,/saŋ/,elephant.,0
52,ซา-อึด,/saɨ̯t/,to attach; to insert (e.g. knife) aside body.,0
53,เซอ,/sə/,will; would.,0
54,เซอ-อูม,/səu̯m/,to transplant (rice seedling) into ricefield.,0
55,เซาะ,/sɔʔ/,dog.,0
56,โซม,/som/,to eat (rice).,0
57,ฌ̱า-อีม,/ᶮɟai̯m/,ring (ornament).,0
