ID,Form,IPA,Gloss,Language_ID
0,achamp,,emu,0
1,chaapara,,blood,0
2,chicharakang,,"willie wagtail, Rhipidura leucophrys",0
3,kaal,,mother's younger brother; uncle,0
4,kaal-amp,,father-in-law or prospective father-in-law,0
5,kaaʼuuyan,,nostril,0
6,kaka,,"excrement, faeces, shit",0
7,kal,,rat,0
8,kemwayyow,,"mother's mother, maternal grandmother",0
9,koonh,,teeth,0
10,kun,,"excrement, faeces, shit",0
11,man,,neck,0
12,ngaat,,spider,0
13,ngak,,water,0
14,nhint,,"you, second-person singular, nominative; thou",0
15,oopal,,"tern, seagull",0
16,panch,,bird,0
17,piny,,father's elder sister,0
18,pinyayng,,the child of one of one's parents' younger brothers,0
19,puuliyang,,father's son's child,0
20,puulwuut,,"father's father, paternal grandfather",0
21,thaypan,,Rainbow Serpent,0
22,thepalang,,"(archaic) wedge-tailed eagle, Aquila audax",0
23,tiin-tiin,,"peewee, Grallina cyanoleuca",0
24,wewm,,blood,0
