ID,Form,IPA,Gloss,Language_ID
0,א,,"The first letter in the Yiddish alphabet, shtumer alef (precedes ו‎ or י‎ to indicate a word-initial vowel)",0
1,א.א.ז.וו.,,Abbreviation of און אַזוי ווײַטער‎ (un azoy vayter).,0
2,א.ד.ג.,,Abbreviation of און דאָס גלײַכן‎ (un dos glaykhn).,0
3,אַ,[a],"a, an",0
4,אָ,,"The letter א‎ with a kamatz, called קמץ־אַלף‎ (komets-alef)",0
5,אָ,,oh!,0
6,אָב,,"off, away, from",0
7,אָב,,(nonstandard) Unpointed form of אָבֿ‎ (ov).,0
8,אָב,,(nonstandard) Unpointed form of אָבֿ‎ (ov).,0
9,אָבֿ,/ɔv/,"ancestor, patriarch",0
10,אָבֿ,/ɔv/,"Av, the eleventh month of the civil year and the fifth",0
11,אָבֿ,/ɔv/,"Av, the eleventh month of the civil year and the fifth",0
12,אָבֿינו,,our father (usually follows the name of a patriarch),0
13,אַבֿרהם,,"Abraham (Biblical character), A male given name from",0
14,אַבאַזשור,/ˌa.ba.ˈʒur/,lampshade,0
15,אַבאָנירן,,to subscribe (sign up to receive a publication),0
16,אַבדאַללאַ,,Abdullah (Muslim given name),0
17,אַבי,/aˈbi/,"as long as, if only, no matter (if), ‏אַבי געזונט‎abi",0
18,אָבלאַסט,,"oblast (a region or province), Synonym: געגנט‎ (gegnt)",0
19,אַבסטראַקט,,abstract,0
20,אָבסידיאַן,,obsidian,0
21,אַבסינט,,absinthe (liqueur),0
22,אַבסינטה,,Obsolete spelling of אַבסינט‎ (absint),0
23,אָבער,,"but, however",0
24,אַבראַמאָוויטש,,A  surname: Abramovitch,0
25,אַגענט,/aˈɡɛnt/,"agent, operative",0
26,אָגער,/ˈɔ.ɡɜr/,"stallion (uncastrated male horse), Hypernym: פֿערד‎",0
27,אַגרעס,/ˈa.ɡrəs/,"gooseberry (plant of the genus Ribes), gooseberry (the",0
28,אַדאַפּטירן,,to adapt,0
29,אַדאַפּטירער,,adapter,0
30,אַדוואָקאַט,/ad.vɔˈkat/,"lawyer, attorney",0
31,אַדווערב,/adˈvɛrb/,(grammar) adverb,0
32,אַדורך,/aˈdʊʁχ/,through,0
33,אַדורכן,,"to look through, browse",0
34,אַדיע,,adieu (farewell),0
35,אַדיעקטיוו,/a.djɜkˈtɪv/,(grammar) adjective,0
36,אַדיעקטיוויש,,adjectival (functioning as an adjective),0
37,אַדל,/ˈa.dl̩/,nobility,0
38,אַדלער,,A  surname: Adler,0
39,אָדלער,/ˈɔdɫəʁ/,eagle (bird),0
40,אָדם,/ˈɔ.dəm/,Adam,0
41,אַדמיניסטראַציע,/admɪnɪsˈtʁat͡sjə/,"administration, management",0
42,אַדעס,,Alternative form of אָדעס‎ (odes),0
43,אָדעס,,Odessa (an oblast of Ukraine),0
44,אָדער,,"or, ‏אָדער...אָדער...‎‎ ― oder...oder... ― either...or...",0
45,אָדער,,"(anatomy) vein, blood vessel",0
46,אָדער,,"(anatomy) vein, blood vessel",0
47,אָדערל,,"Diminutive of אָדער‎ (oder), (anatomy) capillary",0
48,אָדר,,Adar (month),0
49,אַדרבא,/ˈadərabə/,"on the contrary, by all means, be my guest",0
50,אַדרעס,/ˈa.drɛs/,address (direction for letters),0
51,אַדרעס,/ˈa.drɛs/,"address (speech, discourse)",0
52,אָהאַיאָ,,Alternative spelling of אָהײַאָ‎ (ohayo),0
53,אַהיים,/aˈhɛɪ̯m/,homeward,0
54,אַהיימגיין,/aˈhɛɪ̯mɡɛɪ̯n/,go home,0
55,אַהיימלויפֿן,/aˈhɛɪ̯mɫɔɪ̯fn̩/,to run home,0
56,אַהין,/aˈhɪn/,"thither, to there",0
57,אָהן,,Obsolete spelling of אָן‎ (on),0
58,אַהער,,"hither, to here",0
59,אַהערקומען,/aˈhɛʁkʊmən/,to come here,0
60,אָהײַאָ,,Ohio,0
61,אָוואַ,,"(often used sarcastically) An indication of excitement, surprise, astonishment, or pleasure.",0
62,אַוודאי,,"of course, certainly, definitely",0
63,אַווטאָגראַף,,autograph,0
64,אַווטאָר,,(Daytshmerish) Alternative form of אויטאָר‎ (oytor),0
65,אָוונט,/ɔvn̩t/,evening,0
66,אָוונטשטערן,,evening star (planet Venus seen in the evening),0
67,אַוועק,/əˈvɛk/,"away, ‏גיי אַוועק!‎‎ ― gey avek! ― Go away!",0
68,אַוועק־,,"A verbal complement, usually meaning away.",0
69,אַז,,"as, when, if, that",0
70,אַזאַ,/aˈza/,such a; this kind of a,0
71,אַזאָט,,nitrogen (chemical element),0
72,אַזאַן,/aˈzan/,such a; this kind of a,0
73,אַזבוקע,,Cyrillic alphabet,0
74,אַזוי,,"so, thus",0
75,אַזוי,,"Really?, Is that so?",0
76,אַזיאַטיש,,Asian,0
77,אַזייגער,,Alternative spelling of אַ זייגער‎ (a zeyger),0
78,אַזיע,[ˈazjə],Asia,0
79,אַזעלכע,/aˈzɛɫχə/,such; this kind of,0
80,אַזערבײַדזשאַן,,Azerbaijan (a country in Europe and Asia),0
81,אָזערע,,"lake, Synonym: סאַזשלקע‎ (sazhlke)",0
82,אַזש,,"(colloquial) as many as, as much as, all the way to,",0
83,אָזשענע,/ˈɔʒənə/,blackberry,0
84,אַחוץ,,except (with the exception of),0
85,אַחרון,,last,0
86,אַחרון,,"(Judaism) One of the Acharonim, modern sages of Jewish",0
87,אַחריות,,responsibility,0
88,אָט,,"here, there (used to refer to a direction being pointed",0
89,אַטאָם,,(physics) atom,0
90,אַטאָמיש,,"(physics, chemistry) atomic, atomic (of or relating",0
91,אַטאַק,,Alternative form of אַטאַקע‎ (atake),0
92,אַטאַקע,,attack (attempt to cause damage or injury),0
93,אַטלאַנטיש,,Atlantic,0
94,אַטמאָספֿער,/atmɔsˈfɛʁ/,atmosphere (gases surrounding the Earth),0
95,אַטמאָספֿערע,,Alternative form of אַטמאָספֿער‎ (atmosfer),0
96,אַטעיִזם,,atheism,0
97,אַטעיִסט,,atheist,0
98,אָטעם,,breath,0
99,אָטעמען,,to breathe,0
100,אָטעמען,,plural of אָטעם‎ (otem),0
101,אַך,,oh! (expression of surprise or realization),0
102,אַכט,/aχt/,eight,0
103,אַכט,/aχt/,eighth,0
104,אַכט,/aχt/,eighth,0
105,אַכטל,,eighth (one of eight parts equal to a whole),0
106,אַכטנס,,eighthly,0
107,אַכציק,,eighty,0
108,אַכציקסט,,eightieth,0
109,אַכציקסטל,,eightieth (one of eighty parts equal to a whole),0
110,אַכצן,,eighteen,0
111,אַכצנט,,eighteenth,0
112,אַכצנטל,,eighteenth (one of eighteen parts equal to a whole),0
113,אַלאַבאַמאַ,,Alabama (a state of the United States),0
114,אַלאַסקאַ,,Alaska (a state of the United States),0
115,אַלאַסקע,,Alternative form of אַלאַסקאַ‎ (alaska),0
116,אַלבאָם,,album,0
117,אַלבאַניע,,Albania (a country in Europe),0
118,אַלגעברע,,algebra (system for computation),0
119,אַלגעריע,,(rare) Algeria (a country in Africa),0
120,אַלהיילער,,"(medicine) cure-all, allheal (plant), panacea",0
121,אַלומיניום,,aluminium (silvery metal),0
122,אַלזשיר,,Algeria (a country in North Africa),0
123,אַלט,/aɫt/,"old, Antonym: יונג‎ (yung)",0
124,אַלטדײַטש,,Old High German (language),0
125,אַלטדײַטש,,"medieval German, Old High German (attributive)",0
126,אַלטהויכדײַטש,,Old High German (language),0
127,אַלטער,,"inflection of אַלט‎ (alt):
nominative masculine singular
dative feminine singular",0
128,אַלטער,,An old man.,0
129,אַלטערנאַטיוו,,an alternative,0
130,אַליגאַטאָר,,alligator (large amphibious reptile of genus Alligator),0
131,אָליוו,/ɔˈʎɪv/,"olive (fruit), Synonyms: מאַסלינע‎‎ (masline‎), איילבערט‎‎",0
132,אַליין,,(predicative only) alone,0
133,אַלמנה,,widow,0
134,אַלמער,,closet (furniture),0
135,אָלמערט,,"A  surname, borne by Ehud Olmert.",0
136,אַלס,,"(nonstandard, Daytshmerish) as; like; in the function",0
137,אַלע,/ˈaɫə/,all,0
138,אַלעס,,"(dialectal, Poylish) Alternative form of אַלץ‎ (alts) (everything)",0
139,אַלעע,,"alley, Synonyms: געסל‎ (gesl), הינטערגעסל‎ (hintergesl),",0
140,אַלערגיע,,allergy (disorder of the immune system),0
141,אַלף,,"aleph (first letter of the Hebrew script), Hyponyms:",0
142,אַלף־בית,,"alphabet, especially the Hebrew alphabet",0
143,אַלפֿאַבעט,,alphabet,0
144,אַלפֿאַבעטיש,,alphabetic; in (non-Hebrew) alphabetical order,0
145,אַלפֿאַרבאַנדיש,,(Soviet Union) union-wide (covering or encompassing,0
146,אַלץ,,"everything, Synonym: אַלצדינג‎ (altsding)",0
147,אַלצדינג,,everything,0
148,אַלקאָהאָל,,alcohol (intoxicating beverage),0
149,אַלקאָהאָליזם,,alcoholism,0
150,אַם,,wet nurse,0
151,אַמאָל,,Alternative spelling of אַ מאָל‎ (a mol),0
152,אַמבּאָנע,,pulpit,0
