ID,Form,IPA,Gloss,Language_ID
0,andujin,,last year,0
1,andɨvɨ,,sky,0
2,asun,,delicious,0
3,añu,,"heart, soul",0
4,chaa,,man,0
5,chaa,,(intransitive) come,0
6,chaa,,(transitive) play (an instrument),0
7,chaa,,(transitive) write,0
8,chaa,,(intransitive) come,0
9,chaa,,(transitive) play (an instrument),0
10,chaa,,(transitive) write,0
11,chaa,,(transitive) play (an instrument),0
12,chaa,,(transitive) write,0
13,chaa,,(transitive) write,0
14,chaka,,fish,0
15,chaꞌma,,lung,0
16,chaꞌma,,"soft, spongy",0
17,chaꞌma,,(intransitive) get squashed,0
18,chaꞌma,,bud (clarification of this definition is needed),0
19,chaꞌma,,"soft, spongy",0
20,chaꞌma,,(intransitive) get squashed,0
21,chaꞌma,,bud (clarification of this definition is needed),0
22,chaꞌma,,(intransitive) get squashed,0
23,chaꞌma,,bud (clarification of this definition is needed),0
24,chaꞌma,,bud (clarification of this definition is needed),0
25,chelu,,calf (young cow),0
26,chii,,belly,0
27,chii,,"under, inside",0
28,chijna,,wasp,0
29,choko,,ant,0
30,choo,,crab,0
31,chuun,,hen,0
32,chɨꞌnkɨ,,pinecone,0
33,chɨꞌɨn,,skunk,0
34,ichi,,road,0
35,ichi,,towards,0
36,ichi,,"(intransitive) dry, (transitive) be thirsty ",0
37,ichi,,"(intransitive) dry, (transitive) be thirsty ",0
38,iku,,yesterday,0
39,ina,,dog,0
40,ini,,stomach,0
41,ini,,inside,0
42,iso,,rabbit,0
43,isu,,deer,0
44,ita,,"flower, plant",0
45,iñu,,spine,0
46,iñu,,six,0
47,iñu,,six,0
48,ja'a,,foot,0
49,jakoo,,opossum,0
50,jakuaa,,night,0
51,jakuaa,,at night,0
52,Jankuini,,"Santa María Yolotepec (a town in Oaxaca, Mexico)",0
53,jniñu,,fingernail,0
54,jniñu,,"work, business",0
55,jniñu,,"issue, matter",0
56,jniñu,,"work, business",0
57,jniñu,,"issue, matter",0
58,jniñu,,"issue, matter",0
59,jnuu,,feather,0
60,jnuu,,"black, dark",0
61,jnuu,,"black, dark",0
62,jnuꞌun,,"word, advice",0
63,jnuꞌun,,tooth,0
64,jnuꞌun,,(transitive) pull out,0
65,jnuꞌun,,tooth,0
66,jnuꞌun,,(transitive) pull out,0
67,jnuꞌun,,(transitive) pull out,0
68,kaji,,clearly,0
69,kaji,,"(transitive, intransitive) eat",0
70,kaji,,"(transitive, intransitive) eat",0
71,kaka,,"go, walk",0
72,kaka,,quicklime,0
73,kaka,,quicklime,0
74,kaku,,(intransitive) be born,0
75,kaku,,(intrnasitive) escape,0
76,kaku,,(intrnasitive) escape,0
77,kata,,(transitive) sing,0
78,kata,,(intransitive) have an itch,0
79,kata,,(intransitive) have an itch,0
80,kaꞌma,,(transitive) burn,0
81,kii,,(intransitive) come,0
82,koo,,snake,0
83,koꞌo,,(transitive) drink,0
84,koꞌo,,"plate, dish",0
85,koꞌo,,"plate, dish",0
86,kuaan,,"yellow, pallid, pale, ashen",0
87,kuaan,,(transitive) buy,0
88,kuaan,,(transitive) buy,0
89,kuayu,,horse,0
90,kuañu,,squirrel,0
91,kuka,,comb,0
92,kunu,,"(intransitive) run, (transitive) run away, flee",0
93,kunu,,deeply,0
94,kunu,,deep,0
95,kunu,,(transitive) weave,0
96,kunu,,roof,0
97,kunu,,deeply,0
98,kunu,,deep,0
99,kunu,,(transitive) weave,0
100,kunu,,roof,0
101,kunu,,(transitive) weave,0
102,kunu,,roof,0
103,kunu,,roof,0
104,kuáyu,,horse,0
105,kɨtɨ,,(intransitive) boil,0
106,kɨtɨ,,animal,0
107,kɨtɨ,,animal,0
108,lajan,,chachalaca (clarification of this definition is needed),0
109,lakua,,pus,0
110,lasu,,braid,0
111,latu,,plough,0
112,lelu,,lamb,0
113,lelu,,hat,0
114,lelu,,hat,0
115,liki,,woodpecker,0
116,litu,,kid (young goat),0
117,liꞌi,,rooster,0
118,maꞌan,,raccoon (Procyon lotor),0
119,meke,,brain,0
120,mitu,,fawn,0
121,musu,,servant,0
122,nama,,wall,0
123,nama,,soap,0
124,nama,,"(transitive) save, rescue, (transitive) protect, defend,",0
125,nama,,when?,0
126,nama,,soap,0
127,nama,,"(transitive) save, rescue, (transitive) protect, defend,",0
128,nama,,when?,0
129,nama,,"(transitive) save, rescue, (transitive) protect, defend,",0
130,nama,,when?,0
131,nama,,when?,0
