ID,Form,IPA,Gloss,Language_ID
0,'l,,"(definite) the, Daniel ye’l direutor., Daniel is the",0
1,'n,,"(obsolete) Contraction of en.
Toi viviendo’n CanguesI’m living in Cangues",0
2,a,,"to, towards",0
3,a,,"a (the name of the letter A, a)",0
4,abandonar,/abandoˈnaɾ/,to abandon,0
5,abanicu,,fan (hand-held device),0
6,abdicación,,abdication (the act of abdicating; the renunciation,0
7,abdome,,abdomen (belly),0
8,abecedariu,,alphabet,0
9,abegosu,,unlucky,0
10,abellota,/abeˈʎota/,acorn (fruit of the oak tree),0
11,abenayá,/abenaˈʝa/,"it has been some time (since)
2001, Academia de la Llingua Asturiana, Gramática de la Llingua Asturiana, 3rd edition, page 154:
abenayá que nun lu veo
it has been some time since I last saw him",0
12,abertura,,opening,0
13,abetu,,fir (tree),0
14,abeya,,bee,0
15,abeyeru,,beekeeper (someone who keeps bees),0
16,abeyota,/abeˈʝota/,acorn (fruit of the oak tree),0
17,abiertamente,,openly,0
18,abiertu,,open,0
19,ablana,/aˈblana/,hazelnut (fruit),0
20,ablanal,,hazelnut (tree),0
21,ablandiar,,to soften,0
22,ablucamientu,,daze (state of shock or confusion),0
23,ablucar,,to daze,0
24,ablucáu,,dazed (stunned),0
25,abogáu,,lawyer,0
26,abolir,,abolish (to end a law),0
27,abotonar,,(transitive) to button (to fasten with a button),0
28,abrelates,,can opener (device used to open tin cans),0
29,abreviatura,,abbreviation,0
30,abril,,April,0
31,abrir,,to open,0
32,abruxar,/abɾuˈʃaɾ/,"bewitch (to cast a spell)
Dizse unos diañinos y'abruxórin ― They say some spirits bewitched him",0
33,abusivu,,abusive,0
34,abusu,,abuse,0
35,abxasu,/abˈʃasu/,Abkhaz,0
36,acabar,,"to finish, end, finish off, to manage, succeed, (acabar",0
37,acastellanar,,"to Spanishize, Castilianize",0
38,acebu,,holly (plant),0
39,aceición,,(semantics) sense (semantics term),0
40,aceite,,oil (liquid fat),0
41,aceitera,,"dragonfly (an insect of the suborder Anisoptera), oil",0
42,aceituna,,olive (fruit),0
43,acentu,,accent,0
44,acepción,,(semantics) sense (semantics term),0
45,aceptable,,acceptable,0
46,aceptar,/aθebˈtaɾ/,"to accept, consider acceptable, to receive",0
47,aceru,,steel,0
48,acetona,/aθeˈtona/,(organic chemistry) acetone (the organic compound (CH3)2CO),0
49,aciu,,used only in the phrases por aciu and per aciu,0
50,acompangar,,To add compangu (to a dish),0
51,aconceyar,/akonθeˈʝaɾ/,to gather; to meet up; to group together,0
52,acoyedor,,welcoming (hospitable),0
53,acoyer,,"to receive, let in",0
54,acrónimu,,acronym,0
55,activar,,to activate (to make something active),0
56,actividá,,activity,0
57,activu,,active,0
58,actor,,An actor.,0
59,actriz,,actress (female actor),0
60,actu,,"(countable) act (deed), (countable) act (division of",0
61,actuar,,to act,0
62,acuariu,,aquarium,0
63,acuartiar,,to quarter,0
64,acueductu,,"aqueduct (artificial channel), aqueduct (structure",0
65,acuerdu,,Alternative form of alcuerdu,0
66,acupuntura,,acupuncture (insertion of needles for remedial purposes),0
67,acusar,,(transitive) to accuse (attribute blame to someone),0
68,aditivu,,additive (substance altering another substance),0
69,adiós,,goodbye (farewell),0
70,adquirir,,"(transitive) acquire (to gain, usually by one's own",0
71,adulteriu,,adultery,0
72,Adán,,A male given name. Spanish for Adam,0
73,adúlteru,,adulterer (one who commits adultery),0
74,aeronáutica,,aeronautics (mechanics and science of aircraft),0
75,aeropuertu,,airport (a place designated for airplanes),0
76,aerómetru,,aerometer (instrument used to measure mass and density of gases),0
77,afacer,,"to attach, tie up",0
78,afaitar,,to shave,0
79,afalagar,,to flatter (to compliment someone),0
80,afalar,,"to steer, guide (animals)",0
81,afalucar,,(intransitive) to babble (to utter words indistinctly),0
82,afamiar,,"to hunger, be/go hungry",0
83,afamiáu,,hungry (affected by hunger; desirous of food),0
