ID,Form,IPA,Gloss,Language_ID
0,abang,,window (opening for light and air),0
1,acew,,dog (animal),0
2,acin,,stair (series of steps),0
3,bekeh,,rice ((raw) seeds used as food),0
4,cepeu,,Alternative spelling of sepeu,0
5,jilelen,,door (portal of entry into a building or room),0
6,laman,,house (abode),0
7,pi,,"(Central, West) water",0
8,sepeu,,roof (the cover at the top of a building),0
9,sipel,,roof (the cover at the top of a building),0
10,taca,,floor (lower part of a room),0
11,ukuk,,room (division in a building),0
