ID,Form,IPA,Gloss,Language_ID
0,beceng,,pistol,0
1,bini,,wife,0
2,bérce,,mired,0
3,captun,,nineteen,0
4,ceban,,ten thousand,0
5,celokat,,long trousers,0
6,cepé,,hundred,0
7,chimenk,,"hemp plant, marijuana, hashish.",0
8,chipowa,,to lie,0
9,cémén,,fearful person,0
10,dikopi,,understand,0
11,duit,,money,0
12,gede,,big,0
13,gedong,,"building, skyscraper, Die mah sekarang kerjanye di",0
14,gokel,,hemp plant,0
15,kali,,river,0
16,kokai,,rich,0
17,kémce,,to eat,0
18,manyun,,dream,0
19,memek,,"(vulgar) cunt, fanny, pussy, twat (the vagina)",0
20,nembak,,to eat without paying the bill,0
21,ngewek,,(vulgar) to have sex,0
22,nimpé,,to steal,0
23,nocéng,,two thousand,0
24,orkay,,"rich guy, rich people",0
25,oskep,,"informant, source",0
26,rokum,,house,0
27,snéki,,to have sex,0
28,tokét,,"breast, tit",0
