ID,Form,IPA,Gloss,Language_ID
0,अचार,,achar,0
1,अमौसा,,Amavasya,0
2,अरुई,,taro,0
3,अलग,,"different, separate",0
4,अस्नान,,bathing; bath,0
5,आ,,and,0
6,आगि,,"fire, Synonym: भउर (bhaur)",0
7,आगी,,fire,0
8,आभाव,,lack,0
9,आम,,mango,0
10,ई,,"this
ई पानीī pānīthis water",0
11,उज्जर,,white,0
12,उपन्यास,,novel (a work of fiction),0
13,उमिर,,age,0
14,उरुआ,,owl,0
15,ऊखि,,sugarcane,0
16,एगो,,one,0
17,ओधी,,plant,0
18,औसत,,"average, mean",0
19,औसत,,"average, mean",0
20,कईल,,"to do, an auxiliary verb",0
21,ककही,,"comb, Synonym: कंघी (kaṅghī)",0
22,कचरस,,sugarcane juice,0
23,कटहर,,jackfruit,0
24,कट्ठा,,"katha, one-twentieth of a bigha and twenty dhurs",0
25,कनेली,,king quail,0
26,करल,,"to do, an auxiliary verb",0
27,कलाकृति,,"artwork, work of art",0
28,कसइली,,areca nut,0
29,कागज,,paper,0
30,काटल,,"to slice, chop, to bite",0
31,किसिम,,cultivar,0
32,कुचकुचवा,,little owl,0
33,कुहेसा,,mist,0
34,केंचुआ,,earthworm,0
35,केराइ,,pea,0
36,कोइली,,"pit, stone of a fruit",0
37,कोहरा,,fog,0
38,खाईल,,to eat,0
39,खारा,,"salty, saline",0
40,खारापन,,"saltiness, salinity",0
41,खिड़की,,"window, a small backdoor",0
42,खेलकूद,,sport,0
43,खेलल,,to play,0
44,गंगला,,"Asian openbill
Synonym: डोकर (ḍokar)",0
45,गईल,,"to go, leave",0
46,गहिरा,,deep,0
47,गाँड़,,anus,0
48,गाजर,,carrot,0
49,गाय,,cow,0
50,गुरुत्वाकर्षण,,gravity,0
51,गैंडा,,rhinoceros,0
52,गोडावण,,great Indian bustard,0
53,गोहूँ,,wheat,0
54,गौरइया,,"sparrow, particularly the house sparrow",0
55,घीव,,ghee,0
56,घुसल,,to enter,0
57,घोंघा,,snail,0
58,चानी,,silver,0
59,चाहे,,"or, Synonym: भा (bhā)",0
60,चिड़ियाघर,,zoo,0
61,चिरई,,bird,0
62,चीन्हा,,symbol,0
63,चूसल,,to suck; sip,0
64,चोटी,,top,0
65,छोट,,small,0
66,छोहारा,,(fruit) dry date,0
67,जमीन,,land,0
68,जरि,,root (of a tree),0
69,जल,,water,0
70,जलनिकाय,,body of water,0
71,जलभंडार,,body of water,0
72,जाँघिल,,painted stork,0
73,जाँता,,"handmill, quernstone, Synonyms: हस्तचक्की (hastacakkī),",0
74,जीवन,,"life, existence",0
75,झंडा,,flag,0
76,झरना,,waterfall,0
77,झींगा,,"shrimp, prawn",0
78,झींसा,,"a drizzle, a shower",0
79,झींसी,,"a drizzle, a light shower",0
80,झील,,lake,0
81,ढेंकुआरि,,aloe vera,0
82,तमासा,,"exhibition, drama",0
83,ताँमा,,copper,0
84,तापमान,,temperature,0
85,तिरंगा,,tricolor,0
86,तिहुआर,,"festival, celebration",0
87,दस,,"ten (10), Number in Devanāgarī script: (१०)",0
88,दू,,"two (2), Number in Devanāgarī script: (२)",0
89,देस,,country,0
90,नदी,,river,0
91,नद्दी,,Alternative form of नदी (nadī),0
92,नमी,,"humidity, moisture",0
93,नया,,new,0
94,नांव,,name,0
95,नील,,(botany) indigo,0
96,नून,,salt,0
97,नूनहा,,salty,0
98,नेनुआ,,sponge gourd,0
99,पकावल,,to cook,0
100,पठार,,"plateau, highland",0
101,पढ़ल,,"to read, study",0
102,पढ़ावल,,to teach,0
103,पनडुब्बी,,"Indian darter, Anhinga melanogaster",0
104,पन्ना,,"page, paper, sheet",0
105,पहिनावा,,clothing,0
106,पहिला,,first,0
107,पानी,,water,0
108,पिअल,,to drink,0
109,पियोरी,,hill partridge,0
110,पीयर,,yellow,0
111,पीलिया,,jaundice,0
112,पुल,,bridge,0
113,पुल्ली,,spot-winged starling,0
114,पृथ्वी,,"Earth, ground, earth",0
115,पेड़,,tree,0
116,पौधा,,plant,0
117,प्रणाम,,hello,0
118,फेड़,,tree,0
119,बईठल,,to sit,0
120,बटेर,,quail,0
121,बन,,forest,0
122,बनस्पति,,vegetation,0
123,बरखा,,rain,0
124,बरदान,,"boon, gift",0
125,बरफ,,ice,0
126,बरफबारी,,snowfall,0
127,बरिस,,year,0
128,बर्खा,,rain,0
129,बहुकोशिकीय,,(biology) multicellular,0
130,बाघ,,tiger,0
131,बाढ़ि,,flood,0
132,बादर,,cloud,0
133,बारिश,,"rain, rainfall",0
134,बालू,,sand,0
135,बिआह,,marriage,0
136,बिज्ञान,,science,0
137,बिबिध,,"various, miscellaneous",0
138,बिस्व,,"world, universe",0
139,बीया,,seed,0
140,बुन्नी,,"drop, droplet",0
